Player,Club,Position,Fee,Season,Transfer
Raúl Meireles,Liverpool,Central Midfield,13.0,2010/2011,Arrival
Christian Poulsen,Liverpool,Defensive Midfield,5.48,2010/2011,Arrival
Paul Konchesky,Liverpool,Left-Back,4.2,2010/2011,Arrival
Brad Jones,Liverpool,Goalkeeper,2.8,2010/2011,Arrival
Danny Wilson,Liverpool,Centre-Back,2.75,2010/2011,Arrival
Jonjo Shelvey,Liverpool,Central Midfield,2.0,2010/2011,Arrival
Fernando Torres,Liverpool,Centre-Forward,58.5,2010/2011,Departure
Javier Mascherano,Liverpool,Defensive Midfield,20.0,2010/2011,Departure
Yossi Benayoun,Liverpool,Right Winger,7.0,2010/2011,Departure
Ryan Babel,Liverpool,Left Winger,7.0,2010/2011,Departure
Albert Riera,Liverpool,Left Midfield,6.0,2010/2011,Departure
Krisztián Németh,Liverpool,Centre-Forward,1.2,2010/2011,Departure
Damien Plessis,Liverpool,Defensive Midfield,0.8,2010/2011,Departure
Emiliano Insúa,Liverpool,Left-Back,0.75,2010/2011,Departure
Nabil El Zhar,Liverpool,Right Winger,0.25,2010/2011,Departure
Stewart Downing,Liverpool,Left Midfield,22.8,2011/2012,Arrival
Jordan Henderson,Liverpool,Central Midfield,18.0,2011/2012,Arrival
Sebastián Coates,Liverpool,Centre-Back,12.0,2011/2012,Arrival
Charlie Adam,Liverpool,Central Midfield,8.4,2011/2012,Arrival
José Enrique,Liverpool,Left-Back,8.0,2011/2012,Arrival
Danny Ward,Liverpool,Goalkeeper,0.125,2011/2012,Arrival
Raúl Meireles,Liverpool,Central Midfield,13.5,2011/2012,Departure
David N'Gog,Liverpool,Centre-Forward,4.5,2011/2012,Departure
Paul Konchesky,Liverpool,Left-Back,1.7,2011/2012,Departure
Emiliano Insúa,Liverpool,Left-Back,1.5,2011/2012,Departure
Milan Jovanovic,Liverpool,Left Winger,0.8,2011/2012,Departure
Joe Allen,Liverpool,Central Midfield,19.0,2012/2013,Arrival
Daniel Sturridge,Liverpool,Centre-Forward,15.0,2012/2013,Arrival
Fabio Borini,Liverpool,Left Winger,13.3,2012/2013,Arrival
Philippe Coutinho,Liverpool,Attacking Midfield,13.0,2012/2013,Arrival
Nuri Şahin,Liverpool,Defensive Midfield,5.0,2012/2013,Arrival
Oussama Assaidi,Liverpool,Left Winger,4.0,2012/2013,Arrival
Samed Yesil,Liverpool,Centre-Forward,1.3,2012/2013,Arrival
Charlie Adam,Liverpool,Central Midfield,6.2,2012/2013,Departure
Alberto Aquilani,Liverpool,Central Midfield,2.0,2012/2013,Departure
Andy Carroll,Liverpool,Centre-Forward,1.25,2012/2013,Departure
Dirk Kuyt,Liverpool,Right Winger,1.0,2012/2013,Departure
Mamadou Sakho,Liverpool,Centre-Back,19.0,2013/2014,Arrival
Iago Aspas,Liverpool,Centre-Forward,10.8,2013/2014,Arrival
Simon Mignolet,Liverpool,Goalkeeper,10.6,2013/2014,Arrival
Luis Alberto,Liverpool,Central Midfield,8.0,2013/2014,Arrival
Tiago Ilori,Liverpool,Centre-Back,7.5,2013/2014,Arrival
Victor Moses,Liverpool,Right Midfield,1.2,2013/2014,Arrival
Aly Cissokho,Liverpool,Centre-Back,1.0,2013/2014,Arrival
Andy Carroll,Liverpool,Centre-Forward,17.5,2013/2014,Departure
Stewart Downing,Liverpool,Left Midfield,5.8,2013/2014,Departure
Jonjo Shelvey,Liverpool,Central Midfield,5.8,2013/2014,Departure
Fabio Borini,Liverpool,Left Winger,1.8,2013/2014,Departure
Jay Spearing,Liverpool,Defensive Midfield,1.6,2013/2014,Departure
Adam Lallana,Liverpool,Attacking Midfield,31.0,2014/2015,Arrival
Dejan Lovren,Liverpool,Centre-Back,25.3,2014/2015,Arrival
Lazar Markovic,Liverpool,Right Winger,25.0,2014/2015,Arrival
Mario Balotelli,Liverpool,Centre-Forward,20.0,2014/2015,Arrival
Alberto Moreno,Liverpool,Left-Back,18.0,2014/2015,Arrival
Divock Origi,Liverpool,Centre-Forward,12.63,2014/2015,Arrival
Emre Can,Liverpool,Defensive Midfield,12.0,2014/2015,Arrival
Rickie Lambert,Liverpool,Centre-Forward,5.5,2014/2015,Arrival
Javier Manquillo,Liverpool,Right-Back,2.0,2014/2015,Arrival
Luis Suárez,Liverpool,Centre-Forward,81.72,2014/2015,Departure
Oussama Assaidi,Liverpool,Left Winger,6.0,2014/2015,Departure
Daniel Agger,Liverpool,Centre-Back,4.0,2014/2015,Departure
Pepe Reina,Liverpool,Goalkeeper,3.0,2014/2015,Departure
Martin Kelly,Liverpool,Right-Back,2.0,2014/2015,Departure
Suso,Liverpool,Right Winger,1.3,2014/2015,Departure
Jack Robinson,Liverpool,Centre-Back,1.25,2014/2015,Departure
Christian Benteke,Liverpool,Centre-Forward,46.5,2015/2016,Arrival
Roberto Firmino,Liverpool,Centre-Forward,41.0,2015/2016,Arrival
Nathaniel Clyne,Liverpool,Right-Back,17.7,2015/2016,Arrival
Danny Ings,Liverpool,Centre-Forward,8.3,2015/2016,Arrival
Marko Grujic,Liverpool,Defensive Midfield,7.0,2015/2016,Arrival
Joe Gomez,Liverpool,Centre-Back,4.9,2015/2016,Arrival
Taiwo Awoniyi,Liverpool,Centre-Forward,1.1,2015/2016,Arrival
Raheem Sterling,Liverpool,Left Winger,63.7,2015/2016,Departure
Fabio Borini,Liverpool,Left Winger,10.7,2015/2016,Departure
Iago Aspas,Liverpool,Centre-Forward,6.0,2015/2016,Departure
Rickie Lambert,Liverpool,Centre-Forward,4.2,2015/2016,Departure
Sebastián Coates,Liverpool,Centre-Back,2.8,2015/2016,Departure
Andre Wisdom,Liverpool,Right-Back,1.8,2015/2016,Departure
Marko Grujic,Liverpool,Defensive Midfield,1.0,2015/2016,Departure
Tiago Ilori,Liverpool,Centre-Back,0.35,2015/2016,Departure
Sadio Mané,Liverpool,Left Winger,41.2,2016/2017,Arrival
Georginio Wijnaldum,Liverpool,Central Midfield,27.5,2016/2017,Arrival
Loris Karius,Liverpool,Goalkeeper,6.2,2016/2017,Arrival
Ragnar Klavan,Liverpool,Centre-Back,5.0,2016/2017,Arrival
Christian Benteke,Liverpool,Centre-Forward,31.2,2016/2017,Departure
