Player,Club,Position,Fee,Season,Transfer
Damien Duff,Chelsea,Right Midfield,15.5,2006/2007,Departure
Eidur Gudjohnsen,Chelsea,Centre-Forward,12.0,2006/2007,Departure
Robert Huth,Chelsea,Centre-Back,8.9,2006/2007,Departure
Asier del Horno,Chelsea,Left-Back,7.5,2006/2007,Departure
Jiri Jarosik,Chelsea,Centre-Back,3.5,2006/2007,Departure
Carlton Cole,Chelsea,Centre-Forward,3.0,2006/2007,Departure
Juan Sebastián Verón,Chelsea,Central Midfield,2.2,2006/2007,Departure
Florent Malouda,Chelsea,Left Winger,19.0,2007/2008,Arrival
Nicolas Anelka,Chelsea,Centre-Forward,18.0,2007/2008,Arrival
Branislav Ivanovic,Chelsea,Right-Back,12.0,2007/2008,Arrival
Juliano Belletti,Chelsea,Right-Back,5.5,2007/2008,Arrival
Franco Di Santo,Chelsea,Centre-Forward,4.5,2007/2008,Arrival
Arjen Robben,Chelsea,Right Winger,35.0,2007/2008,Departure
Glen Johnson,Chelsea,Right-Back,5.5,2007/2008,Departure
Lassana Diarra,Chelsea,Defensive Midfield,2.9,2007/2008,Departure
Slobodan Rajković,Chelsea,Centre-Back,0.25,2007/2008,Departure
Bosingwa,Chelsea,Right-Back,20.5,2008/2009,Arrival
Deco,Chelsea,Attacking Midfield,10.0,2008/2009,Arrival
Wayne Bridge,Chelsea,Left-Back,13.0,2008/2009,Departure
Shaun Wright-Phillips,Chelsea,Right Winger,11.25,2008/2009,Departure
Tal Ben Haim,Chelsea,Centre-Back,6.4,2008/2009,Departure
Steve Sidwell,Chelsea,Central Midfield,6.3,2008/2009,Departure
Khalid Boulahrouz,Chelsea,Centre-Back,5.0,2008/2009,Departure
Claudio Pizarro,Chelsea,Centre-Forward,2.0,2008/2009,Departure
Alcides,Chelsea,Centre-Back,0.6,2008/2009,Departure
Yuriy Zhirkov,Chelsea,Left Midfield,21.0,2009/2010,Arrival
Daniel Sturridge,Chelsea,Centre-Forward,7.25,2009/2010,Arrival
Nemanja Matic,Chelsea,Defensive Midfield,1.75,2009/2010,Arrival
Claudio Pizarro,Chelsea,Centre-Forward,2.0,2009/2010,Departure
Ben Sahar,Chelsea,Centre-Forward,1.0,2009/2010,Departure
Miroslav Stoch,Chelsea,Left Winger,0.8,2009/2010,Departure
Fernando Torres,Chelsea,Centre-Forward,58.5,2010/2011,Arrival
David Luiz,Chelsea,Centre-Back,25.0,2010/2011,Arrival
Ramires,Chelsea,Central Midfield,22.0,2010/2011,Arrival
Yossi Benayoun,Chelsea,Right Winger,7.0,2010/2011,Arrival
Tomas Kalas,Chelsea,Centre-Back,6.0,2010/2011,Arrival
Matej Delac,Chelsea,Goalkeeper,3.0,2010/2011,Arrival
Ricardo Carvalho,Chelsea,Centre-Back,8.0,2010/2011,Departure
Miroslav Stoch,Chelsea,Left Winger,5.5,2010/2011,Departure
Franco Di Santo,Chelsea,Centre-Forward,2.4,2010/2011,Departure
Scott Sinclair,Chelsea,Left Winger,0.6,2010/2011,Departure
Juan Mata,Chelsea,Attacking Midfield,26.7,2011/2012,Arrival
Romelu Lukaku,Chelsea,Centre-Forward,15.0,2011/2012,Arrival
Raúl Meireles,Chelsea,Central Midfield,13.5,2011/2012,Arrival
Thibaut Courtois,Chelsea,Goalkeeper,8.95,2011/2012,Arrival
Gary Cahill,Chelsea,Centre-Back,8.4,2011/2012,Arrival
Kevin De Bruyne,Chelsea,Attacking Midfield,8.0,2011/2012,Arrival
Lucas Piazón,Chelsea,Attacking Midfield,7.5,2011/2012,Arrival
Oriol Romeu,Chelsea,Defensive Midfield,4.6,2011/2012,Arrival
Ulises Dávila,Chelsea,Attacking Midfield,2.0,2011/2012,Arrival
Patrick Bamford,Chelsea,Centre-Forward,1.8,2011/2012,Arrival
Yuriy Zhirkov,Chelsea,Left Midfield,15.0,2011/2012,Departure
Alex,Chelsea,Centre-Back,5.0,2011/2012,Departure
Nemanja Matic,Chelsea,Defensive Midfield,5.0,2011/2012,Departure
Michael Mancienne,Chelsea,Centre-Back,2.5,2011/2012,Departure
Slobodan Rajković,Chelsea,Centre-Back,2.0,2011/2012,Departure
Thibaut Courtois,Chelsea,Goalkeeper,1.2,2011/2012,Departure
Jeffrey Bruma,Chelsea,Centre-Back,0.5,2011/2012,Departure
Fabio Borini,Chelsea,Left Winger,0.36,2011/2012,Departure
Eden Hazard,Chelsea,Left Winger,35.0,2012/2013,Arrival
Oscar,Chelsea,Attacking Midfield,32.0,2012/2013,Arrival
Victor Moses,Chelsea,Right Midfield,11.5,2012/2013,Arrival
César Azpilicueta,Chelsea,Right-Back,8.8,2012/2013,Arrival
Demba Ba,Chelsea,Centre-Forward,8.5,2012/2013,Arrival
Marko Marin,Chelsea,Attacking Midfield,8.0,2012/2013,Arrival
Wallace Oliveira,Chelsea,Right-Back,5.4,2012/2013,Arrival
Thorgan Hazard,Chelsea,Left Winger,0.5,2012/2013,Arrival
Daniel Sturridge,Chelsea,Centre-Forward,15.0,2012/2013,Departure
Raúl Meireles,Chelsea,Central Midfield,10.0,2012/2013,Departure
Kevin De Bruyne,Chelsea,Attacking Midfield,0.45,2012/2013,Departure
Willian,Chelsea,Left Winger,35.5,2013/2014,Arrival
Nemanja Matic,Chelsea,Defensive Midfield,25.0,2013/2014,Arrival
André Schürrle,Chelsea,Left Winger,22.0,2013/2014,Arrival
Mohamed Salah,Chelsea,Right Winger,16.5,2013/2014,Arrival
Kurt Zouma,Chelsea,Centre-Back,14.6,2013/2014,Arrival
Marco van Ginkel,Chelsea,Central Midfield,9.4,2013/2014,Arrival
Christian Atsu,Chelsea,Left Winger,3.0,2013/2014,Arrival
Stipe Perica,Chelsea,Centre-Forward,2.45,2013/2014,Arrival
Cristian Cuevas,Chelsea,Left Winger,1.9,2013/2014,Arrival
Juan Mata,Chelsea,Attacking Midfield,44.73,2013/2014,Departure
Kevin De Bruyne,Chelsea,Attacking Midfield,22.0,2013/2014,Departure
Romelu Lukaku,Chelsea,Centre-Forward,3.5,2013/2014,Departure
Jeffrey Bruma,Chelsea,Centre-Back,3.5,2013/2014,Departure
Wallace Oliveira,Chelsea,Right-Back,1.5,2013/2014,Departure
Victor Moses,Chelsea,Right Midfield,1.2,2013/2014,Departure
Oriol Romeu,Chelsea,Defensive Midfield,1.0,2013/2014,Departure
Michael Essien,Chelsea,Defensive Midfield,0.5,2013/2014,Departure
Diego Costa,Chelsea,Centre-Forward,38.0,2014/2015,Arrival
Cesc Fàbregas,Chelsea,Central Midfield,33.0,2014/2015,Arrival
Juan Cuadrado,Chelsea,Right Midfield,31.0,2014/2015,Arrival
Filipe Luís,Chelsea,Left-Back,20.0,2014/2015,Arrival
Loïc Rémy,Chelsea,Centre-Forward,13.2,2014/2015,Arrival
Mario Pasalic,Chelsea,Central Midfield,2.5,2014/2015,Arrival
David Luiz,Chelsea,Centre-Back,49.5,2014/2015,Departure
Romelu Lukaku,Chelsea,Centre-Forward,35.36,2014/2015,Departure
André Schürrle,Chelsea,Left Winger,32.0,2014/2015,Departure
Ryan Bertrand,Chelsea,Left-Back,13.3,2014/2015,Departure
Demba Ba,Chelsea,Centre-Forward,6.0,2014/2015,Departure
Patrick van Aanholt,Chelsea,Left-Back,1.9,2014/2015,Departure
Thorgan Hazard,Chelsea,Left Winger,1.5,2014/2015,Departure
Marco van Ginkel,Chelsea,Central Midfield,1.0,2014/2015,Departure
Fernando Torres,Chelsea,Centre-Forward,1.0,2014/2015,Departure
Lucas Piazón,Chelsea,Attacking Midfield,0.8,2014/2015,Departure
Oriol Romeu,Chelsea,Defensive Midfield,0.25,2014/2015,Departure
Tomas Kalas,Chelsea,Centre-Back,0.2,2014/2015,Departure
Pedro,Chelsea,Right Winger,27.0,2015/2016,Arrival
Abdul Rahman Baba,Chelsea,Left-Back,26.0,2015/2016,Arrival
Asmir Begovic,Chelsea,Goalkeeper,11.0,2015/2016,Arrival
Kenedy,Chelsea,Left Winger,8.0,2015/2016,Arrival
Radamel Falcao,Chelsea,Centre-Forward,7.0,2015/2016,Arrival
Michael Hector,Chelsea,Centre-Back,5.4,2015/2016,Arrival
Matt Miazga,Chelsea,Centre-Back,4.6,2015/2016,Arrival
Nathan,Chelsea,Attacking Midfield,4.0,2015/2016,Arrival
Papy Djilobodji,Chelsea,Centre-Back,3.5,2015/2016,Arrival
Ramires,Chelsea,Central Midfield,28.0,2015/2016,Departure
Filipe Luís,Chelsea,Left-Back,16.0,2015/2016,Departure
Petr Cech,Chelsea,Goalkeeper,14.0,2015/2016,Departure
Thorgan Hazard,Chelsea,Left Winger,8.0,2015/2016,Departure
Oriol Romeu,Chelsea,Defensive Midfield,7.0,2015/2016,Departure
Gaël Kakuta,Chelsea,Attacking Midfield,6.0,2015/2016,Departure
Mohamed Salah,Chelsea,Right Winger,5.0,2015/2016,Departure
Juan Cuadrado,Chelsea,Right Midfield,1.8,2015/2016,Departure
Josh McEachran,Chelsea,Central Midfield,1.04,2015/2016,Departure
Papy Djilobodji,Chelsea,Centre-Back,0.4,2015/2016,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,0.25,2015/2016,Departure
Michy Batshuayi,Chelsea,Centre-Forward,39.0,2016/2017,Arrival
N'Golo Kanté,Chelsea,Defensive Midfield,35.8,2016/2017,Arrival
David Luiz,Chelsea,Centre-Back,35.0,2016/2017,Arrival
Marcos Alonso,Chelsea,Left-Back,23.0,2016/2017,Arrival
Oscar,Chelsea,Attacking Midfield,60.0,2016/2017,Departure
Mohamed Salah,Chelsea,Right Winger,15.0,2016/2017,Departure
Papy Djilobodji,Chelsea,Centre-Back,9.5,2016/2017,Departure
Patrick Bamford,Chelsea,Centre-Forward,6.9,2016/2017,Departure
Juan Cuadrado,Chelsea,Right Midfield,5.0,2016/2017,Departure
Stipe Perica,Chelsea,Centre-Forward,4.5,2016/2017,Departure
Marko Marin,Chelsea,Attacking Midfield,3.0,2016/2017,Departure
Bertrand Traoré,Chelsea,Right Winger,2.0,2016/2017,Departure
Loïc Rémy,Chelsea,Centre-Forward,1.0,2016/2017,Departure
Mario Pasalic,Chelsea,Central Midfield,1.0,2016/2017,Departure
Abdul Rahman Baba,Chelsea,Left-Back,0.5,2016/2017,Departure
Christian Atsu,Chelsea,Left Winger,0.5,2016/2017,Departure
Álvaro Morata,Chelsea,Centre-Forward,66.0,2017/2018,Arrival
Tiemoué Bakayoko,Chelsea,Defensive Midfield,40.0,2017/2018,Arrival
Danny Drinkwater,Chelsea,Central Midfield,37.9,2017/2018,Arrival
Antonio Rüdiger,Chelsea,Centre-Back,35.0,2017/2018,Arrival
Davide Zappacosta,Chelsea,Right Midfield,25.0,2017/2018,Arrival
Emerson,Chelsea,Left-Back,20.0,2017/2018,Arrival
Olivier Giroud,Chelsea,Centre-Forward,17.0,2017/2018,Arrival
Ross Barkley,Chelsea,Central Midfield,16.8,2017/2018,Arrival
Ethan Ampadu,Chelsea,Defensive Midfield,2.8,2017/2018,Arrival
Diego Costa,Chelsea,Centre-Forward,60.0,2017/2018,Departure
Nemanja Matic,Chelsea,Defensive Midfield,44.7,2017/2018,Departure
Nathan Aké,Chelsea,Centre-Back,22.8,2017/2018,Departure
Juan Cuadrado,Chelsea,Right Midfield,20.0,2017/2018,Departure
Asmir Begovic,Chelsea,Goalkeeper,11.5,2017/2018,Departure
Bertrand Traoré,Chelsea,Right Winger,10.0,2017/2018,Departure
Kurt Zouma,Chelsea,Centre-Back,7.8,2017/2018,Departure
Christian Atsu,Chelsea,Left Winger,7.5,2017/2018,Departure
Nathaniel Chalobah,Chelsea,Defensive Midfield,6.3,2017/2018,Departure
Charly Musonda Jr.,Chelsea,Left Winger,2.5,2017/2018,Departure
Michy Batshuayi,Chelsea,Centre-Forward,1.5,2017/2018,Departure
Kepa Arrizabalaga,Chelsea,Goalkeeper,80.0,2018/2019,Arrival
Christian Pulisic,Chelsea,Right Winger,64.0,2018/2019,Arrival
Jorginho,Chelsea,Defensive Midfield,57.0,2018/2019,Arrival
Gonzalo Higuaín,Chelsea,Centre-Forward,7.8,2018/2019,Arrival
Thibaut Courtois,Chelsea,Goalkeeper,35.0,2018/2019,Departure
Álvaro Morata,Chelsea,Centre-Forward,18.0,2018/2019,Departure
Cesc Fàbregas,Chelsea,Central Midfield,9.0,2018/2019,Departure
Kurt Zouma,Chelsea,Centre-Back,7.9,2018/2019,Departure
Tiemoué Bakayoko,Chelsea,Defensive Midfield,5.0,2018/2019,Departure
Michy Batshuayi,Chelsea,Centre-Forward,3.0,2018/2019,Departure
Mario Pasalic,Chelsea,Central Midfield,2.5,2018/2019,Departure
Michy Batshuayi,Chelsea,Centre-Forward,1.15,2018/2019,Departure
Kenneth Omeruo,Chelsea,Centre-Back,0.8,2018/2019,Departure
Ola Aina,Chelsea,Right-Back,0.6,2018/2019,Departure
Matt Miazga,Chelsea,Centre-Back,0.3,2018/2019,Departure
José Antonio Reyes,Arsenal,Right Winger,20.0,2003/2004,Arrival
Philippe Senderos,Arsenal,Centre-Back,3.55,2003/2004,Arrival
Jens Lehmann,Arsenal,Goalkeeper,3.5,2003/2004,Arrival
Gaël Clichy,Arsenal,Left-Back,0.375,2003/2004,Arrival
Moritz Volz,Arsenal,Right-Back,1.0,2003/2004,Departure
John Halls,Arsenal,Defensive Midfield,0.05,2003/2004,Departure
Manuel Almunia,Arsenal,Goalkeeper,5.0,2004/2005,Arrival
Robin van Persie,Arsenal,Centre-Forward,4.5,2004/2005,Arrival
Emmanuel Eboué,Arsenal,Right-Back,2.2,2004/2005,Arrival
Mathieu Flamini,Arsenal,Defensive Midfield,0.48,2004/2005,Arrival
Arturo Lupoli,Arsenal,Centre-Forward,0.3,2004/2005,Arrival
Francis Jeffers,Arsenal,Centre-Forward,3.9,2004/2005,Departure
Aleksandr Hleb,Arsenal,Attacking Midfield,15.0,2005/2006,Arrival
Theo Walcott,Arsenal,Right Winger,10.5,2005/2006,Arrival
Emmanuel Adebayor,Arsenal,Centre-Forward,10.0,2005/2006,Arrival
Alex Song,Arsenal,Defensive Midfield,4.0,2005/2006,Arrival
Abou Diaby,Arsenal,Central Midfield,3.0,2005/2006,Arrival
Carlos Vela,Arsenal,Right Winger,3.0,2005/2006,Arrival
Vito Mannone,Arsenal,Goalkeeper,0.5,2005/2006,Arrival
Patrick Vieira,Arsenal,Defensive Midfield,20.0,2005/2006,Departure
Quincy Owusu-Abeyie,Arsenal,Left Winger,2.5,2005/2006,Departure
David Bentley,Arsenal,Right Midfield,1.75,2005/2006,Departure
Jermaine Pennant,Arsenal,Right Winger,0.75,2005/2006,Departure
Tomas Rosicky,Arsenal,Attacking Midfield,10.0,2006/2007,Arrival
Denílson,Arsenal,Defensive Midfield,5.0,2006/2007,Arrival
Ashley Cole,Arsenal,Left-Back,7.4,2006/2007,Departure
Pascal Cygan,Arsenal,Centre-Back,2.9,2006/2007,Departure
Sebastian Larsson,Arsenal,Central Midfield,1.5,2006/2007,Departure
Laurén,Arsenal,Right-Back,0.55,2006/2007,Departure
Sebastian Svärd,Arsenal,Defensive Midfield,0.3,2006/2007,Departure
Alex Song,Arsenal,Defensive Midfield,0.275,2006/2007,Departure
Eduardo,Arsenal,Centre-Forward,13.5,2007/2008,Arrival
Bacary Sagna,Arsenal,Right-Back,9.0,2007/2008,Arrival
Lukasz Fabianski,Arsenal,Goalkeeper,4.35,2007/2008,Arrival
Lassana Diarra,Arsenal,Defensive Midfield,2.9,2007/2008,Arrival
Pedro Botelho,Arsenal,Centre-Back,1.2,2007/2008,Arrival
Thierry Henry,Arsenal,Centre-Forward,24.0,2007/2008,Departure
José Antonio Reyes,Arsenal,Right Winger,12.0,2007/2008,Departure
Lassana Diarra,Arsenal,Defensive Midfield,7.0,2007/2008,Departure
Fabrice Muamba,Arsenal,Central Midfield,6.0,2007/2008,Departure
Freddie Ljungberg,Arsenal,Right Midfield,4.5,2007/2008,Departure
Jérémie Aliadière,Arsenal,Centre-Forward,3.0,2007/2008,Departure
Pedro Botelho,Arsenal,Centre-Back,0.125,2007/2008,Departure
Mart Poom,Arsenal,Goalkeeper,0.1,2007/2008,Departure
Andrey Arshavin,Arsenal,Left Winger,16.5,2008/2009,Arrival
Samir Nasri,Arsenal,Attacking Midfield,16.0,2008/2009,Arrival
Aaron Ramsey,Arsenal,Central Midfield,6.4,2008/2009,Arrival
Mikaël Silvestre,Arsenal,Left-Back,0.95,2008/2009,Arrival
Amaury Bischoff,Arsenal,Central Midfield,0.3,2008/2009,Arrival
Aleksandr Hleb,Arsenal,Attacking Midfield,17.0,2008/2009,Departure
Justin Hoyte,Arsenal,Right-Back,3.8,2008/2009,Departure
Gilberto Silva,Arsenal,Defensive Midfield,2.5,2008/2009,Departure
Philippe Senderos,Arsenal,Centre-Back,2.5,2008/2009,Departure
Thomas Vermaelen,Arsenal,Centre-Back,12.0,2009/2010,Arrival
Emmanuel Adebayor,Arsenal,Centre-Forward,29.0,2009/2010,Departure
Kolo Touré,Arsenal,Centre-Back,18.7,2009/2010,Departure
Laurent Koscielny,Arsenal,Centre-Back,12.5,2010/2011,Arrival
Sébastien Squillaci,Arsenal,Centre-Back,6.5,2010/2011,Arrival
Wellington Silva,Arsenal,Right Winger,4.0,2010/2011,Arrival
Eduardo,Arsenal,Centre-Forward,7.2,2010/2011,Departure
Armand Traoré,Arsenal,Left-Back,0.5,2010/2011,Departure
Nacer Barazite,Arsenal,Attacking Midfield,0.4,2010/2011,Departure
Alex Oxlade-Chamberlain,Arsenal,Central Midfield,13.8,2011/2012,Arrival
Mikel Arteta,Arsenal,Central Midfield,12.0,2011/2012,Arrival
Gervinho,Arsenal,Left Winger,12.0,2011/2012,Arrival
Per Mertesacker,Arsenal,Centre-Back,11.3,2011/2012,Arrival
André Santos,Arsenal,Left-Back,7.0,2011/2012,Arrival
Chu-young Park,Arsenal,Centre-Forward,6.5,2011/2012,Arrival
Carl Jenkinson,Arsenal,Right-Back,1.13,2011/2012,Arrival
Joel Campbell,Arsenal,Right Winger,1.0,2011/2012,Arrival
Thomas Eisfeld,Arsenal,Central Midfield,0.75,2011/2012,Arrival
Cesc Fàbregas,Arsenal,Central Midfield,34.0,2011/2012,Departure
Samir Nasri,Arsenal,Attacking Midfield,27.5,2011/2012,Departure
Gaël Clichy,Arsenal,Left-Back,7.75,2011/2012,Departure
Emmanuel Eboué,Arsenal,Right-Back,3.5,2011/2012,Departure
Armand Traoré,Arsenal,Left-Back,1.35,2011/2012,Departure
Jay Emmanuel-Thomas,Arsenal,Attacking Midfield,1.25,2011/2012,Departure
Andrey Arshavin,Arsenal,Left Winger,1.2,2011/2012,Departure
Nicklas Bendtner,Arsenal,Centre-Forward,1.0,2011/2012,Departure
Denílson,Arsenal,Defensive Midfield,0.4,2011/2012,Departure
Pedro Botelho,Arsenal,Centre-Back,0.34,2011/2012,Departure
Santi Cazorla,Arsenal,Central Midfield,19.0,2012/2013,Arrival
Lukas Podolski,Arsenal,Attacking Midfield,15.0,2012/2013,Arrival
Olivier Giroud,Arsenal,Centre-Forward,12.0,2012/2013,Arrival
Nacho Monreal,Arsenal,Left-Back,10.0,2012/2013,Arrival
Robin van Persie,Arsenal,Centre-Forward,30.7,2012/2013,Departure
Alex Song,Arsenal,Defensive Midfield,19.0,2012/2013,Departure
Carlos Vela,Arsenal,Right Winger,14.0,2012/2013,Departure
Henri Lansbury,Arsenal,Central Midfield,1.25,2012/2013,Departure
Chu-young Park,Arsenal,Centre-Forward,0.5,2012/2013,Departure
Johan Djourou,Arsenal,Centre-Back,0.4,2012/2013,Departure
Mesut Özil,Arsenal,Attacking Midfield,47.0,2013/2014,Arrival
Emiliano Viviano,Arsenal,Goalkeeper,1.0,2013/2014,Arrival
Kim Källström,Arsenal,Central Midfield,0.75,2013/2014,Arrival
Semi Ajayi,Arsenal,Centre-Back,0.5,2013/2014,Arrival
Gervinho,Arsenal,Left Winger,8.0,2013/2014,Departure
Vito Mannone,Arsenal,Goalkeeper,2.4,2013/2014,Departure
Marouane Chamakh,Arsenal,Centre-Forward,1.2,2013/2014,Departure
Emmanuel Frimpong,Arsenal,Defensive Midfield,0.25,2013/2014,Departure
Francis Coquelin,Arsenal,Defensive Midfield,0.2,2013/2014,Departure
Nico Yennaris,Arsenal,Defensive Midfield,0.1,2013/2014,Departure
Alexis Sánchez,Arsenal,Centre-Forward,42.5,2014/2015,Arrival
Calum Chambers,Arsenal,Centre-Back,20.23,2014/2015,Arrival
Danny Welbeck,Arsenal,Centre-Forward,20.0,2014/2015,Arrival
Mathieu Debuchy,Arsenal,Right-Back,15.0,2014/2015,Arrival
Gabriel Paulista,Arsenal,Centre-Back,15.0,2014/2015,Arrival
David Ospina,Arsenal,Goalkeeper,4.0,2014/2015,Arrival
Krystian Bielik,Arsenal,Defensive Midfield,2.25,2014/2015,Arrival
Thomas Vermaelen,Arsenal,Centre-Back,19.0,2014/2015,Departure
Johan Djourou,Arsenal,Centre-Back,2.8,2014/2015,Departure
Ignasi Miquel,Arsenal,Centre-Back,1.9,2014/2015,Departure
Thomas Eisfeld,Arsenal,Central Midfield,1.5,2014/2015,Departure
Joel Campbell,Arsenal,Right Winger,1.0,2014/2015,Departure
Kristoffer Olsson,Arsenal,Central Midfield,1.0,2014/2015,Departure
Lukas Podolski,Arsenal,Attacking Midfield,0.6,2014/2015,Departure
Petr Cech,Arsenal,Goalkeeper,14.0,2015/2016,Arrival
Mohamed Elneny,Arsenal,Defensive Midfield,12.5,2015/2016,Arrival
Lukas Podolski,Arsenal,Attacking Midfield,2.5,2015/2016,Departure
Granit Xhaka,Arsenal,Defensive Midfield,45.0,2016/2017,Arrival
Shkodran Mustafi,Arsenal,Centre-Back,41.0,2016/2017,Arrival
Lucas Pérez,Arsenal,Centre-Forward,20.0,2016/2017,Arrival
Takuma Asano,Arsenal,Right Winger,4.0,2016/2017,Arrival
Rob Holding,Arsenal,Centre-Back,3.0,2016/2017,Arrival
Serge Gnabry,Arsenal,Right Winger,5.0,2016/2017,Departure
Wellington Silva,Arsenal,Right Winger,3.0,2016/2017,Departure
Jack Wilshere,Arsenal,Central Midfield,2.35,2016/2017,Departure
Pierre-Emerick Aubameyang,Arsenal,Centre-Forward,63.75,2017/2018,Arrival
Alexandre Lacazette,Arsenal,Centre-Forward,53.0,2017/2018,Arrival
Henrikh Mkhitaryan,Arsenal,Central Midfield,34.0,2017/2018,Arrival
Konstantinos Mavropanos,Arsenal,Centre-Back,2.1,2017/2018,Arrival
Alex Oxlade-Chamberlain,Arsenal,Central Midfield,38.0,2017/2018,Departure
Alexis Sánchez,Arsenal,Centre-Forward,34.0,2017/2018,Departure
Theo Walcott,Arsenal,Right Winger,22.5,2017/2018,Departure
Wojciech Szczęsny,Arsenal,Goalkeeper,18.4,2017/2018,Departure
Olivier Giroud,Arsenal,Centre-Forward,17.0,2017/2018,Departure
Francis Coquelin,Arsenal,Defensive Midfield,14.0,2017/2018,Departure
Gabriel Paulista,Arsenal,Centre-Back,11.0,2017/2018,Departure
Kieran Gibbs,Arsenal,Left-Back,7.5,2017/2018,Departure
Lucas Torreira,Arsenal,Defensive Midfield,28.65,2018/2019,Arrival
Bernd Leno,Arsenal,Goalkeeper,25.0,2018/2019,Arrival
Sokratis Papastathopoulos,Arsenal,Centre-Back,16.0,2018/2019,Arrival
Mattéo Guendouzi,Arsenal,Central Midfield,8.0,2018/2019,Arrival
Denis Suárez,Arsenal,Attacking Midfield,2.5,2018/2019,Arrival
Lucas Pérez,Arsenal,Centre-Forward,4.4,2018/2019,Departure
Chuba Akpom,Arsenal,Centre-Forward,2.2,2018/2019,Departure
Joel Campbell,Arsenal,Right Winger,1.5,2018/2019,Departure
Takuma Asano,Arsenal,Right Winger,1.0,2018/2019,Departure
Jermain Defoe,Tottenham Hotspur,Centre-Forward,10.5,2003/2004,Arrival
Hélder Postiga,Tottenham Hotspur,Centre-Forward,9.0,2003/2004,Arrival
Frédéric Kanouté,Tottenham Hotspur,Centre-Forward,5.25,2003/2004,Arrival
Mbulelo Mabizela,Tottenham Hotspur,Centre-Back,2.3,2003/2004,Arrival
Bobby Zamora,Tottenham Hotspur,Centre-Forward,2.0,2003/2004,Arrival
Michael Brown,Tottenham Hotspur,Central Midfield,0.7,2003/2004,Arrival
Jonathan Blondel,Tottenham Hotspur,Defensive Midfield,1.2,2003/2004,Departure
Ben Thatcher,Tottenham Hotspur,Left-Back,0.45,2003/2004,Departure
Chris Perry,Tottenham Hotspur,Centre-Back,0.1,2003/2004,Departure
Andy Reid,Tottenham Hotspur,Left Midfield,8.0,2004/2005,Arrival
Michael Dawson,Tottenham Hotspur,Centre-Back,7.0,2004/2005,Arrival
Sean Davis,Tottenham Hotspur,Defensive Midfield,5.2,2004/2005,Arrival
Thimothée Atouba,Tottenham Hotspur,Left-Back,4.5,2004/2005,Arrival
Michael Carrick,Tottenham Hotspur,Defensive Midfield,4.1,2004/2005,Arrival
Paul Robinson,Tottenham Hotspur,Goalkeeper,3.0,2004/2005,Arrival
Pedro Mendes,Tottenham Hotspur,Central Midfield,3.0,2004/2005,Arrival
Noé Pamarot,Tottenham Hotspur,Centre-Back,2.4,2004/2005,Arrival
Mido,Tottenham Hotspur,Centre-Forward,2.0,2004/2005,Arrival
Erik Edman,Tottenham Hotspur,Left-Back,2.0,2004/2005,Arrival
Calum Davenport,Tottenham Hotspur,Defender,1.8,2004/2005,Arrival
Noureddine Naybet,Tottenham Hotspur,Centre-Back,1.0,2004/2005,Arrival
Reto Ziegler,Tottenham Hotspur,Centre-Back,1.0,2004/2005,Arrival
Mounir El Hamdaoui,Tottenham Hotspur,Centre-Forward,0.75,2004/2005,Arrival
Márton Fülöp,Tottenham Hotspur,Goalkeeper,0.75,2004/2005,Arrival
Radek Cerny,Tottenham Hotspur,Goalkeeper,0.4,2004/2005,Arrival
Leigh Mills,Tottenham Hotspur,Centre-Back,0.225,2004/2005,Arrival
Hélder Postiga,Tottenham Hotspur,Centre-Forward,7.5,2004/2005,Departure
Stephen Carr,Tottenham Hotspur,Right-Back,3.0,2004/2005,Departure
Jermaine Jenas,Tottenham Hotspur,Central Midfield,15.0,2005/2006,Arrival
Tom Huddlestone,Tottenham Hotspur,Defensive Midfield,4.7,2005/2006,Arrival
Grzegorz Rasiak,Tottenham Hotspur,Centre-Forward,3.5,2005/2006,Arrival
Danny Murphy,Tottenham Hotspur,Central Midfield,3.21,2005/2006,Arrival
Hossam Ghaly,Tottenham Hotspur,Central Midfield,3.0,2005/2006,Arrival
Wayne Routledge,Tottenham Hotspur,Left Winger,3.0,2005/2006,Arrival
Young-pyo Lee,Tottenham Hotspur,Left-Back,2.0,2005/2006,Arrival
Aaron Lennon,Tottenham Hotspur,Right Winger,1.2,2005/2006,Arrival
Rodrigo Defendi,Tottenham Hotspur,Centre-Back,0.9,2005/2006,Arrival
Frédéric Kanouté,Tottenham Hotspur,Centre-Forward,6.5,2005/2006,Departure
Simon Davies,Tottenham Hotspur,Right Midfield,5.25,2005/2006,Departure
Grzegorz Rasiak,Tottenham Hotspur,Centre-Forward,3.0,2005/2006,Departure
Erik Edman,Tottenham Hotspur,Left-Back,3.0,2005/2006,Departure
Sean Davis,Tottenham Hotspur,Defensive Midfield,2.8,2005/2006,Departure
Thimothée Atouba,Tottenham Hotspur,Left-Back,2.5,2005/2006,Departure
Michael Brown,Tottenham Hotspur,Central Midfield,2.3,2005/2006,Departure
Reto Ziegler,Tottenham Hotspur,Centre-Back,0.1,2005/2006,Departure
Dimitar Berbatov,Tottenham Hotspur,Centre-Forward,15.7,2006/2007,Arrival
Didier Zokora,Tottenham Hotspur,Defensive Midfield,12.35,2006/2007,Arrival
Pascal Chimbonda,Tottenham Hotspur,Right-Back,10.0,2006/2007,Arrival
