Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Denis Cheryshev,Valencia,RUS,"MF,FW",27.0,2.2,1.0,3.0,2.0,66.7,1.38,0.92,0.33,0.5,12.6
Geoffrey Kondogbia,Valencia,CTA,MF,25.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,28.8
Lee Kang-in,Valencia,KOR,"MF,DF",17.0,0.4,0.0,3.0,1.0,33.3,7.11,2.37,0.0,0.0,17.6
Damián Suárez,Getafe,URU,DF,30.0,41.2,,,,,,,,,
Nemanja Maksimović,Getafe,SRB,MF,23.0,39.2,,,,,,,,,
David Soria,Getafe,ESP,GK,25.0,37.0,,,,,,,,,
Djené,Getafe,TOG,DF,26.0,36.1,,,,,,,,,
Leandro Cabrera,Getafe,URU,DF,27.0,34.7,,,,,,,,,
Mauro Arambarri,Getafe,URU,MF,22.0,32.1,,,,,,,,,
Jorge Molina,Getafe,ESP,FW,36.0,30.9,,,,,,,,,
Jaime Mata,Getafe,ESP,"FW,MF",29.0,30.1,,,,,,,,,
Vitorino Antunes,Getafe,POR,"DF,MF",31.0,26.2,,,,,,,,,
Francisco Portillo,Getafe,ESP,MF,28.0,26.0,,,,,,,,,
Bruno González,Getafe,ESP,DF,28.0,24.0,,,,,,,,,
Ángel Rodríguez,Getafe,ESP,FW,31.0,23.3,,,,,,,,,
Dimitri Foulquier,Getafe,FRA,"MF,DF",25.0,23.1,,,,,,,,,
Mathías Olivera,Getafe,URU,"DF,MF",20.0,11.2,,,,,,,,,
Amath,Getafe,SEN,MF,22.0,11.1,,,,,,,,,
Sebastián Cristóforo,Getafe,URU,MF,24.0,8.8,,,,,,,,,
Mathieu Flamini,Getafe,FRA,MF,34.0,7.2,,,,,,,,,
Leandro Chichizola,Getafe,ARG,GK,28.0,7.0,,,,,,,,,
Ignasi Miquel,Getafe,ESP,DF,25.0,6.5,,,,,,,,,
Hugo Duro,Getafe,ESP,"MF,FW",18.0,6.3,,,,,,,,,
Gaku Shibasaki,Getafe,JPN,"MF,FW",26.0,5.6,,,,,,,,,
Samuel Sáiz,Getafe,ESP,MF,27.0,5.3,,,,,,,,,
Robert Ibáñez,Getafe,ESP,MF,25.0,3.7,,,,,,,,,
Iván Alejo,Getafe,ESP,MF,23.0,3.7,,,,,,,,,
Ibrahim Amadou,Sevilla,FRA,"MF,DF",25.0,6.0,0.0,8.0,1.0,12.5,1.33,0.17,0.0,0.0,
Quincy Promes,Sevilla,NED,"MF,FW",26.0,6.0,0.0,11.0,2.0,18.2,1.83,0.33,0.0,0.0,
Juan Soriano,Sevilla,ESP,GK,20.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,
Roque Mesa,Sevilla,ESP,MF,29.0,4.2,0.0,4.0,0.0,0.0,0.94,0.0,0.0,,
Gabriel Mercado,Sevilla,ARG,DF,31.0,4.0,0.0,4.0,1.0,25.0,1.0,0.25,0.0,0.0,
Daniel Carriço,Sevilla,POR,DF,29.0,3.0,0.0,0.0,0.0,,0.0,0.0,,,
Joris Gnagnon,Sevilla,FRA,DF,21.0,3.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,
Simon Kjær,Sevilla,DEN,DF,29.0,3.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,
Nolito,Sevilla,ESP,"FW,MF",31.0,3.0,1.0,11.0,4.0,36.4,3.67,1.33,0.09,0.25,
Guilherme Arana,Sevilla,BRA,MF,21.0,3.0,1.0,6.0,2.0,33.3,2.03,0.68,0.17,0.5,
Franco Vázquez,Sevilla,ARG,MF,29.0,2.8,0.0,7.0,1.0,14.3,2.53,0.36,0.0,0.0,
André Silva,Sevilla,POR,FW,22.0,2.7,2.0,7.0,5.0,71.4,2.6,1.86,0.29,0.4,
Éver Banega,Sevilla,ARG,MF,30.0,2.6,0.0,7.0,3.0,42.9,2.69,1.15,0.0,0.0,
