Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Rober,Levante,ESP,DF,23.0,34.7,,,,,,,,,
Enis Bardhi,Levante,MKD,MF,23.0,32.6,,,,,,,,,
Jason,Levante,ESP,"DF,FW",24.0,26.8,,,,,,,,,
Coke,Levante,ESP,DF,31.0,23.2,,,,,,,,,
Borja Mayoral,Levante,ESP,FW,21.0,21.7,,,,,,,,,
Erick Cabaco,Levante,URU,DF,23.0,21.1,,,,,,,,,
Oier Olazábal,Levante,ESP,GK,28.0,21.0,,,,,,,,,
Roger Martí,Levante,ESP,FW,27.0,21.0,,,,,,,,,
Rubén Rochina,Levante,ESP,MF,27.0,21.0,,,,,,,,,
Aitor Fernández,Levante,ESP,GK,27.0,20.0,,,,,,,,,
Toño,Levante,ESP,"DF,FW",28.0,19.6,,,,,,,,,
Sergio Postigo,Levante,ESP,DF,29.0,17.9,,,,,,,,,
Antonio Luna,Levante,ESP,"DF,FW",27.0,16.0,,,,,,,,,
Chema,Levante,ESP,DF,26.0,15.7,,,,,,,,,
Rúben Vezo,Levante,POR,DF,24.0,14.9,,,,,,,,,
Moses Simon,Levante,NGA,"DF,MF",23.0,12.5,,,,,,,,,
Emmanuel Boateng,Levante,GHA,FW,22.0,10.2,,,,,,,,,
Sanjin Prcić,Levante,BIH,MF,24.0,9.9,,,,,,,,,
Nikola Vukčević,Levante,MNE,MF,26.0,8.2,,,,,,,,,
Pedro López Muñoz,Levante,ESP,DF,34.0,6.2,,,,,,,,,
Cheick Doukouré,Levante,CIV,MF,25.0,5.0,,,,,,,,,
Raphael Dwamena,Levante,GHA,FW,22.0,4.8,,,,,,,,,
Fran Manzanara,Levante,ESP,"DF,MF",21.0,1.7,,,,,,,,,
Nacho,Valladolid,ESP,DF,29.0,36.0,,,,,,,,,
Jordi Masip,Valladolid,ESP,GK,29.0,35.0,,,,,,,,,
Fernando Calero,Valladolid,ESP,DF,22.0,34.8,,,,,,,,,
Kiko Olivas,Valladolid,ESP,DF,29.0,34.4,,,,,,,,,
Rubén Alcaraz,Valladolid,ESP,MF,27.0,34.1,,,,,,,,,
Óscar Plano,Valladolid,ESP,"MF,FW",27.0,32.2,,,,,,,,,
Míchel,Valladolid,ESP,MF,30.0,28.4,,,,,,,,,
Javi Moyano,Valladolid,ESP,DF,32.0,24.3,,,,,,,,,
Enes Ünal,Valladolid,TUR,FW,21.0,24.1,,,,,,,,,
Antoñito,Valladolid,ESP,"DF,MF",30.0,22.7,,,,,,,,,
Toni Villa,Valladolid,ESP,"MF,FW",23.0,19.6,,,,,,,,,
Keko,Valladolid,ESP,"MF,FW",26.0,18.8,,,,,,,,,
Sergi Guardiola,Valladolid,ESP,FW,27.0,16.8,,,,,,,,,
Anuar,Valladolid,MAR,"MF,FW",23.0,16.0,,,,,,,,,
Joaquín Fernández,Valladolid,ESP,"DF,MF",22.0,13.3,,,,,,,,,
Borja Fernández,Valladolid,ESP,"MF,DF",37.0,12.3,,,,,,,,,
Duje Čop,Valladolid,CRO,FW,28.0,10.4,,,,,,,,,
Daniele Verde,Valladolid,ITA,"MF,FW",22.0,10.1,,,,,,,,,
Leonardo Suárez,Valladolid,ARG,"FW,MF",22.0,7.9,,,,,,,,,
Yoel,Valladolid,ESP,GK,29.0,7.0,,,,,,,,,
Moisés Delgado,Valladolid,ESP,DF,24.0,6.0,,,,,,,,,
Waldo Rubio,Valladolid,ESP,MF,22.0,5.5,,,,,,,,,
Ivi,Valladolid,ESP,"MF,FW",24.0,2.0,,,,,,,,,
Luismi,Valladolid,ESP,"DF,MF",26.0,2.0,,,,,,,,,
Mohammed Salisu,Valladolid,GHA,DF,19.0,2.0,,,,,,,,,
Pablo Hervías,Valladolid,ESP,MF,25.0,1.8,,,,,,,,,
Miguel,Valladolid,ESP,FW,18.0,1.1,,,,,,,,,
Javier Aparicio,Valladolid,ESP,DF,18.0,0.9,,,,,,,,,
Kuki,Valladolid,ESP,MF,20.0,0.8,,,,,,,,,
Chris Ramos,Valladolid,ESP,FW,21.0,0.7,,,,,,,,,
Stiven Plaza,Valladolid,ECU,"FW,MF",19.0,0.4,,,,,,,,,
Alberto Guitián,Valladolid,ESP,DF,28.0,0.3,,,,,,,,,
Hugo Mallo,Celta Vigo,ESP,DF,27.0,34.4,,,,,,,,,
Maxi Gómez,Celta Vigo,URU,FW,21.0,33.3,,,,,,,,,
Néstor Araujo,Celta Vigo,MEX,DF,26.0,30.8,,,,,,,,,
Stanislav Lobotka,Celta Vigo,SVK,MF,23.0,28.5,,,,,,,,,
Brais Méndez,Celta Vigo,ESP,"MF,FW",21.0,26.6,,,,,,,,,
Iago Aspas,Celta Vigo,ESP,"FW,MF",30.0,26.2,,,,,,,,,
Okay Yokuşlu,Celta Vigo,TUR,MF,24.0,26.0,,,,,,,,,
Rubén Blanco,Celta Vigo,ESP,GK,23.0,26.0,,,,,,,,,
Sofiane Boufal,Celta Vigo,MAR,"MF,FW",24.0,23.2,,,,,,,,,
Gustavo Cabral,Celta Vigo,ARG,DF,32.0,22.1,,,,,,,,,
David Juncà,Celta Vigo,ESP,DF,24.0,19.5,,,,,,,,,
Fran Beltrán,Celta Vigo,ESP,MF,19.0,18.1,,,,,,,,,
David Costas,Celta Vigo,ESP,DF,23.0,14.0,,,,,,,,,
Sergio Álvarez,Celta Vigo,ESP,GK,31.0,14.0,,,,,,,,,
Jozabed,Celta Vigo,ESP,MF,27.0,13.2,,,,,,,,,
Facundo Roncaglia,Celta Vigo,ARG,DF,31.0,12.9,,,,,,,,,
Pione Sisto,Celta Vigo,DEN,"FW,MF",23.0,10.9,,,,,,,,,
Lucas Olaza,Celta Vigo,URU,DF,24.0,10.0,,,,,,,,,
Wesley Hoedt,Celta Vigo,NED,DF,24.0,9.9,,,,,,,,,
Ryad Boudebouz,Celta Vigo,ALG,"MF,FW",28.0,8.0,,,,,,,,,
Júnior Alonso,Celta Vigo,PAR,"DF,MF",25.0,8.0,,,,,,,,,
Andrew Hjulsager,Celta Vigo,DEN,"MF,FW",23.0,5.8,,,,,,,,,
Emre Mor,Celta Vigo,TUR,"FW,MF",21.0,5.2,,,,,,,,,
Kevin Vázquez,Celta Vigo,ESP,DF,25.0,4.4,,,,,,,,,
Dennis Eckert,Celta Vigo,GER,FW,21.0,2.9,,,,,,,,,
Mathias Jensen,Celta Vigo,DEN,"MF,FW",22.0,2.6,,,,,,,,,
Bernardo Espinosa,Girona,COL,DF,29.0,35.0,,,,,,,,,
Juanpe,Girona,ESP,DF,27.0,33.2,,,,,,,,,
Portu,Girona,ESP,"FW,MF",26.0,32.8,,,,,,,,,
Pere Pons,Girona,ESP,MF,25.0,31.9,,,,,,,,,
Cristhian Stuani,Girona,URU,FW,31.0,31.9,,,,,,,,,
Yassine Bounou,Girona,MAR,GK,27.0,31.8,,,,,,,,,
Borja García,Girona,ESP,"MF,FW",27.0,30.5,,,,,,,,,
Álex Granell,Girona,ESP,"MF,DF",29.0,30.5,,,,,,,,,
Pedro Porro,Girona,ESP,DF,18.0,26.6,,,,,,,,,
Pedro Alcalá,Girona,ESP,DF,29.0,24.3,,,,,,,,,
Jonás Ramalho,Girona,ESP,DF,25.0,23.0,,,,,,,,,
Douglas Luiz,Girona,BRA,MF,20.0,21.8,,,,,,,,,
Aleix García,Girona,ESP,MF,21.0,21.5,,,,,,,,,
Marc Muniesa,Girona,ESP,"DF,MF",26.0,20.1,,,,,,,,,
Valery Fernández,Girona,ESP,"DF,FW",18.0,14.2,,,,,,,,,
Anthony Lozano,Girona,HON,"FW,MF",25.0,13.1,,,,,,,,,
Gorka Iraizoz,Girona,ESP,GK,37.0,12.2,,,,,,,,,
Raúl García,Girona,ESP,DF,29.0,11.4,,,,,,,,,
Seydou Doumbia,Girona,CIV,FW,30.0,9.7,,,,,,,,,
Patrick Roberts,Girona,ENG,"MF,FW",21.0,7.2,,,,,,,,,
Aday,Girona,ESP,"DF,MF",30.0,7.2,,,,,,,,,
Carles Planas,Girona,ESP,DF,27.0,4.7,,,,,,,,,
Paik Seung-ho,Girona,KOR,"FW,MF",21.0,2.5,,,,,,,,,
Kévin Soni,Girona,CMR,"FW,DF",20.0,1.9,,,,,,,,,
David Timor,Girona,ESP,MF,28.0,1.8,,,,,,,,,
Yhoan Andzouana,Girona,CGO,"DF,MF",21.0,1.8,,,,,,,,,
Alejandro Pachón,Girona,ESP,FW,18.0,0.3,,,,,,,,,
Moi Gómez,Huesca,ESP,MF,24.0,33.9,,,,,,,,,
Jorge Pulido,Huesca,ESP,DF,27.0,31.6,,,,,,,,,
Xabier Etxeita,Huesca,ESP,DF,30.0,30.7,,,,,,,,,
Jorge Miramón,Huesca,ESP,DF,29.0,28.5,,,,,,,,,
David Ferreiro,Huesca,ESP,"MF,FW",30.0,25.3,,,,,,,,,
Ezequiel Ávila,Huesca,ARG,"FW,MF",24.0,24.2,,,,,,,,,
Cucho,Huesca,COL,FW,19.0,23.9,,,,,,,,,
Roberto Santamaría,Huesca,ESP,GK,33.0,20.0,,,,,,,,,
Cristian Rivera,Huesca,ESP,MF,21.0,19.8,,,,,,,,,
Damián Musto,Huesca,ARG,"MF,DF",31.0,19.2,,,,,,,,,
Enric Gallego,Huesca,ESP,FW,31.0,17.1,,,,,,,,,
Javi Galán,Huesca,ESP,"DF,FW",23.0,16.0,,,,,,,,,
Gonzalo Melero,Huesca,ESP,MF,24.0,15.9,,,,,,,,,
Yangel Herrera,Huesca,VEN,"MF,DF",20.0,12.8,,,,,,,,,
Carlos Akapo,Huesca,EQG,DF,25.0,12.4,,,,,,,,,
Aleksandar Jovanović,Huesca,SRB,GK,25.0,12.0,,,,,,,,,
Álex Gallar,Huesca,ESP,"MF,FW",26.0,11.2,,,,,,,,,
Pablo Insua,Huesca,ESP,DF,24.0,10.6,,,,,,,,,
Rúben Semedo,Huesca,POR,DF,24.0,9.8,,,,,,,,,
Adrián Diéguez,Huesca,ESP,DF,22.0,8.3,,,,,,,,,
Samuele Longo,Huesca,ITA,FW,26.0,8.2,,,,,,,,,
Axel Werner,Huesca,ARG,GK,22.0,8.0,,,,,,,,,
Martín Mantovani,Huesca,ARG,DF,34.0,7.8,,,,,,,,,
Juanpi,Huesca,VEN,"MF,FW",24.0,7.4,,,,,,,,,
Serdar Gürler,Huesca,TUR,"MF,FW",26.0,7.2,,,,,,,,,
Luisinho,Huesca,POR,DF,33.0,5.6,,,,,,,,,
Juan Aguilera,Huesca,ESP,MF,32.0,5.3,,,,,,,,,
Lluís Sastre,Huesca,ESP,MF,32.0,3.1,,,,,,,,,
Rajko Brežančić,Huesca,SRB,DF,28.0,2.2,,,,,,,,,
Álex Moreno,Rayo Vallecano,ESP,DF,25.0,34.8,,,,,,,,,
Raúl de Tomás,Rayo Vallecano,ESP,FW,23.0,31.6,,,,,,,,,
Jordi Amat,Rayo Vallecano,IDN,DF,26.0,30.7,,,,,,,,,
Luis Advíncula,Rayo Vallecano,PER,DF,28.0,27.5,,,,,,,,,
Adri Embarba,Rayo Vallecano,ESP,"MF,FW",26.0,25.4,,,,,,,,,
Abdoulaye Ba,Rayo Vallecano,SEN,DF,27.0,24.4,,,,,,,,,
Santi Comesaña,Rayo Vallecano,ESP,MF,21.0,22.6,,,,,,,,,
Stole Dimitrievski,Rayo Vallecano,MKD,GK,24.0,22.0,,,,,,,,,
Giannelli Imbula,Rayo Vallecano,COD,MF,25.0,21.2,,,,,,,,,
Álvaro García,Rayo Vallecano,ESP,"FW,MF",25.0,21.0,,,,,,,,,
Óscar Trejo,Rayo Vallecano,ARG,"MF,FW",30.0,20.5,,,,,,,,,
José Pozo,Rayo Vallecano,ESP,MF,22.0,19.5,,,,,,,,,
Alberto García,Rayo Vallecano,ESP,GK,33.0,18.0,,,,,,,,,
Emiliano Velázquez,Rayo Vallecano,URU,DF,24.0,16.2,,,,,,,,,
Bebé,Rayo Vallecano,CPV,"FW,MF",28.0,15.9,,,,,,,,,
Álex Gálvez,Rayo Vallecano,ESP,DF,29.0,15.8,,,,,,,,,
Álvaro Medrán,Rayo Vallecano,ESP,MF,24.0,13.8,,,,,,,,,
Tito,Rayo Vallecano,ESP,DF,33.0,13.1,,,,,,,,,
Mario Suárez,Rayo Vallecano,ESP,MF,31.0,11.4,,,,,,,,,
Gaël Kakuta,Rayo Vallecano,COD,"MF,FW",27.0,8.0,,,,,,,,,
Uche Henry Agbo,Rayo Vallecano,NGA,MF,22.0,4.1,,,,,,,,,
Sergio Akieme,Rayo Vallecano,ESP,DF,20.0,4.0,,,,,,,,,
Álex Alegría,Rayo Vallecano,ESP,"FW,MF",25.0,3.6,,,,,,,,,
Gorka Elustondo,Rayo Vallecano,ESP,"MF,DF",31.0,3.2,,,,,,,,,
Chechu,Rayo Vallecano,ESP,DF,36.0,3.0,,,,,,,,,
Javi Guerra,Rayo Vallecano,ESP,"FW,MF",36.0,2.6,,,,,,,,,
Catena,Rayo Vallecano,ESP,DF,23.0,2.0,,,,,,,,,
Franco Di Santo,Rayo Vallecano,ARG,FW,29.0,1.9,,,,,,,,,
Federico Bernardeschi,Juventus,ITA,"FW,MF",24.0,2.0,1.0,,,,,,,,
Mattia De Sciglio,Juventus,ITA,"DF,MF",25.0,2.0,0.0,,,,,,,,
Wojciech Szczęsny,Juventus,POL,GK,28.0,2.0,0.0,,,,,,,,
Sami Khedira,Juventus,GER,MF,31.0,1.8,0.0,,,,,,,,
Giorgio Chiellini,Juventus,ITA,DF,33.0,1.3,0.0,,,,,,,,
Cristiano Ronaldo,Juventus,POR,"FW,MF",33.0,1.3,0.0,,,,,,,,
Miralem Pjanić,Juventus,BIH,MF,28.0,1.2,0.0,,,,,,,,
Douglas Costa,Juventus,BRA,"FW,MF",27.0,1.2,0.0,,,,,,,,
Alex Sandro,Juventus,BRA,"DF,MF",27.0,1.1,0.0,,,,,,,,
Rodrigo Bentancur,Juventus,URU,MF,21.0,1.0,0.0,,,,,,,,
Leonardo Bonucci,Juventus,ITA,DF,31.0,1.0,0.0,,,,,,,,
Emre Can,Juventus,GER,"DF,MF",24.0,1.0,0.0,,,,,,,,
Blaise Matuidi,Juventus,FRA,MF,31.0,1.0,0.0,,,,,,,,
Daniele Rugani,Juventus,ITA,DF,24.0,1.0,0.0,,,,,,,,
Leonardo Spinazzola,Juventus,ITA,"DF,MF",25.0,0.9,0.0,,,,,,,,
Paulo Dybala,Juventus,ARG,"FW,MF",24.0,0.8,0.0,,,,,,,,
Moise Kean,Juventus,ITA,FW,18.0,0.7,1.0,,,,,,,,
João Cancelo,Juventus,POR,"DF,MF",24.0,0.7,0.0,,,,,,,,
Alex Meret,Napoli,ITA,GK,21.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,
Piotr Zieliński,Napoli,POL,MF,24.0,5.3,1.0,10.0,1.0,10.0,1.9,0.19,0.1,1.0,21.8
José Callejón,Napoli,ESP,"MF,DF",31.0,5.0,1.0,8.0,3.0,37.5,1.6,0.6,0.13,0.33,13.1
Kalidou Koulibaly,Napoli,SEN,DF,27.0,5.0,0.0,7.0,2.0,28.6,1.4,0.4,0.0,0.0,9.3
Allan,Napoli,BRA,MF,27.0,4.9,0.0,0.0,0.0,,0.0,0.0,,,
Fabián Ruiz Peña,Napoli,ESP,MF,22.0,4.9,1.0,10.0,2.0,20.0,2.04,0.41,0.1,0.5,22.3
Arkadiusz Milik,Napoli,POL,FW,24.0,4.3,2.0,16.0,8.0,50.0,3.7,1.85,0.13,0.25,16.6
Elseid Hysaj,Napoli,ALB,DF,24.0,4.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,25.0
Dries Mertens,Napoli,BEL,FW,31.0,4.0,0.0,8.0,2.0,25.0,2.01,0.5,0.0,0.0,26.8
Lorenzo Insigne,Napoli,ITA,FW,27.0,3.5,1.0,10.0,3.0,30.0,2.84,0.85,0.1,0.33,15.9
Nikola Maksimović,Napoli,SRB,DF,26.0,3.5,0.0,0.0,0.0,,0.0,0.0,,,
Mário Rui,Napoli,POR,DF,27.0,3.2,0.0,2.0,0.0,0.0,0.62,0.0,0.0,,26.4
Faouzi Ghoulam,Napoli,ALG,DF,27.0,2.6,0.0,2.0,0.0,0.0,0.77,0.0,0.0,,22.3
Vlad Chiricheș,Napoli,ROU,DF,28.0,2.5,0.0,1.0,0.0,0.0,0.41,0.0,0.0,,9.8
Amadou Diawara,Napoli,GUI,MF,21.0,1.8,0.0,1.0,0.0,0.0,0.55,0.0,0.0,,28.1
Sebastiano Luperto,Napoli,ITA,DF,21.0,1.6,0.0,0.0,0.0,,0.0,0.0,,,
Adam Ounas,Napoli,ALG,"MF,FW",21.0,1.3,1.0,9.0,4.0,44.4,6.92,3.08,0.11,0.25,18.9
Kévin Malcuit,Napoli,MAR,DF,27.0,1.1,0.0,0.0,0.0,,0.0,0.0,,,
Simone Verdi,Napoli,ITA,MF,26.0,1.0,1.0,2.0,2.0,100.0,2.0,2.0,0.5,0.5,7.8
Amin Younes,Napoli,GER,"MF,FW",24.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,
Remo Freuler,Atalanta,SUI,MF,26.0,37.2,,,,,,,,,
Papu Gómez,Atalanta,ARG,"MF,FW",30.0,37.2,,,,,,,,,
Hans Hateboer,Atalanta,NED,DF,24.0,37.0,,,,,,,,,
Duván Zapata,Atalanta,COL,FW,27.0,37.0,,,,,,,,,
Marten de Roon,Atalanta,NED,MF,27.0,37.0,,,,,,,,,
José Luis Palomino,Atalanta,ARG,DF,28.0,30.1,,,,,,,,,
Josip Iličić,Atalanta,SVN,"FW,MF",30.0,28.1,,,,,,,,,
Timothy Castagne,Atalanta,BEL,DF,22.0,27.2,,,,,,,,,
Gianluca Mancini,Atalanta,ITA,DF,22.0,26.0,,,,,,,,,
Berat Djimsiti,Atalanta,ALB,DF,25.0,24.1,,,,,,,,,
Pierluigi Gollini,Atalanta,ITA,GK,23.0,23.0,,,,,,,,,
Robin Gosens,Atalanta,GER,"DF,MF",24.0,22.6,,,,,,,,,
Andrea Masiello,Atalanta,ITA,DF,32.0,22.4,,,,,,,,,
Rafael Tolói,Atalanta,ITA,DF,27.0,22.4,,,,,,,,,
Mario Pašalić,Atalanta,CRO,MF,23.0,20.1,,,,,,,,,
Etrit Berisha,Atalanta,ALB,GK,29.0,20.0,,,,,,,,,
Musa Barrow,Atalanta,GAM,FW,19.0,6.8,,,,,,,,,
Emiliano Rigoni,Atalanta,ARG,"FW,MF",25.0,5.8,,,,,,,,,
Matteo Pessina,Atalanta,ITA,"MF,FW",21.0,3.6,,,,,,,,,
Ali Adnan Kadhim,Atalanta,IRQ,DF,24.0,1.8,,,,,,,,,
Dejan Kulusevski,Atalanta,SWE,MF,18.0,1.2,,,,,,,,,
Luca Valzania,Atalanta,ITA,MF,22.0,0.8,,,,,,,,,
Arkadiusz Reca,Atalanta,POL,DF,23.0,0.6,,,,,,,,,
Roberto Piccoli,Atalanta,ITA,"FW,MF",17.0,0.5,,,,,,,,,
Marco Tumminello,Atalanta,ITA,"FW,DF",19.0,0.1,,,,,,,,,
Samir Handanović,Internazionale,SVN,GK,34.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,
Matías Vecino,Internazionale,URU,MF,26.0,4.0,1.0,5.0,2.0,40.0,1.25,0.5,0.2,0.5,17.1
Ivan Perišić,Internazionale,CRO,FW,29.0,3.6,1.0,8.0,4.0,50.0,2.2,1.1,0.13,0.25,15.8
Matteo Politano,Internazionale,ITA,"FW,MF",24.0,3.0,1.0,6.0,2.0,33.3,1.99,0.66,0.17,0.5,19.6
Kwadwo Asamoah,Internazionale,GHA,DF,29.0,3.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,17.0
Stefan de Vrij,Internazionale,NED,DF,26.0,3.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,12.1
Borja Valero,Internazionale,ESP,MF,33.0,3.0,0.0,3.0,1.0,33.3,1.0,0.33,0.0,0.0,21.5
Milan Škriniar,Internazionale,SVK,DF,23.0,2.8,0.0,3.0,1.0,33.3,1.05,0.35,0.0,0.0,16.9
Cédric Soares,Internazionale,POR,DF,26.0,2.8,0.0,1.0,0.0,0.0,0.36,0.0,0.0,,31.7
Lautaro Martínez,Internazionale,ARG,FW,20.0,2.7,1.0,4.0,2.0,50.0,1.47,0.73,0.0,0.0,12.7
Antonio Candreva,Internazionale,ITA,"FW,MF",31.0,2.5,0.0,4.0,1.0,25.0,1.59,0.4,0.0,0.0,24.7
Danilo D'Ambrosio,Internazionale,ITA,DF,29.0,2.1,0.0,1.0,1.0,100.0,0.48,0.48,0.0,0.0,16.4
Radja Nainggolan,Internazionale,BEL,MF,30.0,1.9,0.0,4.0,0.0,0.0,2.11,0.0,0.0,,19.5
Marcelo Brozović,Internazionale,CRO,MF,25.0,1.7,0.0,1.0,0.0,0.0,0.6,0.0,0.0,,35.6
Andrea Ranocchia,Internazionale,ITA,DF,30.0,1.3,1.0,2.0,1.0,50.0,1.51,0.76,0.5,1.0,18.4
Miranda,Internazionale,BRA,DF,33.0,1.2,0.0,0.0,0.0,,0.0,0.0,,,
Keita Baldé,Internazionale,SEN,FW,23.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
Sebastiano Esposito,Internazionale,ITA,MF,16.0,0.2,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,10.1
Davide Merola,Internazionale,ITA,MF,18.0,0.1,0.0,1.0,0.0,0.0,8.18,0.0,0.0,,27.2
Tiemoué Bakayoko,Milan,FRA,MF,23.0,4.3,0.0,,,,,,,,
Alessio Romagnoli,Milan,ITA,DF,23.0,4.3,0.0,,,,,,,,
Franck Kessié,Milan,CIV,"DF,MF",21.0,3.6,0.0,,,,,,,,
Diego Laxalt,Milan,URU,"DF,MF",25.0,3.1,0.0,,,,,,,,
Mateo Musacchio,Milan,ARG,DF,27.0,3.0,0.0,,,,,,,,
Krzysztof Piątek,Milan,POL,FW,23.0,2.9,2.0,,,,,,,,
Samu Castillejo,Milan,ESP,"FW,MF",23.0,2.8,0.0,,,,,,,,
Lucas Paquetá,Milan,BRA,"FW,MF",20.0,2.8,0.0,,,,,,,,
Pepe Reina,Milan,ESP,GK,35.0,2.3,0.0,,,,,,,,
Ignazio Abate,Milan,ITA,"DF,MF",31.0,2.1,0.0,,,,,,,,
Fabio Borini,Milan,ITA,"FW,MF",27.0,2.1,0.0,,,,,,,,
Gianluigi Donnarumma,Milan,ITA,GK,19.0,2.0,0.0,,,,,,,,
Suso,Milan,ESP,"FW,MF",24.0,1.8,0.0,,,,,,,,
Davide Calabria,Milan,ITA,"DF,MF",21.0,1.4,0.0,,,,,,,,
Hakan Çalhanoğlu,Milan,TUR,"FW,MF",24.0,2.7,0.0,,,,,,,,
Ricardo Rodríguez,Milan,SUI,"DF,MF",25.0,1.4,0.0,,,,,,,,
Cristián Zapata,Milan,COL,DF,31.0,1.3,0.0,,,,,,,,
Gonzalo Higuaín,Milan,ARG,"FW,MF",30.0,1.2,0.0,,,,,,,,
Mattia Caldara,Milan,ITA,DF,24.0,0.7,0.0,,,,,,,,
Andrea Conti,Milan,ITA,"DF,MF",24.0,0.8,0.0,,,,,,,,
Patrick Cutrone,Milan,ITA,FW,20.0,0.8,2.0,,,,,,,,
Lucas Biglia,Milan,ARG,MF,32.0,0.1,0.0,,,,,,,,
Aleksandar Kolarov,Roma,SRB,"DF,MF",32.0,7.3,,,,,,,,,
Kostas Manolas,Roma,GRE,DF,27.0,7.3,,,,,,,,,
Steven Nzonzi,Roma,FRA,MF,29.0,6.8,,,,,,,,,
Alessandro Florenzi,Roma,ITA,"DF,FW",27.0,6.9,,,,,,,,,
Edin Džeko,Roma,BIH,FW,32.0,6.3,,,,,,,,,
Robin Olsen,Roma,SWE,GK,28.0,6.3,,,,,,,,,
Federico Fazio,Roma,ARG,DF,31.0,6.0,,,,,,,,,
Bryan Cristante,Roma,ITA,MF,23.0,5.7,,,,,,,,,
Cengiz Ünder,Roma,TUR,"FW,MF",21.0,4.8,,,,,,,,,
Lorenzo Pellegrini,Roma,ITA,MF,22.0,4.3,,,,,,,,,
Nicolò Zaniolo,Roma,ITA,"MF,FW",19.0,4.3,,,,,,,,,
Daniele De Rossi,Roma,ITA,MF,35.0,3.4,,,,,,,,,
Stephan El Shaarawy,Roma,ITA,FW,25.0,2.9,,,,,,,,,
Justin Kluivert,Roma,NED,FW,19.0,3.5,,,,,,,,,
Davide Santon,Roma,ITA,DF,27.0,2.9,,,,,,,,,
Patrik Schick,Roma,CZE,FW,22.0,2.8,,,,,,,,,
Juan Jesus,Roma,BRA,DF,27.0,2.4,,,,,,,,,
Antonio Mirante,Roma,ITA,GK,35.0,2.0,,,,,,,,,
Iván Marcano,Roma,ESP,DF,31.0,1.8,,,,,,,,,
Diego Perotti,Roma,ARG,"FW,MF",30.0,1.7,,,,,,,,,
Rick Karsdorp,Roma,NED,"MF,DF",23.0,0.8,,,,,,,,,
Javier Pastore,Roma,ARG,MF,29.0,0.6,,,,,,,,,
Ante Ćorić,Roma,CRO,MF,21.0,0.3,,,,,,,,,
Luca Pellegrini,Roma,ITA,DF,19.0,0.3,,,,,,,,,
Andrea Belotti,Torino,ITA,FW,24.0,38.7,,,,,,,,,
Armando Izzo,Torino,ITA,DF,26.0,38.1,,,,,,,,,
Nicolas Nkoulou,Torino,CMR,DF,28.0,37.4,,,,,,,,,
Salvatore Sirigu,Torino,ITA,GK,31.0,36.2,,,,,,,,,
Tomás Rincón,Torino,VEN,MF,30.0,33.2,,,,,,,,,
Soualiho Meïté,Torino,FRA,MF,24.0,31.9,,,,,,,,,
Lorenzo De Silvestri,Torino,ITA,DF,30.0,28.8,,,,,,,,,
Daniele Baselli,Torino,ITA,MF,26.0,28.8,,,,,,,,,
Ola Aina,Torino,NGA,DF,21.0,25.2,,,,,,,,,
Emiliano Moretti,Torino,ITA,DF,37.0,24.3,,,,,,,,,
Cristian Ansaldi,Torino,ARG,"DF,MF",31.0,20.1,,,,,,,,,
Iago Falque,Torino,ESP,"FW,MF",28.0,19.9,,,,,,,,,
Álex Berenguer,Torino,ESP,"MF,DF",23.0,18.5,,,,,,,,,
Simone Zaza,Torino,ITA,"FW,MF",27.0,17.0,,,,,,,,,
Koffi Djidji,Torino,CIV,DF,25.0,16.4,,,,,,,,,
Saša Lukić,Torino,SRB,MF,21.0,12.3,,,,,,,,,
Roberto Soriano,Torino,ITA,MF,27.0,6.0,,,,,,,,,
Vittorio Parigini,Torino,ITA,"MF,DF",22.0,5.1,,,,,,,,,
Salvador Ichazo,Torino,URU,GK,26.0,4.8,,,,,,,,,
Gleison Bremer,Torino,BRA,DF,21.0,3.3,,,,,,,,,
Lyanco,Torino,BRA,DF,21.0,2.2,,,,,,,,,
Simone Edera,Torino,ITA,MF,21.0,1.9,,,,,,,,,
Adem Ljajić,Torino,SRB,MF,26.0,0.3,,,,,,,,,
Erick Ferigra,Torino,ECU,DF,19.0,0.1,,,,,,,,,
Francesco Acerbi,Lazio,ITA,DF,30.0,8.0,,,,,,,,,
Joaquín Correa,Lazio,ARG,"FW,MF",23.0,5.0,,,,,,,,,
Riza Durmisi,Lazio,DEN,"DF,FW",24.0,4.9,,,,,,,,,
Felipe Caicedo,Lazio,ECU,FW,29.0,4.7,,,,,,,,,
Danilo Cataldi,Lazio,ITA,MF,23.0,4.7,,,,,,,,,
Luiz Felipe,Lazio,ITA,DF,21.0,4.4,,,,,,,,,
Ciro Immobile,Lazio,ITA,FW,28.0,4.3,,,,,,,,,
Silvio Proto,Lazio,BEL,GK,35.0,4.0,,,,,,,,,
Thomas Strakosha,Lazio,ALB,GK,23.0,4.0,,,,,,,,,
Martín Cáceres,Lazio,URU,"DF,FW",31.0,3.8,,,,,,,,,
