Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Romain Métanire,Reims,MAD,DF,28.0,4.8,1,1,0,6.0,5.0,1.0,1.0,6.0,9.0,0.0,1.0,0,22.0,2.0,4.0,33.3
Axel Disasi,Reims,FRA,DF,20.0,3.1,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,11.0,4.0,4.0,50.0
Moreto Cassamã,Reims,GNB,MF,20.0,0.7,0,0,0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0,4.0,0.0,0.0,
Paul Bernardoni,Nimes,FRA,GK,21.0,40.3,0,0,0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0,28.0,12.0,2.0,85.7
Renaud Ripart,Nimes,FRA,"FW,DF",25.0,34.8,2,0,0,37.0,69.0,7.0,77.0,27.0,49.0,0.0,0.0,0,150.0,95.0,140.0,40.4
Téji Savanier,Nimes,FRA,MF,26.0,32.8,7,1,0,51.0,96.0,0.0,256.0,64.0,58.0,0.0,0.0,0,325.0,44.0,46.0,48.9
Anthony Briançon,Nimes,FRA,DF,23.0,32.5,9,1,0,31.0,24.0,1.0,3.0,70.0,27.0,0.0,3.0,0,159.0,74.0,60.0,55.2
Denis Bouanga,Nimes,GAB,"MF,FW",23.0,30.7,5,0,0,41.0,27.0,5.0,46.0,20.0,32.0,0.0,0.0,0,147.0,27.0,74.0,26.7
Sada Thioub,Nimes,SEN,"MF,FW",23.0,27.7,3,0,0,39.0,27.0,3.0,87.0,16.0,19.0,1.0,0.0,0,136.0,18.0,36.0,33.3
Antonin Bobichon,Nimes,FRA,MF,22.0,27.3,2,0,0,35.0,11.0,0.0,49.0,15.0,16.0,0.0,0.0,0,128.0,17.0,38.0,30.9
Faitout Maouassa,Nimes,FRA,DF,20.0,27.1,4,1,1,12.0,25.0,0.0,79.0,23.0,30.0,0.0,0.0,0,109.0,20.0,12.0,62.5
Sofiane Alakouch,Nimes,MAR,DF,20.0,24.0,5,0,0,29.0,32.0,0.0,40.0,46.0,44.0,0.0,0.0,0,93.0,18.0,26.0,40.9
Theo Valls,Nimes,FRA,MF,22.0,22.0,2,0,0,19.0,11.0,0.0,19.0,22.0,21.0,1.0,0.0,0,118.0,22.0,27.0,44.9
Jordan Ferri,Nimes,FRA,MF,26.0,21.8,5,0,0,40.0,30.0,2.0,21.0,15.0,31.0,0.0,0.0,0,194.0,21.0,31.0,40.4
Loïck Landre,Nimes,FRA,DF,26.0,19.7,6,1,0,22.0,16.0,1.0,1.0,38.0,21.0,0.0,1.0,0,78.0,32.0,38.0,45.7
Hervé Lybohy,Nimes,NIG,DF,35.0,16.9,3,0,0,18.0,10.0,0.0,2.0,14.0,13.0,0.0,1.0,1,77.0,28.0,30.0,48.3
Rachid Alioui,Nimes,MAR,FW,26.0,16.3,1,0,0,11.0,11.0,5.0,19.0,10.0,5.0,0.0,0.0,0,40.0,42.0,67.0,38.5
Umut Bozok,Nimes,TUR,FW,21.0,15.8,2,0,0,14.0,30.0,11.0,4.0,5.0,6.0,0.0,0.0,0,40.0,18.0,38.0,32.1
Gaëtan Paquiez,Nimes,FRA,DF,24.0,14.8,5,0,0,18.0,11.0,0.0,13.0,22.0,29.0,0.0,0.0,0,77.0,18.0,18.0,50.0
Florian Miguel,Nimes,FRA,DF,21.0,14.7,2,1,1,13.0,19.0,1.0,10.0,21.0,16.0,0.0,0.0,0,49.0,17.0,26.0,39.5
Baptiste Guillaume,Nimes,BEL,FW,23.0,14.0,4,0,0,24.0,21.0,3.0,3.0,2.0,6.0,1.0,0.0,0,26.0,84.0,71.0,54.2
Clément Depres,Nimes,FRA,FW,23.0,7.0,2,0,0,13.0,6.0,1.0,5.0,0.0,2.0,0.0,0.0,0,12.0,52.0,33.0,61.2
Mustapha Diallo,Nimes,SEN,MF,32.0,5.1,5,0,0,19.0,9.0,0.0,2.0,10.0,11.0,0.0,0.0,0,29.0,28.0,13.0,68.3
Féthi Harek,Nimes,ALG,DF,35.0,3.8,1,0,0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0,12.0,5.0,2.0,71.4
Abdel Malik Hsissane,Nimes,FRA,MF,27.0,2.3,1,0,0,,,,,,,,,0,,,,
Baptiste Valette,Nimes,FRA,GK,25.0,1.0,0,0,0,,,,,,,,,0,,,,
Damien Da Silva,Rennes,FRA,DF,30.0,48.9,7,0,0,36.0,35.0,3.0,2.0,57.0,36.0,0.0,2.0,0,194.0,105.0,61.0,63.3
Tomáš Koubek,Rennes,CZE,GK,25.0,48.5,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,40.0,8.0,2.0,80.0
Hamari Traoré,Rennes,MLI,DF,26.0,47.7,13,0,0,63.0,37.0,7.0,119.0,63.0,44.0,0.0,0.0,0,259.0,43.0,70.0,38.1
Ismaila Sarr,Rennes,SEN,"FW,MF",20.0,46.0,7,0,0,51.0,150.0,16.0,78.0,16.0,29.0,5.0,0.0,0,171.0,25.0,43.0,36.8
Clément Grenier,Rennes,FRA,MF,27.0,44.7,10,0,0,51.0,38.0,0.0,160.0,44.0,41.0,0.0,1.0,0,273.0,27.0,20.0,57.4
Benjamin André,Rennes,FRA,MF,27.0,43.9,12,1,1,99.0,70.0,5.0,22.0,74.0,85.0,1.0,1.0,0,271.0,171.0,130.0,56.8
Benjamin Bourigeaud,Rennes,FRA,"MF,FW",24.0,42.8,10,0,0,48.0,24.0,5.0,185.0,46.0,44.0,0.0,0.0,0,167.0,18.0,44.0,29.0
Mexer,Rennes,MOZ,DF,29.0,42.0,6,0,0,16.0,14.0,1.0,0.0,48.0,14.0,1.0,1.0,0,195.0,80.0,42.0,65.6
Ramy Bensebaini,Rennes,ALG,DF,23.0,36.5,13,0,0,43.0,53.0,4.0,58.0,63.0,60.0,0.0,1.0,1,177.0,71.0,37.0,65.7
Hatem Ben Arfa,Rennes,FRA,"FW,MF",31.0,35.9,2,0,0,29.0,57.0,6.0,95.0,7.0,14.0,1.0,0.0,0,100.0,7.0,13.0,35.0
M'Baye Niang,Rennes,SEN,"FW,MF",23.0,31.1,10,0,0,67.0,52.0,22.0,30.0,13.0,15.0,2.0,0.0,0,99.0,67.0,61.0,52.3
Mehdi Zeffane,Rennes,ALG,"DF,MF",26.0,23.1,7,0,0,16.0,6.0,1.0,51.0,26.0,26.0,0.0,0.0,0,88.0,25.0,31.0,44.6
Jérémy Gélin,Rennes,FRA,"DF,MF",21.0,19.9,3,1,0,18.0,11.0,0.0,0.0,28.0,22.0,0.0,0.0,0,105.0,15.0,26.0,36.6
Adrien Hunou,Rennes,FRA,"FW,MF",24.0,19.6,1,0,0,19.0,32.0,17.0,6.0,5.0,8.0,0.0,0.0,0,46.0,14.0,31.0,31.1
Romain Del Castillo,Rennes,FRA,"MF,FW",22.0,18.8,1,0,0,33.0,22.0,3.0,71.0,22.0,22.0,0.0,0.0,0,90.0,22.0,25.0,46.8
James Lea Siliki,Rennes,CMR,"MF,FW",22.0,18.8,4,0,0,35.0,28.0,1.0,74.0,11.0,21.0,0.0,0.0,0,82.0,5.0,10.0,33.3
Jakob Johansson,Rennes,SWE,MF,28.0,12.6,1,0,0,13.0,12.0,0.0,1.0,9.0,12.0,0.0,0.0,0,89.0,25.0,16.0,61.0
Jordan Pefok,Rennes,USA,FW,22.0,11.7,0,0,0,19.0,9.0,2.0,1.0,5.0,6.0,2.0,0.0,0,26.0,21.0,24.0,46.7
Abdoulaye Diallo,Rennes,SEN,GK,26.0,8.5,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,6.0,2.0,0.0,100.0
Gerzino Nyamsi,Rennes,FRA,DF,21.0,7.9,2,1,1,15.0,4.0,0.0,0.0,8.0,6.0,0.0,0.0,0,26.0,22.0,10.0,68.8
Souleyman Doumbia,Rennes,CIV,DF,21.0,7.1,0,0,0,7.0,7.0,1.0,8.0,4.0,7.0,0.0,0.0,0,39.0,11.0,8.0,57.9
Eduardo Camavinga,Rennes,FRA,MF,15.0,4.0,1,0,0,9.0,11.0,0.0,0.0,4.0,15.0,0.0,0.0,0,25.0,4.0,2.0,66.7
Denis-Will Poha,Rennes,FRA,MF,21.0,2.4,0,0,0,4.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0,10.0,3.0,1.0,75.0
Ludovic Baal,Rennes,GUF,DF,32.0,1.7,0,0,0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0,16.0,2.0,2.0,50.0
Diafra Sakho,Rennes,SEN,FW,28.0,1.6,0,0,0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0,6.0,5.0,2.0,71.4
