Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ederson,Manchester City,BRA,GK,24.0,55.3,3,0,0,2.0,5.0,0.0,0.0,3.0,3.0,0.0,2.0,0,78.0,14.0,0.0,100.0
Aymeric Laporte,Manchester City,ESP,DF,24.0,48.3,5,0,0,40.0,26.0,2.0,10.0,59.0,31.0,0.0,1.0,0,225.0,102.0,69.0,59.6
Kyle Walker,Manchester City,ENG,DF,28.0,48.1,6,0,0,27.0,22.0,6.0,87.0,48.0,34.0,0.0,1.0,0,209.0,54.0,29.0,65.1
Raheem Sterling,Manchester City,ENG,FW,23.0,45.8,5,0,0,63.0,59.0,21.0,103.0,27.0,25.0,4.0,0.0,0,156.0,18.0,31.0,36.7
Bernardo Silva,Manchester City,POR,"MF,FW",23.0,44.8,3,0,0,45.0,32.0,3.0,94.0,36.0,52.0,2.0,0.0,0,200.0,12.0,31.0,27.9
David Silva,Manchester City,ESP,MF,32.0,41.2,3,0,0,42.0,42.0,9.0,103.0,32.0,28.0,2.0,0.0,0,169.0,23.0,33.0,41.1
İlkay Gündoğan,Manchester City,GER,MF,27.0,38.0,4,0,0,26.0,30.0,0.0,149.0,43.0,21.0,0.0,0.0,0,199.0,31.0,32.0,49.2
Fernandinho,Manchester City,BRA,"MF,DF",33.0,37.4,9,0,0,61.0,34.0,2.0,4.0,65.0,56.0,0.0,2.0,0,215.0,91.0,73.0,55.5
Sergio Agüero,Manchester City,ARG,FW,30.0,37.2,7,0,0,29.0,33.0,33.0,20.0,12.0,14.0,0.0,0.0,0,79.0,23.0,25.0,47.9
John Stones,Manchester City,ENG,DF,24.0,31.7,1,0,0,10.0,13.0,1.0,3.0,30.0,19.0,0.0,0.0,0,141.0,71.0,31.0,69.6
Leroy Sané,Manchester City,GER,"FW,DF",22.0,30.0,1,0,0,12.0,25.0,21.0,129.0,13.0,27.0,1.0,0.0,0,118.0,11.0,25.0,30.6
Riyad Mahrez,Manchester City,ALG,FW,27.0,28.7,1,0,0,20.0,27.0,16.0,151.0,13.0,17.0,0.0,0.0,0,103.0,21.0,28.0,42.9
Nicolás Otamendi,Manchester City,ARG,DF,30.0,27.9,5,1,1,26.0,11.0,1.0,2.0,47.0,24.0,0.0,1.0,0,86.0,62.0,33.0,65.3
Oleksandr Zinchenko,Manchester City,UKR,DF,21.0,26.3,2,0,0,26.0,6.0,3.0,78.0,38.0,43.0,0.0,0.0,0,99.0,28.0,38.0,42.4
Gabriel Jesus,Manchester City,BRA,FW,21.0,25.6,1,0,0,25.0,39.0,31.0,7.0,8.0,9.0,0.0,0.0,0,54.0,18.0,51.0,26.1
Kevin De Bruyne,Manchester City,BEL,MF,27.0,20.2,2,0,0,19.0,24.0,1.0,165.0,13.0,28.0,0.0,0.0,0,81.0,7.0,12.0,36.8
Vincent Kompany,Manchester City,BEL,DF,32.0,19.9,7,0,0,22.0,2.0,1.0,0.0,23.0,13.0,0.0,0.0,0,82.0,38.0,17.0,69.1
Danilo,Manchester City,BRA,DF,27.0,16.5,4,0,0,14.0,9.0,0.0,22.0,23.0,28.0,0.0,0.0,0,73.0,19.0,14.0,57.6
Benjamin Mendy,Manchester City,FRA,DF,24.0,14.1,1,0,0,22.0,3.0,0.0,72.0,11.0,17.0,0.0,0.0,0,73.0,9.0,23.0,28.1
Fabian Delph,Manchester City,ENG,"DF,MF",28.0,13.6,1,1,0,13.0,11.0,0.0,12.0,21.0,17.0,0.0,1.0,0,80.0,14.0,17.0,45.2
Phil Foden,Manchester City,ENG,MF,18.0,12.8,1,0,0,14.0,9.0,0.0,15.0,6.0,13.0,0.0,0.0,0,21.0,3.0,7.0,30.0
Arijanet Muric,Manchester City,KVX,GK,19.0,5.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Eric García,Manchester City,ESP,DF,17.0,3.3,0,0,0,5.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0,,,,
Brahim Díaz,Manchester City,MAR,"FW,MF",18.0,2.3,0,0,0,4.0,3.0,3.0,6.0,3.0,2.0,0.0,0.0,0,,,,
Philippe Sandler,Manchester City,NED,DF,21.0,1.3,0,0,0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0,,,,
Claudio Bravo,Manchester City,CHI,GK,35.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,,,
Ian Carlo Poveda,Manchester City,ENG,FW,18.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,
Felix Nmecha,Manchester City,GER,MF,17.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Alisson,Liverpool,BRA,GK,25.0,51.0,1,0,0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0,92.0,13.0,1.0,92.9
Virgil van Dijk,Liverpool,NED,DF,27.0,49.6,4,0,0,20.0,27.0,1.0,0.0,50.0,36.0,0.0,1.0,0,246.0,215.0,86.0,71.4
Mohamed Salah,Liverpool,EGY,FW,26.0,48.1,2,0,0,43.0,49.0,33.0,79.0,9.0,12.0,5.0,0.0,0,169.0,15.0,78.0,16.1
Sadio Mané,Liverpool,SEN,FW,26.0,47.7,4,0,0,59.0,89.0,39.0,56.0,20.0,45.0,3.0,0.0,0,195.0,53.0,107.0,33.1
Andrew Robertson,Liverpool,SCO,DF,24.0,46.9,7,0,0,29.0,17.0,1.0,161.0,36.0,63.0,0.0,0.0,0,292.0,29.0,34.0,46.0
Georginio Wijnaldum,Liverpool,NED,MF,27.0,41.0,4,0,0,25.0,38.0,3.0,13.0,23.0,34.0,1.0,0.0,0,248.0,41.0,44.0,48.2
Trent Alexander-Arnold,Liverpool,ENG,DF,19.0,37.6,3,0,0,21.0,10.0,5.0,274.0,53.0,49.0,0.0,0.0,0,245.0,16.0,31.0,34.0
Roberto Firmino,Liverpool,BRA,"FW,MF",26.0,37.2,0,0,0,48.0,18.0,8.0,16.0,9.0,29.0,0.0,0.0,0,142.0,37.0,96.0,27.8
Fabinho,Liverpool,BRA,"MF,DF",24.0,32.5,10,0,0,50.0,45.0,0.0,10.0,42.0,55.0,0.0,0.0,0,183.0,75.0,48.0,61.0
James Milner,Liverpool,ENG,"MF,DF",32.0,31.5,9,1,1,47.0,38.0,1.0,191.0,28.0,37.0,0.0,0.0,0,214.0,34.0,49.0,41.0
Jordan Henderson,Liverpool,ENG,MF,28.0,31.3,4,1,1,38.0,14.0,2.0,52.0,43.0,52.0,0.0,0.0,0,236.0,36.0,29.0,55.4
Joël Matip,Liverpool,CMR,DF,26.0,26.1,6,0,0,21.0,23.0,0.0,0.0,47.0,36.0,0.0,0.0,1,146.0,90.0,36.0,71.4
Naby Keïta,Liverpool,GUI,MF,23.0,20.1,2,0,0,32.0,25.0,0.0,6.0,17.0,27.0,0.0,0.0,0,131.0,13.0,25.0,34.2
Joe Gomez,Liverpool,ENG,DF,21.0,17.7,3,0,0,17.0,16.0,0.0,10.0,20.0,12.0,0.0,0.0,0,108.0,40.0,27.0,59.7
Xherdan Shaqiri,Liverpool,SUI,"FW,MF",26.0,15.8,2,0,0,10.0,20.0,4.0,66.0,7.0,6.0,0.0,0.0,0,75.0,3.0,7.0,30.0
Dejan Lovren,Liverpool,CRO,DF,29.0,14.0,1,0,0,4.0,13.0,0.0,4.0,12.0,13.0,1.0,0.0,0,52.0,54.0,30.0,64.3
Daniel Sturridge,Liverpool,ENG,FW,28.0,9.8,2,0,0,6.0,16.0,6.0,3.0,2.0,5.0,0.0,0.0,0,26.0,4.0,22.0,15.4
Divock Origi,Liverpool,BEL,FW,23.0,7.6,0,0,0,7.0,9.0,5.0,10.0,2.0,1.0,0.0,0.0,0,22.0,10.0,22.0,31.3
Adam Lallana,Liverpool,ENG,"MF,FW",30.0,6.4,2,0,0,8.0,12.0,1.0,10.0,7.0,9.0,0.0,0.0,0,31.0,11.0,16.0,40.7
Alberto Moreno,Liverpool,ESP,DF,26.0,3.8,0,0,0,5.0,2.0,3.0,7.0,6.0,3.0,0.0,0.0,0,8.0,0.0,1.0,0.0
Nathaniel Clyne,Liverpool,ENG,DF,27.0,2.2,0,0,0,0.0,2.0,0.0,7.0,3.0,4.0,0.0,0.0,0,6.0,1.0,0.0,100.0
Simon Mignolet,Liverpool,BEL,GK,30.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Rafael Camacho,Liverpool,POR,DF,18.0,1.0,0,0,0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,
Ki-Jana Hoever,Liverpool,NED,DF,16.0,0.9,0,0,0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0,,,,
Kepa Arrizabalaga,Chelsea,ESP,GK,23.0,55.0,4,0,0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0,77.0,10.0,0.0,100.0
César Azpilicueta,Chelsea,ESP,DF,28.0,54.4,7,0,0,52.0,26.0,4.0,153.0,71.0,83.0,2.0,1.0,0,238.0,84.0,59.0,58.7
Jorginho,Chelsea,ITA,MF,26.0,49.0,10,0,0,47.0,40.0,0.0,2.0,86.0,55.0,0.0,0.0,0,335.0,19.0,30.0,38.8
David Luiz,Chelsea,BRA,DF,31.0,48.6,5,0,0,46.0,38.0,1.0,7.0,46.0,39.0,0.0,0.0,0,239.0,99.0,80.0,55.3
N'Golo Kanté,Chelsea,FRA,MF,27.0,46.8,6,0,0,49.0,25.0,6.0,27.0,54.0,65.0,0.0,0.0,0,298.0,28.0,52.0,35.0
Antonio Rüdiger,Chelsea,GER,DF,25.0,43.6,10,0,0,39.0,24.0,2.0,4.0,41.0,22.0,0.0,0.0,0,227.0,92.0,74.0,55.4
Eden Hazard,Chelsea,BEL,FW,27.0,43.4,2,0,0,14.0,154.0,12.0,204.0,18.0,11.0,1.0,0.0,0,128.0,19.0,36.0,34.5
Willian,Chelsea,BRA,FW,29.0,39.4,2,0,0,25.0,56.0,13.0,296.0,20.0,34.0,1.0,0.0,0,141.0,12.0,30.0,28.6
Marcos Alonso,Chelsea,ESP,DF,27.0,38.4,6,0,0,39.0,44.0,2.0,120.0,47.0,56.0,2.0,1.0,0,231.0,71.0,59.0,54.6
Mateo Kovačić,Chelsea,CRO,MF,24.0,34.5,5,0,0,33.0,66.0,1.0,12.0,20.0,46.0,0.0,0.0,0,181.0,14.0,13.0,51.9
Pedro,Chelsea,ESP,FW,31.0,34.3,3,0,0,33.0,44.0,9.0,98.0,26.0,27.0,0.0,0.0,0,152.0,11.0,23.0,32.4
Ross Barkley,Chelsea,ENG,MF,24.0,30.3,4,0,0,27.0,57.0,1.0,10.0,21.0,23.0,0.0,0.0,0,124.0,30.0,21.0,58.8
Andreas Christensen,Chelsea,DEN,DF,22.0,27.1,3,0,0,20.0,15.0,0.0,1.0,35.0,15.0,0.0,0.0,0,154.0,57.0,40.0,58.8
Emerson Palmieri,Chelsea,ITA,DF,23.0,25.4,2,0,0,25.0,28.0,2.0,82.0,28.0,24.0,0.0,0.0,0,98.0,14.0,21.0,40.0
Olivier Giroud,Chelsea,FRA,FW,31.0,24.5,1,0,0,37.0,25.0,20.0,3.0,3.0,7.0,1.0,0.0,0,42.0,73.0,53.0,57.9
Ruben Loftus-Cheek,Chelsea,ENG,"MF,FW",22.0,21.9,1,0,0,18.0,52.0,4.0,6.0,18.0,21.0,1.0,0.0,0,119.0,27.0,29.0,48.2
Álvaro Morata,Chelsea,ESP,FW,25.0,16.6,5,0,0,27.0,19.0,29.0,5.0,1.0,6.0,0.0,0.0,0,20.0,28.0,34.0,45.2
Gonzalo Higuaín,Chelsea,ARG,FW,30.0,14.5,0,0,0,7.0,6.0,14.0,2.0,3.0,8.0,0.0,0.0,0,29.0,7.0,14.0,33.3
Callum Hudson-Odoi,Chelsea,ENG,FW,17.0,13.0,0,0,0,7.0,18.0,5.0,54.0,5.0,12.0,0.0,0.0,0,50.0,5.0,7.0,41.7
Davide Zappacosta,Chelsea,ITA,DF,26.0,11.4,1,0,0,9.0,6.0,2.0,63.0,17.0,8.0,0.0,0.0,0,41.0,6.0,9.0,40.0
Cesc Fàbregas,Chelsea,ESP,MF,31.0,10.9,2,0,0,7.0,5.0,0.0,11.0,12.0,18.0,0.0,0.0,0,53.0,3.0,6.0,33.3
Willy Caballero,Chelsea,ARG,GK,36.0,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,
Gary Cahill,Chelsea,ENG,DF,32.0,6.3,1,0,0,5.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0,27.0,12.0,9.0,57.1
Ethan Ampadu,Chelsea,WAL,"DF,MF",17.0,3.2,0,0,0,3.0,1.0,0.0,0.0,7.0,4.0,0.0,1.0,1,4.0,3.0,0.0,100.0
Victor Moses,Chelsea,NGA,FW,27.0,2.0,1,0,0,2.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,
Toby Alderweireld,Tottenham Hotspur,BEL,DF,29.0,49.1,5,0,0,18.0,4.0,1.0,9.0,38.0,32.0,0.0,0.0,1,244.0,78.0,73.0,51.7
Christian Eriksen,Tottenham Hotspur,DEN,"MF,FW",26.0,46.2,4,0,0,22.0,27.0,5.0,182.0,30.0,32.0,0.0,0.0,0,245.0,15.0,46.0,24.6
Hugo Lloris,Tottenham Hotspur,FRA,GK,31.0,43.9,0,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.0,11.0,0.0,100.0
Moussa Sissoko,Tottenham Hotspur,FRA,MF,28.0,37.7,5,0,0,49.0,26.0,4.0,34.0,30.0,44.0,0.0,1.0,0,271.0,25.0,26.0,49.0
Harry Kane,Tottenham Hotspur,ENG,FW,25.0,37.1,6,0,0,42.0,78.0,20.0,16.0,3.0,13.0,2.0,0.0,0,78.0,66.0,94.0,41.3
Son Heung-min,Tottenham Hotspur,KOR,FW,26.0,36.7,5,1,0,27.0,31.0,34.0,36.0,14.0,20.0,1.0,0.0,0,135.0,7.0,38.0,15.6
Lucas Moura,Tottenham Hotspur,BRA,FW,25.0,35.5,3,0,0,37.0,69.0,20.0,24.0,32.0,27.0,0.0,0.0,0,129.0,52.0,72.0,41.9
Kieran Trippier,Tottenham Hotspur,ENG,DF,27.0,35.2,3,0,0,31.0,33.0,8.0,245.0,40.0,52.0,0.0,0.0,1,210.0,35.0,32.0,52.2
Davinson Sánchez,Tottenham Hotspur,COL,DF,22.0,34.2,5,0,0,32.0,11.0,0.0,2.0,45.0,29.0,0.0,1.0,0,165.0,87.0,54.0,61.7
Dele Alli,Tottenham Hotspur,ENG,MF,22.0,33.2,5,0,0,31.0,34.0,7.0,15.0,27.0,28.0,1.0,0.0,0,163.0,27.0,35.0,43.5
Jan Vertonghen,Tottenham Hotspur,BEL,DF,31.0,32.5,5,1,1,21.0,15.0,1.0,33.0,52.0,29.0,0.0,2.0,0,186.0,66.0,35.0,65.3
Harry Winks,Tottenham Hotspur,ENG,MF,22.0,30.9,5,0,0,24.0,29.0,3.0,20.0,32.0,26.0,0.0,0.0,0,200.0,18.0,20.0,47.4
Ben Davies,Tottenham Hotspur,WAL,DF,25.0,30.5,2,0,0,33.0,18.0,1.0,73.0,34.0,37.0,0.0,0.0,0,120.0,57.0,43.0,57.0
Danny Rose,Tottenham Hotspur,ENG,DF,28.0,28.8,8,0,0,38.0,63.0,1.0,115.0,36.0,39.0,1.0,1.0,0,147.0,36.0,21.0,63.2
Eric Dier,Tottenham Hotspur,ENG,MF,24.0,21.8,5,0,0,34.0,11.0,0.0,13.0,27.0,20.0,0.0,0.0,0,91.0,46.0,38.0,54.8
Érik Lamela,Tottenham Hotspur,ARG,"FW,MF",26.0,18.0,6,0,0,48.0,23.0,3.0,51.0,11.0,20.0,0.0,0.0,0,74.0,5.0,18.0,21.7
Serge Aurier,Tottenham Hotspur,CIV,DF,25.0,15.8,2,0,0,25.0,8.0,2.0,45.0,22.0,22.0,0.0,0.0,0,54.0,21.0,17.0,55.3
Fernando Llorente,Tottenham Hotspur,ESP,FW,33.0,14.4,2,0,0,19.0,9.0,10.0,2.0,2.0,2.0,0.0,0.0,1,22.0,89.0,71.0,55.6
Juan Foyth,Tottenham Hotspur,ARG,DF,20.0,14.0,4,1,0,24.0,16.0,0.0,4.0,18.0,23.0,1.0,2.0,0,60.0,27.0,20.0,57.4
Paulo Gazzaniga,Tottenham Hotspur,ARG,GK,26.0,11.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,
Victor Wanyama,Tottenham Hotspur,KEN,MF,27.0,11.0,4,0,0,26.0,10.0,0.0,3.0,11.0,16.0,0.0,0.0,0,61.0,19.0,15.0,55.9
Mousa Dembélé,Tottenham Hotspur,BEL,MF,31.0,8.2,2,0,0,18.0,4.0,0.0,0.0,9.0,9.0,0.0,0.0,0,52.0,7.0,9.0,43.8
Kyle Walker-Peters,Tottenham Hotspur,ENG,DF,21.0,7.8,2,0,0,11.0,15.0,1.0,14.0,6.0,7.0,0.0,1.0,0,24.0,4.0,10.0,28.6
Oliver Skipp,Tottenham Hotspur,ENG,MF,17.0,4.5,0,0,0,7.0,5.0,0.0,1.0,3.0,6.0,0.0,0.0,0,13.0,10.0,4.0,71.4
Michel Vorm,Tottenham Hotspur,NED,GK,34.0,3.1,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,100.0
Georges-Kévin N'Koudou,Tottenham Hotspur,CMR,FW,23.0,1.4,0,0,0,2.0,2.0,1.0,9.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,
Vincent Janssen,Tottenham Hotspur,NED,FW,24.0,0.4,0,0,0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,3.0,2.0,60.0
George Marsh,Tottenham Hotspur,ENG,"DF,MF",19.0,0.3,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,,,,
Timothy Eyoma,Tottenham Hotspur,ENG,DF,18.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,,,,
Pierre-Emerick Aubameyang,Arsenal,GAB,FW,29.0,42.8,1,0,0,26.0,33.0,32.0,68.0,12.0,20.0,1.0,0.0,0,95.0,48.0,111.0,30.2
Granit Xhaka,Arsenal,SUI,"MF,DF",25.0,38.2,13,0,0,68.0,66.0,1.0,176.0,45.0,40.0,0.0,2.0,0,261.0,63.0,48.0,56.8
Sokratis Papastathopoulos,Arsenal,GRE,DF,30.0,37.5,13,1,1,47.0,30.0,0.0,1.0,41.0,37.0,0.0,1.0,0,153.0,74.0,53.0,58.3
Shkodran Mustafi,Arsenal,GER,DF,26.0,37.0,9,0,0,51.0,10.0,4.0,12.0,67.0,50.0,0.0,2.0,0,140.0,141.0,62.0,69.5
Alexandre Lacazette,Arsenal,FRA,FW,27.0,37.0,4,1,0,71.0,76.0,31.0,33.0,17.0,24.0,1.0,0.0,0,92.0,54.0,117.0,31.6
Lucas Torreira,Arsenal,URU,MF,22.0,35.9,7,1,0,49.0,92.0,0.0,46.0,57.0,48.0,0.0,0.0,0,255.0,24.0,35.0,40.7
Bernd Leno,Arsenal,GER,GK,26.0,35.5,0,0,0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0,71.0,8.0,1.0,88.9
Mattéo Guendouzi,Arsenal,FRA,MF,19.0,33.9,14,1,1,40.0,81.0,0.0,35.0,41.0,35.0,0.0,0.0,0,216.0,18.0,30.0,37.5
Nacho Monreal,Arsenal,ESP,DF,32.0,32.2,5,0,0,28.0,33.0,1.0,36.0,51.0,26.0,1.0,0.0,1,140.0,54.0,48.0,52.9
Alex Iwobi,Arsenal,NGA,"FW,MF",22.0,31.6,0,0,0,15.0,23.0,5.0,79.0,15.0,20.0,0.0,0.0,0,124.0,5.0,30.0,14.3
Sead Kolašinac,Arsenal,BIH,"DF,MF",25.0,30.9,8,0,0,31.0,17.0,13.0,76.0,31.0,34.0,1.0,1.0,0,166.0,28.0,38.0,42.4
Henrikh Mkhitaryan,Arsenal,ARM,"FW,MF",29.0,28.1,3,0,0,41.0,15.0,6.0,108.0,28.0,30.0,0.0,0.0,0,163.0,26.0,28.0,48.1
Mesut Özil,Arsenal,GER,"MF,FW",29.0,26.8,3,0,0,18.0,29.0,15.0,55.0,6.0,12.0,0.0,0.0,0,122.0,7.0,15.0,31.8
Laurent Koscielny,Arsenal,FRA,DF,32.0,25.3,2,0,0,15.0,22.0,0.0,0.0,49.0,15.0,0.0,0.0,0,133.0,47.0,40.0,54.0
Aaron Ramsey,Arsenal,WAL,MF,27.0,24.2,0,0,0,34.0,35.0,7.0,27.0,17.0,27.0,1.0,0.0,0,124.0,17.0,26.0,39.5
Ainsley Maitland-Niles,Arsenal,ENG,DF,20.0,23.6,2,1,1,17.0,17.0,2.0,36.0,38.0,40.0,0.0,1.0,0,116.0,12.0,18.0,40.0
Petr Čech,Arsenal,CZE,GK,36.0,21.5,1,0,0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,19.0,3.0,1.0,75.0
Stephan Lichtsteiner,Arsenal,SUI,DF,34.0,19.2,5,0,0,21.0,27.0,2.0,52.0,15.0,13.0,0.0,0.0,0,57.0,33.0,23.0,58.9
Héctor Bellerín,Arsenal,ESP,DF,23.0,17.0,3,0,0,16.0,6.0,1.0,39.0,20.0,12.0,0.0,0.0,1,79.0,21.0,24.0,46.7
Rob Holding,Arsenal,ENG,DF,22.0,14.6,4,0,0,11.0,3.0,0.0,1.0,14.0,10.0,0.0,1.0,0,76.0,35.0,16.0,68.6
Mohamed Elneny,Arsenal,EGY,MF,26.0,11.3,0,0,0,9.0,3.0,1.0,14.0,7.0,7.0,0.0,0.0,0,56.0,9.0,13.0,40.9
Danny Welbeck,Arsenal,ENG,"FW,MF",27.0,6.7,1,0,0,10.0,2.0,4.0,1.0,2.0,4.0,0.0,0.0,0,19.0,10.0,24.0,29.4
Carl Jenkinson,Arsenal,ENG,DF,26.0,6.5,1,0,0,6.0,0.0,1.0,15.0,5.0,5.0,0.0,0.0,0,26.0,2.0,3.0,40.0
Emile Smith Rowe,Arsenal,ENG,"FW,MF",18.0,4.4,0,0,0,0.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,0,9.0,1.0,6.0,14.3
Joe Willock,Arsenal,ENG,"MF,FW",18.0,3.9,0,0,0,5.0,4.0,0.0,0.0,4.0,9.0,0.0,0.0,0,10.0,4.0,5.0,44.4
Eddie Nketiah,Arsenal,ENG,"MF,FW",19.0,3.7,0,0,0,6.0,9.0,6.0,2.0,0.0,5.0,0.0,0.0,0,12.0,1.0,3.0,25.0
Konstantinos Mavropanos,Arsenal,GRE,DF,20.0,1.6,1,0,0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0,5.0,2.0,3.0,40.0
Bukayo Saka,Arsenal,ENG,FW,16.0,1.4,0,0,0,5.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0,7.0,0.0,0.0,
Denis Suárez,Arsenal,ESP,"MF,FW",24.0,1.1,0,0,0,1.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0,10.0,1.0,1.0,50.0
Emiliano Martínez,Arsenal,ARG,GK,25.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,
Julio Pleguezuelo,Arsenal,ESP,DF,21.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
David de Gea,Manchester United,ESP,GK,27.0,47.0,1,0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,3.0,0.0,100.0
Paul Pogba,Manchester United,FRA,MF,25.0,44.5,7,1,1,69.0,101.0,6.0,37.0,26.0,38.0,1.0,0.0,0,263.0,70.0,60.0,53.8
Luke Shaw,Manchester United,ENG,DF,23.0,39.8,14,0,0,60.0,25.0,1.0,79.0,37.0,41.0,0.0,0.0,1,175.0,53.0,29.0,64.6
Ashley Young,Manchester United,ENG,DF,33.0,39.3,13,1,1,57.0,40.0,7.0,242.0,66.0,44.0,0.0,0.0,0,199.0,21.0,14.0,60.0
Victor Lindelöf,Manchester United,SWE,DF,24.0,38.9,3,0,0,23.0,16.0,0.0,1.0,33.0,31.0,0.0,0.0,1,177.0,77.0,46.0,62.6
Nemanja Matić,Manchester United,SRB,MF,29.0,37.3,12,1,1,41.0,29.0,4.0,12.0,44.0,45.0,0.0,0.0,0,254.0,67.0,40.0,62.6
Marcus Rashford,Manchester United,ENG,FW,20.0,36.5,6,1,0,43.0,68.0,24.0,84.0,5.0,20.0,2.0,1.0,0,87.0,35.0,51.0,40.7
Romelu Lukaku,Manchester United,BEL,FW,25.0,33.7,5,0,0,27.0,6.0,32.0,56.0,2.0,6.0,1.0,0.0,0,40.0,111.0,98.0,53.1
Chris Smalling,Manchester United,ENG,DF,28.0,33.6,2,0,0,35.0,10.0,2.0,1.0,40.0,26.0,0.0,1.0,1,100.0,126.0,71.0,64.0
Anthony Martial,Manchester United,FRA,"FW,MF",22.0,26.2,3,0,0,21.0,42.0,9.0,47.0,4.0,11.0,2.0,0.0,0,90.0,20.0,24.0,45.5
Jesse Lingard,Manchester United,ENG,"FW,MF",25.0,24.3,6,0,0,38.0,32.0,10.0,20.0,11.0,22.0,2.0,0.0,0,76.0,5.0,29.0,14.7
Ander Herrera,Manchester United,ESP,MF,28.0,20.9,7,0,0,32.0,26.0,0.0,11.0,46.0,36.0,0.0,1.0,0,127.0,5.0,14.0,26.3
Juan Mata,Manchester United,ESP,"MF,FW",30.0,19.7,3,0,0,17.0,13.0,9.0,83.0,6.0,7.0,3.0,0.0,0,82.0,2.0,6.0,25.0
Phil Jones,Manchester United,ENG,DF,26.0,19.4,1,0,0,10.0,15.0,0.0,3.0,32.0,17.0,0.0,0.0,1,105.0,51.0,19.0,72.9
Fred,Manchester United,BRA,MF,25.0,18.0,3,0,0,35.0,26.0,2.0,23.0,22.0,26.0,0.0,1.0,0,151.0,6.0,16.0,27.3
Diogo Dalot,Manchester United,POR,"DF,MF",19.0,17.3,4,0,0,17.0,2.0,5.0,70.0,14.0,17.0,0.0,1.0,0,63.0,24.0,6.0,80.0
Alexis Sánchez,Manchester United,CHI,FW,29.0,13.8,3,0,0,17.0,27.0,11.0,38.0,11.0,15.0,0.0,0.0,0,50.0,9.0,26.0,25.7
Scott McTominay,Manchester United,SCO,MF,21.0,13.7,1,0,0,21.0,22.0,1.0,3.0,18.0,21.0,0.0,0.0,0,66.0,38.0,28.0,57.6
Eric Bailly,Manchester United,CIV,DF,24.0,12.8,1,1,0,8.0,13.0,0.0,0.0,20.0,15.0,0.0,1.0,0,64.0,18.0,8.0,69.2
Marouane Fellaini,Manchester United,BEL,MF,30.0,12.7,1,0,0,25.0,15.0,4.0,9.0,10.0,21.0,1.0,0.0,0,77.0,60.0,29.0,67.4
Andreas Pereira,Manchester United,BRA,"MF,FW",22.0,10.2,5,0,0,24.0,9.0,1.0,20.0,12.0,9.0,0.0,0.0,0,59.0,5.0,14.0,26.3
Antonio Valencia,Manchester United,ECU,DF,32.0,8.0,4,0,0,16.0,10.0,0.0,14.0,13.0,8.0,0.0,0.0,0,52.0,3.0,5.0,37.5
Matteo Darmian,Manchester United,ITA,"DF,MF",28.0,5.9,0,0,0,4.0,5.0,1.0,3.0,8.0,8.0,0.0,0.0,0,24.0,3.0,3.0,50.0
