Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Alex Oxlade-Chamberlain,Liverpool,ENG,MF,24,2,0,21,0.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,4,1
Rafael Camacho,Liverpool,POR,DF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
César Azpilicueta,Chelsea,ESP,DF,28,38,38,3402,37.8,1,5,6,1,0,0,4,0,1.2,1.2,2.4,3.6,46,160,205
Jorginho,Chelsea,ITA,MF,26,37,37,3156,35.1,2,0,2,1,1,1,8,0,1.4,0.6,3.2,3.8,30,323,46
Kepa Arrizabalaga,Chelsea,ESP,GK,23,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
David Luiz,Chelsea,BRA,DF,31,36,36,3238,36.0,3,2,5,3,0,0,3,0,2.6,2.6,2.9,5.5,54,247,4
N'Golo Kanté,Chelsea,FRA,MF,27,36,36,3092,34.4,4,4,8,4,0,0,3,0,2.9,2.9,3.5,6.4,82,178,159
Antonio Rüdiger,Chelsea,GER,DF,25,33,33,2871,31.9,1,0,1,1,0,0,7,0,2.5,2.5,0.6,3.1,21,174,1
Eden Hazard,Chelsea,BEL,FW,27,37,32,2923,32.5,16,15,31,12,4,4,2,0,10.5,7.4,10.0,17.4,276,249,439
Marcos Alonso,Chelsea,ESP,DF,27,31,31,2759,30.7,2,4,6,2,0,0,6,0,3.4,3.4,3.4,6.8,102,146,230
Willian,Chelsea,BRA,FW,29,32,26,2097,23.3,3,6,9,3,0,0,2,0,4.2,4.2,5.4,9.6,143,141,283
Pedro,Chelsea,ESP,FW,31,31,21,1778,19.8,8,2,10,8,0,0,2,0,5.3,5.3,3.5,8.8,63,94,202
Mateo Kovačić,Chelsea,CRO,MF,24,32,21,1735,19.3,0,2,2,0,0,0,3,0,2.2,2.2,1.7,3.9,59,140,66
Ross Barkley,Chelsea,ENG,MF,24,27,13,1245,13.8,3,5,8,3,0,0,1,0,4.0,4.0,2.1,6.2,32,90,50
Gonzalo Higuaín,Chelsea,ARG,FW,30,14,13,1085,12.1,5,0,5,5,0,0,0,0,4.9,4.9,1.3,6.1,12,17,92
Álvaro Morata,Chelsea,ESP,FW,25,16,11,941,10.5,5,0,5,5,0,0,3,0,6.1,6.1,0.2,6.4,12,13,82
Olivier Giroud,Chelsea,FRA,FW,31,27,7,847,9.4,2,4,6,2,0,0,1,0,4.6,4.6,2.2,6.8,3,9,75
Emerson Palmieri,Chelsea,ITA,DF,23,10,7,663,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,39,34,50
Ruben Loftus-Cheek,Chelsea,ENG,"MF,FW",22,24,6,998,11.1,6,2,8,6,0,0,0,0,2.8,2.8,0.8,3.7,52,61,75
Andreas Christensen,Chelsea,DEN,DF,22,8,6,617,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,35,1
Callum Hudson-Odoi,Chelsea,ENG,FW,17,10,4,393,4.4,0,1,1,0,0,0,0,0,0.7,0.7,1.4,2.2,20,13,59
Willy Caballero,Chelsea,ARG,GK,36,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Cesc Fàbregas,Chelsea,ESP,MF,31,6,1,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,21,9
Davide Zappacosta,Chelsea,ITA,DF,26,4,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,3,6
Victor Moses,Chelsea,NGA,FW,27,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,1
Gary Cahill,Chelsea,ENG,DF,32,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0
Hugo Lloris,Tottenham Hotspur,FRA,GK,31,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Toby Alderweireld,Tottenham Hotspur,BEL,DF,29,34,33,2922,32.5,0,0,0,0,0,0,3,0,1.1,1.1,0.6,1.8,25,161,5
Christian Eriksen,Tottenham Hotspur,DEN,MF,26,35,30,2774,30.8,8,12,20,8,0,0,3,0,5.4,5.4,7.4,12.8,78,212,132
Harry Kane,Tottenham Hotspur,ENG,FW,25,28,27,2424,26.9,17,4,21,13,4,4,5,0,14.4,11.3,4.0,15.3,59,80,194
