Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Danny da Costa,Eintracht Frankfurt,GER,"DF,FW",25,34,34,3033,33.7,2,4,6,2,0,0,1,0,3.6,3.6,5.4,9.0,76,88,185
Filip Kostić,Eintracht Frankfurt,SRB,"DF,FW",25,34,33,2956,32.8,6,10,16,6,0,0,4,0,4.5,4.5,9.8,14.2,156,140,225
Kevin Trapp,Eintracht Frankfurt,GER,GK,28,33,33,2937,32.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
Makoto Hasebe,Eintracht Frankfurt,JPN,"DF,MF",34,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.1,0.1,1.0,1.0,30,141,2
Gelson Fernandes,Eintracht Frankfurt,SUI,MF,31,28,28,2225,24.7,1,0,1,1,0,0,10,1,0.8,0.8,0.3,1.1,3,72,5
Luka Jović,Eintracht Frankfurt,SRB,"FW,MF",20,32,25,2243,24.9,17,5,22,16,1,1,1,0,14.9,14.1,3.9,18.0,34,64,164
Obite N'Dicka,Eintracht Frankfurt,CIV,DF,18,27,24,2304,25.6,1,1,2,1,0,0,3,0,1.1,1.1,0.1,1.3,30,105,9
Sébastien Haller,Eintracht Frankfurt,CIV,FW,24,29,23,2182,24.2,15,9,24,12,3,3,3,0,13.1,10.7,6.1,16.8,30,57,169
Ante Rebić,Eintracht Frankfurt,CRO,"FW,MF",24,28,23,1978,22.0,9,4,13,9,0,0,4,1,9.2,9.2,5.4,14.6,88,59,193
Jonathan de Guzmán,Eintracht Frankfurt,NED,MF,30,28,17,1564,17.4,3,6,9,3,0,0,4,0,3.2,3.2,4.2,7.4,29,91,53
David Abraham,Eintracht Frankfurt,ARG,DF,32,17,17,1420,15.8,0,0,0,0,0,0,2,0,0.8,0.8,0.4,1.1,20,80,7
Mijat Gaćinović,Eintracht Frankfurt,SRB,MF,23,29,16,1626,18.1,0,1,1,0,0,0,3,0,1.5,1.5,1.8,3.4,44,75,85
Martin Hinteregger,Eintracht Frankfurt,AUT,DF,25,14,14,1142,12.7,1,0,1,1,0,0,3,0,1.2,1.2,0.2,1.4,9,47,4
Sebastian Rode,Eintracht Frankfurt,GER,MF,27,12,12,923,10.3,0,0,0,0,0,0,4,0,0.5,0.5,1.3,1.8,13,55,21
Jetro Willems,Eintracht Frankfurt,NED,"MF,DF",24,23,7,730,8.1,0,1,1,0,0,0,2,1,0.2,0.2,2.0,2.2,19,37,37
Simon Falette,Eintracht Frankfurt,GUI,DF,26,7,7,600,6.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,16,3
Lucas Torró,Eintracht Frankfurt,ESP,MF,24,8,6,560,6.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,28,3
Almamy Touré,Eintracht Frankfurt,MLI,"DF,MF",22,7,6,519,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,12,23,6
Carlos Salcedo,Eintracht Frankfurt,MEX,DF,24,6,6,460,5.1,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,25,1
Gonçalo Paciência,Eintracht Frankfurt,POR,FW,23,11,4,390,4.3,3,1,4,3,0,0,1,0,2.5,2.5,1.0,3.4,7,6,39
Marco Russ,Eintracht Frankfurt,GER,DF,32,5,3,380,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,1
Nicolai Müller,Eintracht Frankfurt,GER,"FW,MF",30,7,3,217,2.4,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,4,5,7
Allan,Eintracht Frankfurt,BRA,MF,21,4,2,176,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,4,3
Taleb Tawatha,Eintracht Frankfurt,ISR,"FW,DF",26,3,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,6
Frederik Rønnow,Eintracht Frankfurt,DEN,GK,25,2,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Marco Fabián,Eintracht Frankfurt,MEX,FW,29,1,1,62,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2
Marc Stendera,Eintracht Frankfurt,GER,MF,22,7,0,110,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,16,2
Timothy Chandler,Eintracht Frankfurt,USA,DF,28,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2
Branimir Hrgota,Eintracht Frankfurt,SWE,FW,25,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
Danny Blum,Eintracht Frankfurt,GER,MF,27,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Maximilian Eggestein,Werder Bremen,GER,MF,21,34,34,3052,33.9,5,4,9,5,0,0,4,0,2.1,2.1,4.6,6.7,77,199,127
Ludwig Augustinsson,Werder Bremen,SWE,DF,24,34,34,3026,33.6,1,4,5,1,0,0,5,0,1.5,1.5,2.2,3.7,83,154,226
Jiří Pavlenka,Werder Bremen,CZE,GK,26,34,34,2977,33.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0
Davy Klaassen,Werder Bremen,NED,MF,25,33,33,2816,31.3,5,4,9,5,0,0,5,0,3.0,3.0,3.6,6.7,28,138,112
Max Kruse,Werder Bremen,GER,"FW,MF",30,32,32,2832,31.5,11,9,20,8,3,3,0,0,10.3,8.0,6.2,14.1,76,214,312
Theodor Gebre Selassie,Werder Bremen,CZE,DF,31,32,32,2814,31.3,3,2,5,3,0,0,2,0,3.9,3.9,2.0,5.9,42,131,151
Niklas Moisander,Werder Bremen,FIN,DF,32,30,30,2637,29.3,0,0,0,0,0,0,7,1,0.4,0.4,1.0,1.3,45,197,6
Miloš Veljković,Werder Bremen,SRB,DF,22,23,21,1877,20.9,1,0,1,1,0,0,7,2,0.8,0.8,0.5,1.3,22,122,3
Milot Rashica,Werder Bremen,KVX,"FW,MF",22,26,19,1550,17.2,9,5,14,8,1,1,1,0,7.0,6.2,4.1,10.3,87,27,186
Nuri Şahin,Werder Bremen,TUR,MF,29,20,19,1476,16.4,1,1,2,1,0,0,5,0,0.6,0.6,0.8,1.5,15,101,18
Sebastian Langkamp,Werder Bremen,GER,DF,30,21,15,1414,15.7,0,0,0,0,0,0,4,0,1.2,1.2,0.7,1.9,30,79,5
Yuya Osako,Werder Bremen,JPN,"FW,MF",28,21,15,1346,15.0,3,2,5,3,0,0,2,0,3.4,3.4,2.2,5.6,19,65,116
Philipp Bargfrede,Werder Bremen,GER,"MF,DF",29,15,13,1079,12.0,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,8,57,6
Johannes Eggestein,Werder Bremen,GER,"FW,MF",20,23,12,1113,12.4,4,1,5,4,0,0,0,0,4.6,4.6,1.8,6.4,42,35,121
Martin Harnik,Werder Bremen,AUT,"FW,MF",31,18,10,828,9.2,4,2,6,4,0,0,2,0,5.8,5.8,1.7,7.5,14,17,97
Kevin Möhwald,Werder Bremen,GER,MF,25,23,7,873,9.7,3,1,4,3,0,0,2,0,1.0,1.0,0.9,1.9,11,56,39
Marco Friedl,Werder Bremen,AUT,DF,20,7,5,474,5.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,3,24,7
Florian Kainz,Werder Bremen,AUT,FW,25,8,5,373,4.1,0,1,1,0,0,0,2,0,0.4,0.4,0.7,1.1,19,27,47
Claudio Pizarro,Werder Bremen,PER,FW,39,26,3,692,7.7,5,2,7,5,0,0,1,0,3.1,3.1,0.7,3.8,7,26,63
Josh Sargent,Werder Bremen,USA,FW,18,10,1,212,2.4,2,0,2,2,0,0,1,0,1.5,1.5,0.1,1.6,5,1,19
Stefanos Kapino,Werder Bremen,GRE,GK,24,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Luca Plogmann,Werder Bremen,GER,GK,18,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Fin Bartels,Werder Bremen,GER,"MF,FW",31,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1
Aron Jóhannsson,Werder Bremen,USA,MF,27,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1
Oliver Baumann,Hoffenheim,GER,GK,28,33,33,2970,33.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0
Nico Schulz,Hoffenheim,GER,DF,25,30,29,2537,28.2,1,5,6,1,0,0,6,0,2.3,2.3,10.5,12.8,166,103,255
Pavel Kadeřábek,Hoffenheim,CZE,DF,26,29,28,2509,27.9,3,4,7,3,0,0,7,0,3.8,3.8,6.1,9.9,74,91,224
Andrej Kramarić,Hoffenheim,CRO,"MF,FW",27,30,28,2396,26.6,17,4,21,12,5,6,2,0,21.0,16.3,5.7,22.0,129,128,198
Kevin Vogt,Hoffenheim,GER,DF,26,28,28,2391,26.6,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.5,28,126,6
Florian Grillitsch,Hoffenheim,AUT,MF,22,30,27,2394,26.6,0,3,3,0,0,0,8,0,1.3,1.3,2.9,4.2,54,177,14
Joelinton,Hoffenheim,BRA,"FW,MF",21,28,25,2130,23.7,7,5,12,7,0,0,5,0,8.3,8.3,5.2,13.5,53,72,160
Kerem Demirbay,Hoffenheim,GER,MF,25,26,24,2017,22.4,4,9,13,4,0,0,6,0,4.5,4.5,7.4,11.8,82,181,66
Ishak Belfodil,Hoffenheim,ALG,"FW,MF",26,28,20,1863,20.7,16,3,19,16,0,0,3,0,12.3,12.3,5.1,17.4,63,30,210
Ermin Bičakčić,Hoffenheim,BIH,DF,28,25,20,1790,19.9,1,2,3,1,0,0,0,0,1.5,1.5,0.7,2.2,47,133,4
Stefan Posch,Hoffenheim,AUT,DF,21,17,16,1402,15.6,0,0,0,0,0,0,5,0,0.3,0.3,0.4,0.8,17,94,2
Ádám Szalai,Hoffenheim,HUN,FW,30,30,15,1627,18.1,6,3,9,6,0,0,3,0,9.6,9.6,3.8,13.4,12,30,100
Leonardo Bittencourt,Hoffenheim,GER,MF,24,21,13,1069,11.9,1,3,4,1,0,0,1,0,2.6,2.6,2.8,5.4,48,53,66
Kasim Nuhu,Hoffenheim,GHA,DF,23,13,11,904,10.0,0,1,1,0,0,0,5,1,0.2,0.2,0.1,0.2,10,63,3
Joshua Brenet,Hoffenheim,NED,DF,24,14,10,906,10.1,2,1,3,2,0,0,0,0,1.7,1.7,1.9,3.6,31,43,82
Nadiem Amiri,Hoffenheim,GER,MF,21,13,10,754,8.4,3,1,4,3,0,0,1,0,2.2,2.2,1.4,3.5,22,50,36
Benjamin Hübner,Hoffenheim,GER,DF,29,10,9,813,9.0,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,6,32,1
Steven Zuber,Hoffenheim,SUI,"MF,FW",26,9,6,571,6.3,0,1,1,0,0,0,1,0,0.6,0.6,1.0,1.6,26,33,48
Reiss Nelson,Hoffenheim,ENG,"MF,FW",18,23,5,643,7.1,7,0,7,7,0,0,0,0,3.3,3.3,0.9,4.1,35,28,57
Kevin Akpoguma,Hoffenheim,NGA,DF,23,8,5,499,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,4,33,0
Håvard Nordtveit,Hoffenheim,NOR,"MF,DF",28,8,4,470,5.2,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,7,31,2
Vincenzo Grifo,Hoffenheim,ITA,"MF,FW",25,7,3,335,3.7,1,2,3,0,1,1,0,0,1.5,0.7,0.6,1.3,15,22,36
Dennis Geiger,Hoffenheim,GER,MF,20,4,2,246,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,6,18,4
Justin Hoogma,Hoffenheim,NED,"DF,MF",20,2,1,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,1
Gregor Kobel,Hoffenheim,SUI,GK,20,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Christoph Baumgartner,Hoffenheim,AUT,MF,18,2,1,85,0.9,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,9,5,1
David Otto,Hoffenheim,GER,"MF,FW",19,3,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,2,2,2
Lukas Rupp,Hoffenheim,GER,"MF,DF",27,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,5
Alfonso,Hoffenheim,MOZ,MF,18,1,0,9,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0
Matthias Zimmermann,Dusseldorf,GER,"DF,MF",26,34,34,3049,33.9,1,3,4,1,0,0,4,0,0.5,0.5,2.8,3.3,56,149,117
Michael Rensing,Dusseldorf,GER,GK,34,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Niko Gießelmann,Dusseldorf,GER,DF,26,30,29,2593,28.8,0,3,3,0,0,0,2,0,1.3,1.3,3.2,4.5,54,116,100
Kaan Ayhan,Dusseldorf,TUR,DF,23,28,28,2449,27.2,4,1,5,4,0,0,10,0,2.3,2.3,0.4,2.7,31,96,12
Marcin Kamiński,Dusseldorf,POL,DF,26,27,27,2430,27.0,0,1,1,0,0,0,1,0,0.7,0.7,0.4,1.2,25,78,6
Kevin Stöger,Dusseldorf,AUT,MF,24,25,24,2118,23.5,1,7,8,1,0,0,8,0,2.4,2.4,5.6,8.1,42,179,51
Dodi Lukebakio,Dusseldorf,BEL,"FW,MF",20,31,22,1972,21.9,10,3,13,6,4,6,6,0,12.7,8.0,2.2,10.2,72,41,207
Adam Bodzek,Dusseldorf,GER,"MF,DF",32,21,20,1596,17.7,0,1,1,0,0,0,5,1,0.1,0.1,1.1,1.2,4,57,3
Rouwen Hennings,Dusseldorf,GER,FW,30,29,19,1833,20.4,7,4,11,6,1,1,3,0,8.5,7.7,3.1,10.9,15,53,119
Benito Raman,Dusseldorf,BEL,"MF,FW",23,30,19,1681,18.7,10,4,14,10,0,0,1,0,7.4,7.4,2.7,10.0,69,59,145
Jean Zimmer,Dusseldorf,GER,"DF,FW",24,18,17,1435,15.9,1,2,3,1,0,0,2,0,0.5,0.5,2.9,3.4,44,57,99
Alfredo Morales,Dusseldorf,USA,MF,28,23,16,1532,17.0,1,1,2,1,0,0,6,0,1.0,1.0,1.1,2.1,12,60,23
Oliver Fink,Dusseldorf,GER,MF,36,18,13,1055,11.7,3,0,3,3,0,0,4,0,0.7,0.7,0.6,1.3,15,51,33
André Hoffmann,Dusseldorf,GER,"DF,MF",25,13,11,1049,11.7,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,6,24,1
Marcel Sobottka,Dusseldorf,GER,MF,24,14,11,942,10.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,8,27,8
Takashi Usami,Dusseldorf,JPN,"MF,FW",26,19,10,879,9.8,1,2,3,1,0,0,1,0,2.1,2.1,0.6,2.7,26,30,44
Kenan Karaman,Dusseldorf,TUR,"FW,MF",24,21,9,919,10.2,3,1,4,3,0,0,0,0,3.4,3.4,2.1,5.5,32,21,87
Marvin Ducksch,Dusseldorf,GER,FW,24,16,8,823,9.1,1,1,2,1,0,0,1,0,1.6,1.6,1.8,3.4,8,33,61
Dawid Kownacki,Dusseldorf,POL,"MF,FW",21,10,7,575,6.4,4,0,4,4,0,0,2,0,1.6,1.6,0.4,2.0,13,10,34
Robin Bormuth,Dusseldorf,GER,DF,22,10,6,616,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,19,2
Markus Suttner,Dusseldorf,AUT,"DF,MF",31,6,6,489,5.4,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,11,15,15
Aymen Barkok,Dusseldorf,MAR,MF,20,12,4,510,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,8,25,24
Jaroslav Drobný,Dusseldorf,CZE,GK,38,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Davor Lovren,Dusseldorf,CRO,MF,19,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,8
Rune Jarstein,Hertha BSC,NOR,GK,33,31,31,2745,30.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
Valentino Lazaro,Hertha BSC,AUT,"DF,FW",22,31,31,2741,30.5,3,6,9,3,0,0,6,0,2.1,2.1,6.4,8.6,73,127,168
Ondrej Duda,Hertha BSC,SVK,MF,23,32,30,2563,28.5,11,5,16,11,0,0,7,0,7.0,7.0,5.8,12.8,36,141,116
Salomon Kalou,Hertha BSC,CIV,"FW,MF",32,30,27,2317,25.7,8,2,10,5,3,3,0,0,10.1,7.7,5.1,12.9,77,87,184
Fabian Lustenberger,Hertha BSC,SUI,"DF,MF",30,29,24,2172,24.1,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.7,2,67,5
Karim Rekik,Hertha BSC,NED,DF,23,24,24,2068,23.0,0,0,0,0,0,0,4,1,0.6,0.6,0.1,0.7,6,76,5
Vedad Ibišević,Hertha BSC,BIH,FW,33,28,24,1807,20.1,10,2,12,9,1,1,5,1,12.4,11.8,1.4,13.2,14,38,111
Arne Maier,Hertha BSC,GER,MF,19,24,23,2064,22.9,0,0,0,0,0,0,2,0,0.8,0.8,1.8,2.7,32,108,40
Marvin Plattenhardt,Hertha BSC,GER,DF,26,22,22,1924,21.4,1,2,3,1,0,0,4,0,0.8,0.8,3.1,3.9,37,98,63
Niklas Stark,Hertha BSC,GER,DF,23,22,22,1868,20.8,1,0,1,1,0,0,5,0,0.8,0.8,0.2,1.0,21,76,4
Maximilian Mittelstädt,Hertha BSC,GER,"DF,MF",21,25,20,1804,20.0,1,1,2,1,0,0,3,1,1.3,1.3,1.8,3.2,34,68,94
Marko Grujić,Hertha BSC,SRB,MF,22,22,20,1780,19.8,5,1,6,5,0,0,5,0,4.4,4.4,1.7,6.1,45,112,43
Davie Selke,Hertha BSC,GER,FW,23,30,16,1739,19.3,3,5,8,3,0,0,4,0,5.2,5.2,3.4,8.6,43,22,150
Jordan Torunarigha,Hertha BSC,GER,DF,20,14,13,1158,12.9,2,2,4,2,0,0,3,1,1.1,1.1,0.8,2.0,6,24,10
Per Ciljan Skjelbred,Hertha BSC,NOR,MF,31,16,12,997,11.1,0,1,1,0,0,0,3,0,0.5,0.5,0.3,0.8,14,57,14
Mathew Leckie,Hertha BSC,AUS,"FW,MF",27,18,10,941,10.5,2,0,2,2,0,0,3,0,2.7,2.7,1.0,3.7,36,33,92
Javairô Dilrosun,Hertha BSC,NED,"FW,MF",20,17,7,898,10.0,2,3,5,2,0,0,2,0,0.5,0.5,1.9,2.4,36,22,64
Lukas Klünter,Hertha BSC,GER,DF,22,10,7,592,6.6,0,0,0,0,0,0,2,1,0.2,0.2,0.5,0.7,23,15,25
Vladimír Darida,Hertha BSC,CZE,MF,27,10,3,376,4.2,0,1,1,0,0,0,1,0,1.0,1.0,0.8,1.7,7,34,12
Thomas Kraft,Hertha BSC,GER,GK,30,4,3,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Derrick Luckassen,Hertha BSC,NED,DF,23,4,2,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,1
Peter Pekarík,Hertha BSC,SVK,DF,31,3,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,15,6
Palkó Dárdai,Hertha BSC,HUN,"FW,MF",19,7,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,3,12
Pascal Köpke,Hertha BSC,GER,"FW,MF",22,7,0,74,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,8,3,5
Dennis Jastrzembski,Hertha BSC,POL,"FW,DF",18,5,0,61,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,1,5
Florian Baak,Hertha BSC,GER,MF,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Aarón Martín,Mainz 05,ESP,DF,21,33,32,2878,32.0,0,3,3,0,0,0,3,0,0.8,0.8,4.9,5.7,115,106,187
Moussa Niakhate,Mainz 05,SEN,DF,22,33,32,2789,31.0,1,1,2,1,0,0,3,0,1.5,1.5,0.6,2.1,19,73,10
Jean-Philippe Gbamin,Mainz 05,CIV,MF,22,31,30,2672,29.7,2,1,3,2,0,0,3,0,1.4,1.4,1.9,3.3,67,135,67
Jean-Philippe Mateta,Mainz 05,FRA,FW,21,34,29,2483,27.6,14,2,16,14,0,0,2,0,13.8,13.8,3.2,17.0,44,37,169
Daniel Brosinski,Mainz 05,GER,DF,30,26,26,2203,24.5,3,5,8,0,3,3,2,0,3.1,0.7,4.1,4.9,47,98,112
Stefan Bell,Mainz 05,GER,DF,26,25,25,2250,25.0,0,0,0,0,0,0,7,0,1.6,1.6,1.2,2.8,24,129,8
Robin Quaison,Mainz 05,SWE,"FW,MF",24,28,25,2194,24.4,7,3,10,7,0,0,1,0,8.5,8.5,2.1,10.5,36,50,122
Jean-Paul Boëtius,Mainz 05,NED,MF,24,30,25,2127,23.6,4,7,11,4,0,0,8,0,2.6,2.6,4.9,7.5,45,117,126
Florian Müller,Mainz 05,GER,GK,20,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Pierre Kunde,Mainz 05,CMR,MF,23,29,23,1909,21.2,0,0,0,0,0,0,5,0,0.9,0.9,0.7,1.6,34,124,10
Danny Latza,Mainz 05,GER,MF,28,24,22,1863,20.7,0,3,3,0,0,0,4,0,2.9,2.9,2.0,4.9,22,126,67
Karim Onisiwo,Mainz 05,AUT,"FW,MF",26,26,11,1161,12.9,7,3,10,7,0,0,2,0,5.6,5.6,3.3,8.8,36,17,105
Alexander Hack,Mainz 05,GER,DF,24,14,11,1020,11.3,1,1,2,1,0,0,1,0,0.9,0.9,0.5,1.4,12,46,2
Levin Öztunalı,Mainz 05,GER,"MF,FW",22,15,11,921,10.2,0,1,1,0,0,0,3,0,0.5,0.5,0.9,1.4,33,28,43
Ridle Baku,Mainz 05,GER,MF,20,15,10,937,10.4,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,13,45,32
Robin Zentner,Mainz 05,GER,GK,23,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Anthony Ujah,Mainz 05,NGA,FW,27,22,6,735,8.2,4,0,4,4,0,0,2,0,4.2,4.2,2.1,6.3,9,16,59
Giulio Donati,Mainz 05,ITA,DF,28,9,6,625,6.9,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,13,32,33
Jonathan Burkardt,Mainz 05,GER,"FW,MF",18,4,4,259,2.9,0,0,0,0,0,0,0,0,0.8,0.8,0.5,1.4,3,5,17
Alexandru Maxim,Mainz 05,ROU,"MF,FW",28,22,3,579,6.4,1,0,1,1,0,0,3,0,1.1,1.1,2.8,3.9,37,48,51
Niko Bungert,Mainz 05,GER,DF,31,7,3,284,3.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,5,0
Phillipp Mwene,Mainz 05,AUT,"DF,MF",24,6,2,274,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,5,13,12
Gerrit Holtmann,Mainz 05,PHI,"FW,MF",23,4,1,145,1.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,5,3,14
Leandro Barreiro Martins,Mainz 05,LUX,MF,18,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,3,0
Pablo de Blasis,Mainz 05,ARG,FW,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3
Gaëtan Bussmann,Mainz 05,FRA,DF,27,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3
Ahmet Gürleyen,Mainz 05,GER,DF,19,1,0,13,0.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,0,1
Abass Issah,Mainz 05,GHA,FW,19,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Dominique Heintz,Freiburg,GER,DF,24,34,34,3053,33.9,1,1,2,1,0,0,5,0,0.8,0.8,1.0,1.7,47,137,5
Alexander Schwolow,Freiburg,GER,GK,26,33,33,2970,33.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0
Christian Günter,Freiburg,GER,"DF,MF",25,32,32,2879,32.0,0,5,5,0,0,0,4,1,1.2,1.2,3.6,4.8,97,89,201
Mike Frantz,Freiburg,GER,"MF,FW",31,31,29,2216,24.6,2,1,3,2,0,0,2,0,1.7,1.7,1.5,3.1,36,33,68
Janik Haberer,Freiburg,GER,"MF,FW",24,27,26,2340,26.0,1,3,4,1,0,0,5,1,1.3,1.3,3.3,4.6,30,105,80
Robin Koch,Freiburg,GER,"MF,DF",22,24,21,1901,21.1,1,0,1,1,0,0,3,0,0.9,0.9,0.4,1.3,5,55,6
Nils Petersen,Freiburg,GER,FW,29,24,20,1929,21.4,10,3,13,9,1,2,0,0,7.2,5.6,1.8,7.4,13,30,98
Manuel Gulde,Freiburg,GER,DF,27,21,20,1712,19.0,1,0,1,1,0,0,3,0,0.9,0.9,0.1,1.0,19,58,2
Nicolas Höfler,Freiburg,GER,MF,28,18,18,1615,17.9,0,0,0,0,0,0,6,0,0.8,0.8,1.2,2.0,14,92,11
Luca Waldschmidt,Freiburg,GER,"FW,MF",22,30,16,1717,19.1,9,1,10,6,3,3,1,0,7.9,5.6,2.3,7.9,38,75,86
Pascal Stenzel,Freiburg,GER,"DF,MF",22,21,16,1449,16.1,0,2,2,0,0,0,5,1,1.0,1.0,1.5,2.6,22,60,39
Vincenzo Grifo,Freiburg,ITA,"MF,FW",25,16,16,1427,15.9,6,3,9,5,1,1,1,0,3.6,2.9,3.2,6.1,63,68,110
Lukas Kübler,Freiburg,GER,"DF,MF",25,16,15,1184,13.2,0,2,2,0,0,0,2,0,0.2,0.2,1.1,1.3,9,38,41
Jérôme Gondorf,Freiburg,GER,"MF,FW",30,25,13,1296,14.4,2,2,4,2,0,0,3,0,1.5,1.5,3.1,4.7,22,54,62
Florian Niederlechner,Freiburg,GER,"FW,MF",27,24,12,970,10.8,4,1,5,4,0,0,3,0,4.6,4.6,0.7,5.4,11,18,53
Lucas Höler,Freiburg,GER,FW,24,26,11,1006,11.2,4,0,4,4,0,0,0,0,3.9,3.9,0.4,4.3,22,25,86
Amir Abrashi,Freiburg,ALB,MF,28,10,9,790,8.8,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,6,19,9
Keven Schlotterbeck,Freiburg,GER,DF,21,9,8,773,8.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,5,24,0
Philipp Lienhart,Freiburg,AUT,DF,22,14,7,614,6.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,25,1
Marco Terrazzino,Freiburg,GER,"MF,FW",27,13,7,517,5.7,1,0,1,1,0,0,0,0,0.8,0.8,0.4,1.3,14,23,33
Roland Sallai,Freiburg,HUN,MF,21,10,5,527,5.9,2,0,2,2,0,0,3,0,1.5,1.5,0.4,1.9,19,20,44
