Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Ryan John Giles,Wolverhampton Wanderers,ENG,"DF,MF",18.0,0.8,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Elliot Watt,Wolverhampton Wanderers,SCO,MF,18.0,0.7,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Bernard Ashley-Seal,Wolverhampton Wanderers,ENG,FW,19.0,0.5,0,1.0,1.0,100.0,1.84,1.84,0.0,0.0,,,0,0,,,,,
Pedro Gonçalves,Wolverhampton Wanderers,POR,MF,22.0,0.3,0,1.0,0.0,0.0,3.1,0.0,0.0,,,,0,0,,,,,
Niall Ennis,Wolverhampton Wanderers,ENG,FW,19.0,0.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Jordan Pickford,Everton,ENG,GK,24.0,40.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Gylfi Sigurðsson,Everton,ISL,MF,28.0,37.2,14,89.0,33.0,37.1,2.39,0.89,0.13,0.36,20.3,7.0,2,5,10.7,6.7,0.08,2.3,4.3
Michael Keane,Everton,ENG,DF,25.0,35.3,1,31.0,9.0,29.0,0.88,0.25,0.03,0.11,10.6,0.0,0,0,2.3,2.3,0.08,-1.3,-1.3
Lucas Digne,Everton,FRA,DF,25.0,34.9,4,35.0,10.0,28.6,1.0,0.29,0.11,0.4,25.0,11.0,0,0,1.3,1.3,0.04,2.7,2.7
Idrissa Gana Gueye,Everton,SEN,MF,28.0,33.4,0,20.0,4.0,20.0,0.6,0.12,0.0,0.0,24.3,0.0,0,0,0.6,0.6,0.03,-0.6,-0.6
Kurt Zouma,Everton,FRA,DF,23.0,32.9,2,20.0,4.0,20.0,0.61,0.12,0.1,0.5,13.5,0.0,0,0,1.5,1.5,0.08,0.5,0.5
Richarlison,Everton,BRA,"FW,MF",21.0,31.4,14,86.0,29.0,33.7,2.74,0.92,0.16,0.48,14.6,1.0,0,0,9.4,9.3,0.12,3.6,3.7
Séamus Coleman,Everton,IRL,DF,29.0,29.4,2,15.0,7.0,46.7,0.51,0.24,0.13,0.29,16.6,0.0,0,0,1.6,1.6,0.11,0.4,0.4
Bernard,Everton,BRA,"FW,MF",25.0,25.8,2,27.0,7.0,25.9,1.04,0.27,0.07,0.29,17.0,0.0,0,0,2.6,2.6,0.11,-1.6,-1.6
Theo Walcott,Everton,ENG,"FW,MF",29.0,24.4,6,44.0,22.0,50.0,1.8,0.9,0.14,0.27,15.1,0.0,0,0,5.7,5.7,0.13,-0.7,-0.7
André Gomes,Everton,POR,MF,25.0,23.5,1,23.0,5.0,21.7,0.98,0.21,0.04,0.2,21.3,0.0,0,0,1.6,1.6,0.08,-0.6,-0.6
Dominic Calvert-Lewin,Everton,ENG,FW,21.0,22.0,8,58.0,20.0,34.5,2.63,0.91,0.14,0.4,14.1,0.0,0,0,5.5,5.5,0.11,0.5,0.5
Cenk Tosun,Everton,TUR,FW,27.0,14.1,4,42.0,20.0,47.6,2.98,1.42,0.1,0.2,14.0,0.0,0,0,5.0,5.0,0.14,-2.0,-2.0
Tom Davies,Everton,ENG,MF,20.0,13.7,0,8.0,3.0,37.5,0.58,0.22,0.0,0.0,18.9,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Jonjoe Kenny,Everton,ENG,DF,21.0,12.1,0,4.0,0.0,0.0,0.33,0.0,0.0,,22.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Yerry Mina,Everton,COL,DF,23.0,11.4,1,4.0,1.0,25.0,0.35,0.09,0.25,1.0,10.8,0.0,0,0,0.3,0.3,0.08,0.7,0.7
Morgan Schneiderlin,Everton,FRA,MF,28.0,10.2,0,3.0,0.0,0.0,0.29,0.0,0.0,,17.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ademola Lookman,Everton,NGA,"FW,MF",20.0,9.4,1,19.0,5.0,26.3,2.02,0.53,0.05,0.2,18.6,0.0,0,0,1.4,1.4,0.12,-1.4,-1.4
Leighton Baines,Everton,ENG,DF,33.0,6.5,0,2.0,1.0,50.0,0.31,0.15,0.0,0.0,25.5,1.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Mason Holgate,Everton,ENG,DF,21.0,5.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Phil Jagielka,Everton,ENG,DF,35.0,3.7,1,1.0,1.0,100.0,0.27,0.27,1.0,1.0,4.4,0.0,0,0,0.6,0.6,0.6,0.4,0.4
Oumar Niasse,Everton,SEN,FW,28.0,2.3,0,5.0,1.0,20.0,2.14,0.43,0.0,0.0,12.6,0.0,0,0,0.5,0.5,0.16,-0.5,-0.5
Maarten Stekelenburg,Everton,NED,GK,35.0,2.3,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Kieran Dowell,Everton,ENG,"FW,MF",20.0,1.5,0,3.0,1.0,33.3,2.0,0.67,0.0,0.0,,,0,0,,,,,
Wilfred Ndidi,Leicester City,NGA,MF,21.0,39.3,2,57.0,9.0,15.8,1.45,0.23,0.04,0.22,20.9,0.0,0,0,3.7,3.7,0.07,-1.7,-1.7
Kasper Schmeichel,Leicester City,DEN,GK,31.0,38.0,0,1.0,0.0,0.0,0.03,0.0,0.0,,9.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ricardo Pereira,Leicester City,POR,"DF,FW",24.0,36.5,2,26.0,9.0,34.6,0.71,0.25,0.08,0.22,20.2,0.0,0,0,1.2,1.2,0.05,0.8,0.8
Ben Chilwell,Leicester City,ENG,DF,21.0,36.0,0,22.0,10.0,45.5,0.61,0.28,0.0,0.0,21.4,0.0,0,0,1.1,1.1,0.05,-1.1,-1.1
James Maddison,Leicester City,ENG,"MF,FW",21.0,32.7,7,85.0,27.0,31.8,2.6,0.83,0.07,0.22,22.4,15.0,1,2,7.4,5.9,0.07,-0.4,0.1
Jamie Vardy,Leicester City,ENG,FW,31.0,32.3,18,74.0,33.0,44.6,2.29,1.02,0.19,0.42,13.3,0.0,4,5,18.3,14.4,0.2,-0.3,-0.4
Harry Maguire,Leicester City,ENG,DF,25.0,30.2,3,32.0,12.0,37.5,1.06,0.4,0.09,0.25,14.4,0.0,0,0,2.4,2.4,0.08,0.6,0.6
Jonny Evans,Leicester City,NIR,DF,30.0,26.8,1,12.0,3.0,25.0,0.45,0.11,0.08,0.33,9.9,0.0,0,0,0.9,0.9,0.08,0.1,0.1
Demarai Gray,Leicester City,JAM,"FW,MF",22.0,26.2,4,55.0,22.0,40.0,2.1,0.84,0.07,0.18,19.7,1.0,0,0,4.5,4.5,0.1,-0.5,-0.5
Wes Morgan,Leicester City,JAM,DF,34.0,24.4,3,14.0,4.0,28.6,0.57,0.16,0.21,0.75,8.6,0.0,0,0,1.8,1.8,0.13,1.2,1.2
Nampalys Mendy,Leicester City,SEN,MF,26.0,23.9,0,2.0,0.0,0.0,0.08,0.0,0.0,,22.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Marc Albrighton,Leicester City,ENG,"FW,MF",28.0,22.5,3,35.0,13.0,37.1,1.55,0.58,0.09,0.23,21.4,0.0,0,0,1.2,1.2,0.06,0.8,0.8
Kelechi Iheanacho,Leicester City,NGA,"FW,MF",21.0,14.2,2,26.0,8.0,30.8,1.83,0.56,0.08,0.25,18.0,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1
Youri Tielemans,Leicester City,BEL,MF,21.0,12.1,3,31.0,12.0,38.7,2.57,0.99,0.1,0.25,24.7,2.0,0,0,1.8,1.8,0.06,1.2,1.2
Rachid Ghezzal,Leicester City,ALG,"FW,MF",26.0,12.0,3,30.0,12.0,40.0,2.5,1.0,0.1,0.25,20.1,1.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Harvey Barnes,Leicester City,ENG,"MF,FW",20.0,11.2,1,40.0,10.0,25.0,3.59,0.9,0.03,0.1,17.0,0.0,0,0,3.9,3.9,0.1,-2.9,-2.9
Hamza Choudhury,Leicester City,ENG,MF,20.0,9.4,0,4.0,2.0,50.0,0.43,0.21,0.0,0.0,19.6,0.0,0,0,0.5,0.5,0.12,-0.5,-0.5
Christian Fuchs,Leicester City,AUT,DF,32.0,8.3,1,8.0,1.0,12.5,0.96,0.12,0.13,1.0,21.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Daniel Amartey,Leicester City,GHA,DF,23.0,8.1,0,4.0,1.0,25.0,0.49,0.12,0.0,0.0,19.4,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Çağlar Söyüncü,Leicester City,TUR,DF,22.0,6.8,0,3.0,0.0,0.0,0.44,0.0,0.0,,12.1,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Danny Simpson,Leicester City,ENG,DF,31.0,6.6,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Shinji Okazaki,Leicester City,JPN,"MF,FW",32.0,6.0,0,11.0,6.0,54.5,1.82,0.99,0.0,0.0,16.0,0.0,0,0,0.6,0.6,0.11,-0.6,-0.6
Danny Ward,Leicester City,WAL,GK,25.0,6.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Vicente Iborra,Leicester City,ESP,MF,30.0,5.5,1,6.0,2.0,33.3,1.08,0.36,0.17,0.5,10.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Adrien Silva,Leicester City,POR,MF,29.0,3.6,0,3.0,0.0,0.0,0.84,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0
Fousseni Diabaté,Leicester City,MLI,FW,22.0,1.6,0,2.0,1.0,50.0,1.24,0.62,0.0,0.0,,0.0,0,0,0.0,0.0,,0.0,0.0
Matty James,Leicester City,ENG,MF,27.0,0.8,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Łukasz Fabiański,West Ham United,POL,GK,33.0,38.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Issa Diop,West Ham United,FRA,DF,21.0,38.0,2,17.0,6.0,35.3,0.45,0.16,0.12,0.33,10.1,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2
Declan Rice,West Ham United,ENG,MF,19.0,37.3,2,23.0,5.0,21.7,0.62,0.13,0.09,0.4,18.3,0.0,0,0,1.2,1.2,0.05,0.8,0.8
Felipe Anderson,West Ham United,BRA,"MF,FW",25.0,35.4,10,63.0,26.0,41.3,1.78,0.73,0.16,0.38,18.7,5.0,0,0,5.5,5.5,0.09,3.5,3.5
Robert Snodgrass,West Ham United,SCO,MF,30.0,28.5,4,36.0,10.0,27.8,1.26,0.35,0.11,0.4,19.9,4.0,0,0,2.3,2.3,0.08,-0.3,-0.3
Michail Antonio,West Ham United,JAM,"MF,FW",28.0,27.1,7,79.0,32.0,40.5,2.91,1.18,0.09,0.22,16.2,0.0,0,0,7.1,7.1,0.11,-1.1,-1.1
Mark Noble,West Ham United,ENG,MF,31.0,26.5,5,14.0,4.0,28.6,0.53,0.15,0.07,0.25,28.8,0.0,4,4,3.7,0.5,0.04,1.3,0.5
Angelo Ogbonna,West Ham United,ITA,DF,30.0,25.8,3,20.0,10.0,50.0,0.77,0.39,0.15,0.3,8.9,0.0,0,0,1.8,1.8,0.13,-0.8,-0.8
Pablo Zabaleta,West Ham United,ARG,DF,33.0,24.2,0,8.0,1.0,12.5,0.33,0.04,0.0,0.0,24.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Marko Arnautović,West Ham United,AUT,FW,29.0,22.7,11,64.0,32.0,50.0,2.82,1.41,0.16,0.31,17.5,3.0,1,1,8.9,8.1,0.13,1.1,0.9
Arthur Masuaku,West Ham United,COD,DF,24.0,22.6,0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,26.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Fabián Balbuena,West Ham United,PAR,DF,26.0,22.4,1,19.0,2.0,10.5,0.85,0.09,0.05,0.5,9.3,0.0,0,0,2.1,2.1,0.12,-1.1,-1.1
Aaron Cresswell,West Ham United,ENG,DF,28.0,19.7,0,16.0,1.0,6.3,0.81,0.05,0.0,0.0,22.6,2.0,0,0,0.5,0.5,0.04,-0.5,-0.5
Javier Hernández,West Ham United,MEX,FW,30.0,17.5,8,47.0,21.0,44.7,2.69,1.2,0.17,0.38,12.8,0.0,0,0,6.6,6.6,0.19,0.4,0.4
Pedro Obiang,West Ham United,EQG,MF,26.0,15.7,0,19.0,2.0,10.5,1.21,0.13,0.0,0.0,23.6,0.0,0,0,0.6,0.6,0.04,-0.6,-0.6
Ryan Fredericks,West Ham United,ENG,DF,25.0,14.6,2,6.0,3.0,50.0,0.41,0.21,0.33,0.67,19.2,0.0,0,0,0.5,0.5,0.1,0.5,0.5
Grady Diangana,West Ham United,COD,"MF,FW",20.0,10.3,2,17.0,6.0,35.3,1.66,0.58,0.12,0.33,16.8,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5
Lucas Pérez,West Ham United,ESP,"FW,MF",29.0,8.0,6,15.0,6.0,40.0,1.87,0.75,0.4,1.0,13.8,0.0,0,0,1.3,1.3,0.14,1.7,1.7
Manuel Lanzini,West Ham United,ARG,MF,25.0,7.6,1,11.0,4.0,36.4,1.44,0.52,0.09,0.25,20.0,3.0,0,0,1.1,1.1,0.1,-0.1,-0.1
Andy Carroll,West Ham United,ENG,FW,29.0,6.4,1,19.0,7.0,36.8,2.96,1.09,0.05,0.14,12.6,0.0,0,0,2.2,2.2,0.16,-2.2,-2.2
Andriy Yarmolenko,West Ham United,UKR,"MF,FW",28.0,6.1,2,15.0,5.0,33.3,2.46,0.82,0.13,0.4,17.1,0.0,0,0,1.1,1.1,0.12,0.9,0.9
Adrián,West Ham United,ESP,GK,31.0,5.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Jack Wilshere,West Ham United,ENG,MF,26.0,4.4,0,2.0,1.0,50.0,0.46,0.23,0.0,0.0,16.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2
Samir Nasri,West Ham United,FRA,MF,31.0,3.4,0,3.0,0.0,0.0,0.89,0.0,0.0,,21.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Carlos Sánchez,West Ham United,COL,MF,32.0,2.8,0,3.0,0.0,0.0,1.07,0.0,0.0,,27.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Xande Silva,West Ham United,POR,FW,21.0,1.1,0,4.0,1.0,25.0,3.75,0.94,0.0,0.0,15.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Ben Johnson,West Ham United,ENG,DF,18.0,0.7,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Craig Cathcart,Watford,NIR,DF,29.0,40.1,3,14.0,5.0,35.7,0.35,0.12,0.21,0.6,10.2,0.0,0,0,1.5,1.5,0.12,1.5,1.5
Ben Foster,Watford,ENG,GK,35.0,38.0,0,1.0,0.0,0.0,0.03,0.0,0.0,,28.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Abdoulaye Doucouré,Watford,MLI,MF,25.0,37.6,5,58.0,16.0,27.6,1.54,0.43,0.09,0.31,17.6,0.0,0,0,6.2,6.2,0.13,-1.2,-1.2
Étienne Capoue,Watford,FRA,MF,30.0,37.6,4,24.0,7.0,29.2,0.64,0.19,0.17,0.57,26.7,5.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Roberto Pereyra,Watford,ARG,MF,27.0,34.3,6,60.0,23.0,38.3,1.75,0.67,0.1,0.26,17.5,6.0,0,0,5.4,5.4,0.09,0.6,0.6
Troy Deeney,Watford,ENG,FW,30.0,32.8,11,73.0,32.0,43.8,2.22,0.97,0.12,0.28,14.8,0.0,2,2,9.5,8.7,0.14,-0.5,-0.7
Will Hughes,Watford,ENG,MF,23.0,32.8,3,34.0,8.0,23.5,1.04,0.24,0.09,0.38,17.2,0.0,0,0,2.5,2.5,0.08,-0.5,-0.5
José Holebas,Watford,GRE,DF,34.0,30.2,3,19.0,5.0,26.3,0.63,0.17,0.16,0.6,23.4,4.0,0,0,1.0,1.0,0.06,2.0,2.0
Kiko Femenía,Watford,ESP,DF,27.0,27.7,1,8.0,2.0,25.0,0.29,0.07,0.13,0.5,24.2,0.0,0,0,0.4,0.4,0.07,0.6,0.6
