Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Renato Steffen,Wolfsburg,SUI,"FW,MF",26.0,18.5,5,28.0,9.0,32.1,1.52,0.49,0.18,0.56,16.5,0.0,0,0,3.1,3.1,0.11,1.9,1.9
Josuha Guilavogui,Wolfsburg,FRA,MF,27.0,18.4,2,9.0,5.0,55.6,0.49,0.27,0.22,0.4,14.1,0.0,0,0,1.0,1.0,0.15,1.0,1.0
Josip Brekalo,Wolfsburg,CRO,"FW,MF",20.0,17.0,3,29.0,14.0,48.3,1.71,0.82,0.1,0.21,19.8,0.0,0,0,2.3,2.3,0.09,0.7,0.7
Daniel Ginczek,Wolfsburg,GER,FW,27.0,16.2,7,40.0,16.0,40.0,2.47,0.99,0.18,0.44,16.8,0.0,0,0,3.8,3.8,0.11,2.2,2.2
Elvis Rexhbeçaj,Wolfsburg,GER,MF,20.0,14.3,2,11.0,4.0,36.4,0.77,0.28,0.18,0.5,23.1,0.0,0,0,0.7,0.7,0.07,1.3,1.3
Marcel Tisserand,Wolfsburg,COD,DF,25.0,10.8,1,10.0,2.0,20.0,0.92,0.18,0.1,0.5,8.7,0.0,0,0,1.1,1.1,0.11,-0.1,-0.1
Yunus Mallı,Wolfsburg,TUR,"MF,FW",26.0,8.7,1,11.0,3.0,27.3,1.26,0.34,0.0,0.0,20.4,0.0,1,1,1.9,1.1,0.15,-0.9,-1.1
Pavao Pervan,Wolfsburg,AUT,GK,30.0,8.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Ignacio Camacho,Wolfsburg,ESP,MF,28.0,6.0,0,7.0,3.0,42.9,1.17,0.5,0.0,0.0,17.7,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Felix Klaus,Wolfsburg,GER,"FW,MF",25.0,5.0,1,16.0,6.0,37.5,3.2,1.2,0.06,0.17,18.2,0.0,0,0,1.9,1.9,0.12,-0.9,-0.9
Paul Verhaegh,Wolfsburg,NED,DF,34.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Ohis Felix Uduokhai,Wolfsburg,GER,DF,20.0,2.7,0,1.0,0.0,0.0,0.37,0.0,0.0,,11.7,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Gian-Luca Itter,Wolfsburg,GER,DF,19.0,1.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
John Yeboah,Wolfsburg,ECU,"MF,FW",18.0,1.0,0,2.0,1.0,50.0,2.07,1.03,0.0,0.0,19.1,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Danny da Costa,Eintracht Frankfurt,GER,"DF,FW",25.0,49.6,4,36.0,13.0,36.1,0.73,0.26,0.11,0.31,13.1,0.0,0,0,6.2,6.2,0.18,-2.2,-2.2
Kevin Trapp,Eintracht Frankfurt,GER,GK,28.0,45.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Filip Kostić,Eintracht Frankfurt,SRB,"DF,FW",25.0,44.3,10,85.0,27.0,31.8,1.92,0.61,0.12,0.37,21.4,11.0,0,0,6.5,6.5,0.08,3.5,3.5
Makoto Hasebe,Eintracht Frankfurt,JPN,"DF,MF",34.0,43.7,0,2.0,1.0,50.0,0.05,0.02,0.0,0.0,24.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Luka Jović,Eintracht Frankfurt,SRB,FW,20.0,36.6,27,148.0,59.0,39.9,4.04,1.61,0.18,0.44,15.1,0.0,1,1,21.1,20.3,0.14,5.9,5.7
Sébastien Haller,Eintracht Frankfurt,CIV,FW,24.0,34.6,20,75.0,31.0,41.3,2.17,0.9,0.21,0.52,12.2,0.0,4,4,19.7,16.6,0.22,0.3,-0.6
Obite N'Dicka,Eintracht Frankfurt,CIV,DF,18.0,33.5,1,17.0,2.0,11.8,0.51,0.06,0.06,0.5,11.4,0.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Gelson Fernandes,Eintracht Frankfurt,SUI,MF,31.0,33.3,1,4.0,3.0,75.0,0.12,0.09,0.25,0.33,15.4,0.0,0,0,0.8,0.8,0.21,0.2,0.2
Mijat Gaćinović,Eintracht Frankfurt,SRB,"MF,FW",23.0,32.5,2,50.0,14.0,28.0,1.54,0.43,0.04,0.14,22.4,3.0,0,0,4.0,4.0,0.08,-2.0,-2.0
Ante Rebić,Eintracht Frankfurt,CRO,FW,24.0,27.9,10,73.0,31.0,42.5,2.62,1.11,0.14,0.32,16.4,3.0,0,0,10.4,10.4,0.15,-0.4,-0.4
David Abraham,Eintracht Frankfurt,ARG,DF,32.0,25.9,0,12.0,1.0,8.3,0.46,0.04,0.0,0.0,10.3,0.0,0,0,1.6,1.6,0.16,-1.6,-1.6
Jonathan de Guzmán,Eintracht Frankfurt,NED,MF,30.0,23.2,3,30.0,7.0,23.3,1.29,0.3,0.1,0.43,20.5,3.0,0,0,3.7,3.7,0.14,-0.7,-0.7
Martin Hinteregger,Eintracht Frankfurt,AUT,DF,25.0,20.0,2,19.0,4.0,21.1,0.95,0.2,0.11,0.5,17.1,0.0,0,0,2.4,2.4,0.13,-0.4,-0.4
Sebastian Rode,Eintracht Frankfurt,GER,MF,27.0,17.0,1,8.0,3.0,37.5,0.47,0.18,0.13,0.33,20.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4
Jetro Willems,Eintracht Frankfurt,NED,"MF,DF",24.0,15.6,0,17.0,2.0,11.8,1.09,0.13,0.0,0.0,23.2,2.0,0,0,0.6,0.6,0.04,-0.6,-0.6
Simon Falette,Eintracht Frankfurt,GUI,DF,26.0,13.3,0,8.0,1.0,12.5,0.6,0.08,0.0,0.0,21.7,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3
Lucas Torró,Eintracht Frankfurt,ESP,MF,24.0,10.2,1,12.0,2.0,16.7,1.18,0.2,0.08,0.5,14.3,0.0,0,0,0.4,0.4,0.06,0.6,0.6
Marco Russ,Eintracht Frankfurt,GER,DF,32.0,7.5,0,3.0,0.0,0.0,0.4,0.0,0.0,,10.6,0.0,0,0,0.7,0.7,0.22,-0.7,-0.7
Carlos Salcedo,Eintracht Frankfurt,MEX,DF,24.0,7.0,0,4.0,2.0,50.0,0.57,0.29,0.0,0.0,30.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Almamy Touré,Eintracht Frankfurt,MLI,"DF,MF",22.0,5.8,0,2.0,0.0,0.0,0.35,0.0,0.0,,13.9,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Frederik Rønnow,Eintracht Frankfurt,DEN,GK,25.0,5.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Gonçalo Paciência,Eintracht Frankfurt,POR,FW,23.0,5.2,5,26.0,10.0,38.5,4.98,1.91,0.19,0.5,15.7,0.0,0,0,2.7,2.7,0.11,1.3,1.3
Nicolai Müller,Eintracht Frankfurt,GER,"MF,FW",30.0,4.1,2,8.0,4.0,50.0,1.95,0.97,0.25,0.5,15.4,0.0,0,0,1.0,1.0,0.12,1.0,1.0
Taleb Tawatha,Eintracht Frankfurt,ISR,DF,26.0,3.2,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Marc Stendera,Eintracht Frankfurt,GER,MF,22.0,2.4,0,4.0,1.0,25.0,1.67,0.42,0.0,0.0,23.2,0.0,0,0,0.5,0.5,0.13,-0.5,-0.5
Allan,Eintracht Frankfurt,BRA,MF,21.0,2.0,0,2.0,0.0,0.0,1.02,0.0,0.0,,21.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Marco Fabián,Eintracht Frankfurt,MEX,FW,29.0,1.4,0,1.0,0.0,0.0,0.72,0.0,0.0,,16.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Danny Blum,Eintracht Frankfurt,GER,MF,27.0,0.6,0,1.0,1.0,100.0,1.76,1.76,0.0,0.0,,0.0,0,0,0.0,0.0,,0.0,0.0
Maximilian Eggestein,Werder Bremen,GER,MF,21.0,39.1,6,52.0,15.0,28.8,1.33,0.38,0.12,0.4,20.8,0.0,0,0,2.1,2.1,0.05,2.9,2.9
Ludwig Augustinsson,Werder Bremen,SWE,DF,24.0,38.8,1,24.0,8.0,33.3,0.62,0.21,0.04,0.13,14.7,0.0,0,0,1.5,1.5,0.07,-0.5,-0.5
Jiří Pavlenka,Werder Bremen,CZE,GK,26.0,38.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Davy Klaassen,Werder Bremen,NED,MF,25.0,36.6,7,41.0,14.0,34.1,1.12,0.38,0.15,0.43,20.0,0.0,1,1,3.0,3.0,0.1,2.0,2.0
Max Kruse,Werder Bremen,GER,"FW,MF",30.0,35.8,12,103.0,42.0,40.8,2.88,1.17,0.08,0.19,19.9,2.0,4,4,10.3,8.0,0.09,0.7,0.0
Theodor Gebre Selassie,Werder Bremen,CZE,DF,31.0,35.5,3,31.0,14.0,45.2,0.87,0.39,0.1,0.21,11.9,0.0,0,0,3.9,3.9,0.14,-0.9,-0.9
Niklas Moisander,Werder Bremen,FIN,DF,32.0,33.6,0,9.0,2.0,22.2,0.27,0.06,0.0,0.0,15.3,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
Miloš Veljković,Werder Bremen,SRB,DF,22.0,24.8,1,11.0,3.0,27.3,0.44,0.12,0.09,0.33,9.8,0.0,0,0,0.8,0.8,0.09,0.2,0.2
Milot Rashica,Werder Bremen,KVX,"FW,MF",22.0,20.1,12,66.0,28.0,42.4,3.29,1.4,0.17,0.39,21.0,5.0,1,1,7.0,6.2,0.11,2.0,1.8
Nuri Şahin,Werder Bremen,TUR,MF,29.0,19.2,1,14.0,3.0,21.4,0.73,0.16,0.07,0.33,22.2,2.0,0,0,0.6,0.6,0.05,0.4,0.4
Sebastian Langkamp,Werder Bremen,GER,DF,30.0,17.1,0,10.0,2.0,20.0,0.58,0.12,0.0,0.0,10.0,0.0,0,0,1.2,1.2,0.12,-1.2,-1.2
Yuya Osako,Werder Bremen,JPN,"FW,MF",28.0,16.7,5,32.0,8.0,25.0,1.92,0.48,0.16,0.63,13.8,0.0,0,0,3.4,3.4,0.13,-0.4,-0.4
Johannes Eggestein,Werder Bremen,GER,"FW,MF",20.0,14.4,5,39.0,13.0,33.3,2.7,0.9,0.13,0.38,14.2,0.0,0,0,4.6,4.6,0.14,-0.6,-0.6
Philipp Bargfrede,Werder Bremen,GER,"MF,DF",29.0,13.7,1,10.0,2.0,20.0,0.73,0.15,0.1,0.5,28.8,0.0,0,0,0.2,0.2,0.02,-0.2,-0.2
Kevin Möhwald,Werder Bremen,GER,MF,25.0,11.2,3,24.0,11.0,45.8,2.14,0.98,0.13,0.27,23.0,1.0,0,0,1.0,1.0,0.05,2.0,2.0
Martin Harnik,Werder Bremen,AUT,"FW,MF",31.0,10.2,7,32.0,21.0,65.6,3.13,2.05,0.22,0.33,13.0,0.0,0,0,5.8,5.8,0.21,-1.8,-1.8
Claudio Pizarro,Werder Bremen,PER,FW,39.0,9.2,7,30.0,12.0,40.0,3.26,1.3,0.23,0.58,13.4,1.0,0,0,3.1,3.1,0.12,1.9,1.9
Marco Friedl,Werder Bremen,AUT,DF,20.0,7.3,0,3.0,1.0,33.3,0.41,0.14,0.0,0.0,13.9,0.0,0,0,0.0,0.0,0.05,0.0,0.0
Florian Kainz,Werder Bremen,AUT,FW,25.0,6.1,2,17.0,7.0,41.2,2.77,1.14,0.12,0.29,20.1,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4
Josh Sargent,Werder Bremen,USA,FW,18.0,2.4,2,4.0,2.0,50.0,1.7,0.85,0.5,1.0,6.5,0.0,0,0,1.5,1.5,0.37,0.5,0.5
Stefanos Kapino,Werder Bremen,GRE,GK,24.0,0.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Luca Plogmann,Werder Bremen,GER,GK,18.0,0.4,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Fin Bartels,Werder Bremen,GER,"MF,FW",31.0,0.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Oliver Baumann,Hoffenheim,GER,GK,28.0,39.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Pavel Kadeřábek,Hoffenheim,CZE,"DF,MF",26.0,34.9,5,36.0,16.0,44.4,1.03,0.46,0.14,0.31,12.1,0.0,0,0,4.6,4.6,0.14,-0.6,-0.6
Nico Schulz,Hoffenheim,GER,"DF,MF",25.0,34.8,2,43.0,13.0,30.2,1.24,0.37,0.05,0.15,19.9,0.0,0,0,2.9,2.9,0.07,-1.9,-1.9
Andrej Kramarić,Hoffenheim,CRO,"MF,FW",27.0,33.0,22,125.0,46.0,36.8,3.79,1.4,0.13,0.35,19.0,10.0,6,7,23.3,17.9,0.15,-1.3,-1.9
Kevin Vogt,Hoffenheim,GER,DF,26.0,32.6,0,6.0,1.0,16.7,0.18,0.03,0.0,0.0,13.3,0.0,0,0,0.9,0.9,0.15,-0.9,-0.9
Florian Grillitsch,Hoffenheim,AUT,MF,22.0,31.2,1,37.0,11.0,29.7,1.19,0.35,0.03,0.09,23.9,0.0,0,0,1.8,1.8,0.05,-0.8,-0.8
Joelinton,Hoffenheim,BRA,FW,21.0,29.4,11,71.0,31.0,43.7,2.42,1.06,0.15,0.35,16.7,0.0,0,0,9.6,9.6,0.15,-1.6,-1.6
Kerem Demirbay,Hoffenheim,GER,MF,25.0,27.5,4,71.0,17.0,23.9,2.58,0.62,0.06,0.24,23.1,5.0,0,0,5.1,5.1,0.08,-1.1,-1.1
Ishak Belfodil,Hoffenheim,ALG,"FW,MF",26.0,25.8,17,98.0,42.0,42.9,3.8,1.63,0.17,0.4,13.4,1.0,0,0,14.1,14.1,0.15,2.9,2.9
Ermin Bičakčić,Hoffenheim,BIH,DF,28.0,24.4,1,9.0,4.0,44.4,0.37,0.16,0.11,0.25,7.9,0.0,0,0,1.5,1.5,0.18,-0.5,-0.5
Ádám Szalai,Hoffenheim,HUN,"FW,MF",30.0,22.5,6,75.0,23.0,30.7,3.34,1.02,0.08,0.26,12.6,0.0,0,0,10.4,10.4,0.14,-4.4,-4.4
Stefan Posch,Hoffenheim,AUT,DF,21.0,18.6,0,6.0,2.0,33.3,0.32,0.11,0.0,0.0,13.7,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4
Leonardo Bittencourt,Hoffenheim,GER,MF,24.0,14.7,1,28.0,10.0,35.7,1.91,0.68,0.04,0.1,18.9,0.0,0,0,3.0,3.0,0.14,-2.0,-2.0
Joshua Brenet,Hoffenheim,NED,"DF,FW",24.0,12.9,3,12.0,8.0,66.7,0.93,0.62,0.25,0.38,15.8,0.0,0,0,1.8,1.8,0.16,0.2,0.2
Kasim Nuhu,Hoffenheim,GHA,DF,23.0,12.6,0,2.0,0.0,0.0,0.16,0.0,0.0,,14.6,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Benjamin Hübner,Hoffenheim,GER,DF,29.0,10.0,0,9.0,4.0,44.4,0.9,0.4,0.0,0.0,10.4,0.0,0,0,0.7,0.7,0.08,-0.7,-0.7
Reiss Nelson,Hoffenheim,ENG,"FW,MF",18.0,8.8,7,24.0,12.0,50.0,2.72,1.36,0.29,0.58,14.4,0.0,0,0,3.7,3.7,0.15,3.3,3.3
Nadiem Amiri,Hoffenheim,GER,MF,21.0,8.7,3,19.0,6.0,31.6,2.19,0.69,0.16,0.5,18.8,0.0,0,0,2.2,2.2,0.12,0.8,0.8
Steven Zuber,Hoffenheim,SUI,"FW,MF",26.0,8.5,1,21.0,6.0,28.6,2.47,0.71,0.05,0.17,22.2,0.0,0,0,0.8,0.8,0.04,0.2,0.2
Kevin Akpoguma,Hoffenheim,NGA,DF,23.0,7.5,0,1.0,0.0,0.0,0.13,0.0,0.0,,33.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Håvard Nordtveit,Hoffenheim,NOR,"DF,MF",28.0,7.3,1,6.0,1.0,16.7,0.82,0.14,0.17,1.0,14.5,0.0,0,0,0.7,0.7,0.11,0.3,0.3
Vincenzo Grifo,Hoffenheim,ITA,DF,25.0,5.1,1,17.0,2.0,11.8,3.36,0.4,0.0,0.0,21.6,2.0,1,1,1.5,0.7,0.05,-0.5,-0.7
Dennis Geiger,Hoffenheim,GER,MF,20.0,3.4,0,5.0,2.0,40.0,1.46,0.58,0.0,0.0,26.9,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Gregor Kobel,Hoffenheim,SUI,GK,20.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Justin Hoogma,Hoffenheim,NED,MF,20.0,2.6,0,2.0,1.0,50.0,0.76,0.38,0.0,0.0,23.7,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Christoph Baumgartner,Hoffenheim,AUT,MF,18.0,0.9,0,2.0,0.0,0.0,2.12,0.0,0.0,,19.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
David Otto,Hoffenheim,GER,"MF,FW",19.0,0.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Lukas Rupp,Hoffenheim,GER,"MF,DF",27.0,0.3,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Matthias Zimmermann,Dusseldorf,GER,"DF,MF",26.0,35.9,1,16.0,5.0,31.3,0.45,0.14,0.06,0.2,26.5,0.0,0,0,0.5,0.5,0.03,0.5,0.5
Michael Rensing,Dusseldorf,GER,GK,34.0,33.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Niko Gießelmann,Dusseldorf,GER,DF,26.0,30.8,0,26.0,7.0,26.9,0.84,0.23,0.0,0.0,20.5,0.0,0,0,1.3,1.3,0.05,-1.3,-1.3
Kaan Ayhan,Dusseldorf,TUR,DF,23.0,30.2,4,24.0,9.0,37.5,0.79,0.3,0.17,0.44,14.5,5.0,0,0,2.3,2.3,0.1,1.7,1.7
Marcin Kamiński,Dusseldorf,POL,DF,26.0,27.0,0,8.0,1.0,12.5,0.3,0.04,0.0,0.0,18.2,2.0,0,0,0.7,0.7,0.09,-0.7,-0.7
Kevin Stöger,Dusseldorf,AUT,MF,24.0,25.5,2,37.0,12.0,32.4,1.45,0.47,0.05,0.17,25.2,5.0,0,0,2.4,2.4,0.07,-1.4,-1.4
Dodi Lukebakio,Dusseldorf,BEL,"FW,MF",20.0,24.1,14,59.0,31.0,52.5,2.45,1.29,0.17,0.32,18.2,0.0,4,6,12.7,8.0,0.16,-2.7,-2.0
Rouwen Hennings,Dusseldorf,GER,FW,30.0,23.0,9,65.0,26.0,40.0,2.83,1.13,0.12,0.31,15.7,0.0,1,1,8.5,7.7,0.13,-1.5,-1.7
Benito Raman,Dusseldorf,BEL,"MF,FW",23.0,19.7,11,60.0,29.0,48.3,3.05,1.47,0.18,0.38,16.9,0.0,0,0,7.4,7.4,0.14,2.6,2.6
Alfredo Morales,Dusseldorf,USA,MF,28.0,19.1,1,21.0,9.0,42.9,1.1,0.47,0.05,0.11,18.1,0.0,0,0,1.0,1.0,0.05,0.0,0.0
Jean Zimmer,Dusseldorf,GER,"DF,FW",24.0,17.9,1,9.0,3.0,33.3,0.5,0.17,0.11,0.33,21.0,0.0,0,0,0.5,0.5,0.06,0.5,0.5
Adam Bodzek,Dusseldorf,GER,"MF,DF",32.0,17.7,0,2.0,0.0,0.0,0.11,0.0,0.0,,25.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
André Hoffmann,Dusseldorf,GER,"DF,MF",25.0,13.7,0,8.0,0.0,0.0,0.59,0.0,0.0,,15.2,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3
Oliver Fink,Dusseldorf,GER,MF,36.0,12.0,3,12.0,3.0,25.0,1.0,0.25,0.25,1.0,16.7,0.0,0,0,0.7,0.7,0.06,2.3,2.3
Marvin Ducksch,Dusseldorf,GER,FW,24.0,11.6,4,25.0,15.0,60.0,2.16,1.3,0.16,0.27,19.4,1.0,0,0,1.6,1.6,0.09,-0.6,-0.6
Marcel Sobottka,Dusseldorf,GER,MF,24.0,11.5,0,6.0,2.0,33.3,0.52,0.17,0.0,0.0,14.2,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
Takashi Usami,Dusseldorf,JPN,"MF,FW",26.0,11.4,1,29.0,7.0,24.1,2.55,0.62,0.03,0.14,21.0,0.0,0,0,2.1,2.1,0.08,-1.1,-1.1
Kenan Karaman,Dusseldorf,TUR,"FW,MF",24.0,10.6,3,21.0,8.0,38.1,1.99,0.76,0.14,0.38,12.1,0.0,0,0,3.4,3.4,0.16,-0.4,-0.4
Robin Bormuth,Dusseldorf,GER,DF,22.0,7.8,0,1.0,0.0,0.0,0.13,0.0,0.0,,,0.0,0,0,0.0,0.0,,0.0,0.0
Dawid Kownacki,Dusseldorf,POL,"MF,FW",21.0,6.8,4,14.0,6.0,42.9,2.07,0.89,0.29,0.67,14.9,0.0,0,0,1.6,1.6,0.12,2.4,2.4
Markus Suttner,Dusseldorf,AUT,"DF,MF",31.0,6.4,1,6.0,2.0,33.3,0.93,0.31,0.17,0.5,23.2,2.0,0,0,0.2,0.2,0.05,0.8,0.8
Aymen Barkok,Dusseldorf,MAR,MF,20.0,6.4,0,8.0,1.0,12.5,1.25,0.16,0.0,0.0,24.0,0.0,0,0,0.5,0.5,0.1,-0.5,-0.5
Jaroslav Drobný,Dusseldorf,CZE,GK,38.0,3.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Raphael Wolf,Dusseldorf,GER,GK,30.0,1.0,0,0.0,0.0,,0.0,0.0,,,,,0,0,,,,,
Davor Lovren,Dusseldorf,CRO,MF,19.0,0.5,0,1.0,1.0,100.0,1.96,1.96,0.0,0.0,27.8,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Valentino Lazaro,Hertha BSC,AUT,"DF,FW",22.0,33.8,3,21.0,8.0,38.1,0.62,0.24,0.14,0.38,18.3,3.0,0,0,2.1,2.1,0.11,0.9,0.9
Rune Jarstein,Hertha BSC,NOR,GK,33.0,32.8,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Ondrej Duda,Hertha BSC,SVK,MF,23.0,31.7,11,57.0,22.0,38.6,1.8,0.69,0.19,0.5,19.3,6.0,0,0,7.0,7.0,0.13,4.0,4.0
Salomon Kalou,Hertha BSC,CIV,"FW,MF",32.0,28.5,8,47.0,16.0,34.0,1.65,0.56,0.11,0.31,14.2,1.0,3,3,10.1,7.7,0.18,-2.1,-2.7
Karim Rekik,Hertha BSC,NED,DF,23.0,26.3,0,7.0,2.0,28.6,0.27,0.08,0.0,0.0,14.6,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6
Arne Maier,Hertha BSC,GER,MF,19.0,24.9,0,21.0,7.0,33.3,0.84,0.28,0.0,0.0,24.7,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8
Marvin Plattenhardt,Hertha BSC,GER,DF,26.0,24.7,2,13.0,3.0,23.1,0.53,0.12,0.15,0.67,26.7,5.0,0,0,0.8,0.8,0.07,0.2,0.2
Fabian Lustenberger,Hertha BSC,SUI,"DF,MF",30.0,24.3,0,2.0,0.0,0.0,0.08,0.0,0.0,,9.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Niklas Stark,Hertha BSC,GER,DF,23.0,24.1,1,11.0,4.0,36.4,0.46,0.17,0.09,0.25,11.2,0.0,0,0,0.8,0.8,0.07,0.2,0.2
Maximilian Mittelstädt,Hertha BSC,GER,"DF,MF",21.0,22.5,3,27.0,8.0,29.6,1.2,0.36,0.11,0.38,18.8,0.0,0,0,1.3,1.3,0.06,-0.3,-0.3
Vedad Ibišević,Hertha BSC,BIH,FW,33.0,22.1,12,58.0,23.0,39.7,2.63,1.04,0.19,0.48,11.0,0.0,1,1,12.4,11.8,0.23,-2.4,-2.8
Marko Grujić,Hertha BSC,SRB,MF,22.0,21.1,5,46.0,20.0,43.5,2.18,0.95,0.11,0.25,19.2,0.0,0,0,4.4,4.4,0.1,0.6,0.6
Davie Selke,Hertha BSC,GER,FW,23.0,20.7,4,48.0,20.0,41.7,2.32,0.97,0.08,0.2,13.7,0.0,0,0,5.2,5.2,0.12,-2.2,-2.2
Jordan Torunarigha,Hertha BSC,GER,DF,20.0,14.0,2,7.0,2.0,28.6,0.5,0.14,0.29,1.0,10.9,0.0,0,0,1.1,1.1,0.16,0.9,0.9
Per Ciljan Skjelbred,Hertha BSC,NOR,MF,31.0,12.2,0,5.0,1.0,20.0,0.41,0.08,0.0,0.0,23.4,0.0,0,0,0.5,0.5,0.09,-0.5,-0.5
Javairô Dilrosun,Hertha BSC,NED,"FW,MF",20.0,10.9,2,13.0,6.0,46.2,1.19,0.55,0.15,0.33,19.9,0.0,0,0,0.5,0.5,0.04,1.5,1.5
Mathew Leckie,Hertha BSC,AUS,"FW,MF",27.0,10.5,2,22.0,9.0,40.9,2.1,0.86,0.09,0.22,12.9,0.0,0,0,2.7,2.7,0.12,-0.7,-0.7
Lukas Klünter,Hertha BSC,GER,DF,22.0,7.0,0,6.0,2.0,33.3,0.86,0.29,0.0,0.0,21.4,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2
Vladimír Darida,Hertha BSC,CZE,MF,27.0,5.2,0,10.0,4.0,40.0,1.93,0.77,0.0,0.0,18.4,0.0,0,0,1.0,1.0,0.11,-1.0,-1.0
Thomas Kraft,Hertha BSC,GER,GK,30.0,4.5,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Derrick Luckassen,Hertha BSC,NED,DF,23.0,2.8,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0
Peter Pekarík,Hertha BSC,SVK,DF,31.0,2.4,0,1.0,0.0,0.0,0.41,0.0,0.0,,22.9,0.0,0,0,0.0,0.0,0.04,0.0,0.0
Palkó Dárdai,Hertha BSC,HUN,"FW,MF",19.0,1.3,0,1.0,0.0,0.0,0.79,0.0,0.0,,13.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Dennis Jastrzembski,Hertha BSC,POL,"FW,DF",18.0,0.9,0,1.0,0.0,0.0,1.17,0.0,0.0,,33.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Aarón Martín,Mainz 05,ESP,DF,21.0,33.0,0,18.0,5.0,27.8,0.55,0.15,0.0,0.0,23.6,2.0,0,0,0.8,0.8,0.04,-0.8,-0.8
Jean-Philippe Gbamin,Mainz 05,CIV,MF,22.0,31.8,2,38.0,7.0,18.4,1.19,0.22,0.05,0.29,31.2,3.0,0,0,1.4,1.4,0.04,0.6,0.6
Moussa Niakhate,Mainz 05,SEN,DF,22.0,31.0,1,10.0,3.0,30.0,0.32,0.1,0.1,0.33,9.7,0.0,0,0,1.5,1.5,0.15,-0.5,-0.5
Jean-Philippe Mateta,Mainz 05,FRA,FW,21.0,28.4,14,101.0,34.0,33.7,3.56,1.2,0.14,0.41,14.7,0.0,0,0,13.8,13.8,0.14,0.2,0.2
Stefan Bell,Mainz 05,GER,DF,26.0,27.3,0,18.0,5.0,27.8,0.66,0.18,0.0,0.0,13.4,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6
