Player,Nation,Age,Club,90 minutes played,Minutes played,Position,Passes completed,Passes attempted,Completed passes %,Total pass distance,Progressive pass distance,Short passes completed,Short passes attempted,Short passes completed %,Medium passes completed,Medium passes attempted,Medium passes completed %,Long passes completed,Long passes attempted,Long passes completed %,Assists,Expected Assisted Goals,Expected Assists,A minus xAG,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Shot creating actions,Shot creating actions per 90,Shot creating actions by live-ball passes,Shot creating actions by dead-ball passes,Successful Take-Ons that led to a shot,Shots that led to another shot attempt,Fouls drawn that led to a shot attempt,Defensive actions that led to a shot attempt,Goal creating actions,Goal creating actions per 90,Goal creating actions by live-ball passes,Goal creating actions by dead-ball passes,Successful Take-Ons that led to a goal,Shots that led to another goal-scoring shot,Fouls drawn that led to a goal,Defensive actions that led to a goal,Goals,Shots on target,Shots on target %,Shots per 90,Shots on target per 90,Goals per shot,Goals per shot on target,Average shooting distance,Shots from free kicks,Penalty kicks made,Penalty kicks attempted,Expected Goals,Non-penalty expected goals,Non-penalty expected goals/Shot,Goals minus expected Goals,Non-penalty goals minus non-penalty expected Goals,Tackles,Tackles won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Dribblers tackled,% of dribblers tackled,Challenges lost,Balls blocked,Passes blocked,Interceptions,Number of tackles and interceptions,Clearances,Errors,Tackles won %,Touches,Touches in defensive penalty area,Touches in defensive 1/3,Touches in middle 1/3,Touches in attacking 1/3,Touches in attacking penalty area,Live-ball touches,Take ons attempted,Successful take ons,Successful take ons %,Times tackled during take on,Times tackled during take on %,Times ball carried with feet,Total moved ball distance,Progressive moved ball distance,Progressive Carries,Carries into final 1/3,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive Passes Received,Yellow cards,Red cards,Second yellow card,Fouls committed,Offsides,Crosses,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial duels won,Aerial duels won %,Goals_percentile,Assists_percentile,Expected Goals_percentile,Expected Assisted Goals_percentile,Progressive Passes Received_percentile,Shot creating actions_percentile,Crosses into penalty area_percentile,Successful take ons_percentile,Goals per shot on target_percentile,Shots on target %_percentile,Aerial duels won %_percentile,Carries into final 1/3_percentile,Passes completed_percentile,Progressive passes_percentile,Passes into final third_percentile,Interceptions_percentile,Balls blocked_percentile,Touches_percentile,Long passes completed %_percentile,Clearances_percentile,Tackles won %_percentile,Progressive moved ball distance_percentile,Recoveries_percentile,Passes attempted_percentile,Errors_percentile,Fouls committed_percentile,Progressive pass distance_percentile,Total Score
Nathaniel Chalobah,ENG,23,Watford,3.0,270,MF,28.333333333333336,115.0,73.9,1251.0,460.0,47.0,56.0,83.9,30.0,37.0,81.1,4.0,9.0,44.4,0.0,0.1,0.1,-0.3,1.0,2.3333333333333335,1.0,1.0,2.666666666666667,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.98,0.14,0.0,0.0,23.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,3.0,4.0,1.0,2.0,0.0,2.0,28.6,5.0,0.6666666666666667,1.0,2.3333333333333335,8.0,2.3333333333333335,0.0,1.3333333333333333,49.333333333333336,12.0,35.0,83.0,32.0,3.0,148.0,2.0,0.0,0.0,2.0,100.0,74.0,213.0,74.0,0.0,0.6666666666666667,0.0,8.0,3.0,80.0,8.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,19.0,4.0,50.0,14.586466165413533,,,50.903614457831324,,29.022556390977446,,,,,,12.781954887218044,22.289156626506024,9.789156626506024,21.084337349397593,91.4909638554217,10.240963855421686,23.609022556390975,11.74698795180723,91.64156626506023,,,,,,,,389.1867469879518
Luka Milivojević,SRB,27,Crystal Palace,38.0,3420,MF,43.39473684210526,2189.0,75.3,31073.0,10185.0,675.0,770.0,87.7,700.0,845.0,82.8,230.0,463.0,49.7,3.0,0.07894736842105263,3.3,0.0,59.0,4.7631578947368425,23.0,7.0,5.7631578947368425,3.026315789473684,3.03,62.0,39.0,0.0,6.0,3.0,5.0,7.0,0.18,5.0,2.0,0.0,0.0,0.0,0.0,0.3157894736842105,14.0,27.5,1.26,0.35,0.04,0.14,30.0,16.0,10,11,10.9,2.2,0.05,1.1,-0.2,90.0,73.0,36.0,47.0,7.0,39.0,42.9,52.0,1.236842105263158,32.0,2.0,162.0,1.7894736842105265,3.0,0.8111111111111111,68.63157894736842,114.0,592.0,1567.0,471.0,23.0,2597.0,21.0,13.0,61.9,8.0,38.1,1113.0,5322.0,2581.0,32.0,0.4210526315789474,2.0,27.0,19.0,1496.0,15.0,11.0,0.0,0.0,64.0,0.0,198.0,0.0,0.0,0.0,194.0,54.0,59.3,89.32330827067669,,,42.62048192771085,,59.248120300751886,,,,,,4.661654135338346,61.295180722891565,61.897590361445786,70.18072289156626,86.14457831325302,48.94578313253012,67.21804511278195,21.234939759036145,76.6566265060241,,,,,,,,689.4270314340067
James McArthur,SCO,30,Crystal Palace,34.0,3058,MF,33.40418574231524,1445.0,78.5,18691.0,4949.0,559.0,646.0,86.5,436.0,528.0,82.6,98.0,171.0,57.3,6.0,0.09712230215827337,3.1,2.7,31.0,3.03139306736429,12.0,1.0,4.179202092871158,2.1484630477436233,2.15,62.0,2.0,1.0,4.0,4.0,0.0,11.0,0.32,7.0,1.0,0.0,1.0,2.0,0.0,0.08829300196206671,8.0,23.5,0.97,0.23,0.09,0.38,15.0,0.0,0,0,4.1,4.1,0.12,-1.1,-1.1,84.0,52.0,38.0,32.0,14.0,30.0,38.5,48.0,1.8835840418574232,42.0,1.2066710268149117,123.0,1.618705035971223,0.0,0.6190476190476191,55.15369522563767,78.0,442.0,1012.0,436.0,85.0,1874.0,31.0,20.0,64.5,11.0,35.5,933.0,4869.0,2156.0,42.0,0.7946370176586004,17.0,54.0,36.0,1146.0,137.0,7.0,0.0,0.0,64.0,2.0,16.0,0.0,1.0,0.0,216.0,47.0,45.6,47.81954887218045,,,49.84939759036144,,32.4812030075188,,,,,,16.99248120300752,38.10240963855422,33.8855421686747,36.596385542168676,51.6566265060241,87.95180722891565,38.94736842105263,40.51204819277108,71.3855421686747,,,,,,,,546.1803605399039
Cheikhou Kouyaté,SEN,28,Crystal Palace,21.1,1899,MF,29.478672985781994,781.0,79.6,9351.0,3218.0,335.0,393.0,85.2,223.0,274.0,81.4,34.0,57.0,59.6,2.0,0.052132701421800945,0.9,0.9,14.0,3.4123222748815167,6.0,1.0,4.075829383886256,1.6113744075829382,1.61,23.0,0.0,1.0,6.0,2.0,2.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,34.8,0.88,0.31,0.0,0.0,21.2,0.0,0,0,1.1,1.1,0.06,-1.1,-1.1,59.0,36.0,23.0,31.0,5.0,9.0,27.3,24.0,1.3744075829383886,18.0,1.0900473933649288,75.0,1.5639810426540284,0.0,0.6101694915254238,48.388625592417064,49.0,236.0,593.0,205.0,35.0,1021.0,23.0,12.0,52.2,11.0,47.8,435.0,2438.0,1188.0,19.0,0.6161137440758293,6.0,24.0,22.0,574.0,31.0,3.0,0.0,0.0,41.0,3.0,11.0,1.0,0.0,0.0,113.0,62.0,46.6,14.586466165413533,,,28.614457831325304,,17.593984962406015,,,,,,10.676691729323307,26.35542168674699,32.22891566265061,46.234939759036145,41.1144578313253,58.28313253012048,20.902255639097746,47.89156626506024,68.97590361445783,,,,,,,,413.45819367696356
Jeffrey Schlupp,GHA,25,Crystal Palace,18.6,1670,MF,26.353293413173656,658.0,74.3,7239.0,2378.0,286.0,332.0,86.1,166.0,216.0,76.9,19.0,48.0,39.6,2.0,0.06467065868263473,1.0,0.8,16.0,2.9640718562874255,13.0,3.0,4.149700598802395,1.401197604790419,1.4,22.0,0.0,1.0,1.0,2.0,0.0,3.0,0.16,1.0,0.0,1.0,0.0,1.0,0.0,0.2694610778443114,14.0,37.8,1.47,0.55,0.14,0.36,14.8,0.0,0,0,3.2,3.2,0.12,0.8,0.8,41.0,25.0,18.0,18.0,5.0,10.0,37.0,17.0,1.6167664670658681,22.0,1.2934131736526946,60.0,1.4550898203592815,1.0,0.6097560975609756,48.34131736526946,34.0,201.0,486.0,229.0,57.0,897.0,40.0,22.0,55.0,18.0,45.0,474.0,2637.0,1192.0,35.0,0.9161676646706587,9.0,30.0,24.0,583.0,95.0,1.0,0.0,0.0,36.0,3.0,25.0,1.0,0.0,0.0,90.0,53.0,47.3,84.9624060150376,,,34.63855421686747,,12.030075187969924,,,,,,22.857142857142858,17.92168674698795,33.58433734939759,35.39156626506024,54.81927710843374,75.75301204819277,20.601503759398497,5.948795180722891,64.30722891566265,,,,,,,,462.8155856508742
Max Meyer,GER,22,Crystal Palace,15.7,1416,MF,35.720338983050844,697.0,80.6,8002.0,2022.0,339.0,391.0,86.7,178.0,210.0,84.8,24.0,45.0,53.3,2.0,0.07627118644067796,1.0,0.8,22.0,3.2415254237288136,16.0,2.0,4.639830508474576,3.1779661016949152,3.18,39.0,1.0,2.0,4.0,4.0,0.0,3.0,0.19,2.0,0.0,0.0,0.0,1.0,0.0,0.1271186440677966,15.0,27.3,2.43,0.66,0.04,0.13,19.1,0.0,0,0,1.8,1.8,0.05,-0.8,-0.8,33.0,22.0,14.0,18.0,1.0,11.0,55.0,9.0,0.3813559322033898,6.0,1.1440677966101696,48.0,1.2076271186440677,0.0,0.6666666666666666,55.93220338983051,21.0,167.0,424.0,303.0,55.0,880.0,21.0,13.0,61.9,8.0,38.1,517.0,3096.0,1544.0,47.0,2.0338983050847457,12.0,28.0,20.0,634.0,80.0,3.0,0.0,0.0,14.0,1.0,36.0,1.0,0.0,0.0,89.0,4.0,20.0,59.09774436090226,,,40.963855421686745,,63.30827067669173,,,,,,66.3157894736842,44.72891566265061,43.52409638554217,41.41566265060241,45.78313253012048,1.957831325301205,41.50375939849624,29.743975903614455,51.80722891566265,,,,,,,,530.1502627049551
Ayoze Pérez,ESP,25,Newcastle United,32.4,2917,MF,18.327048337332876,805.0,73.8,7784.0,2081.0,323.0,392.0,82.4,149.0,198.0,75.3,37.0,63.0,58.7,3.0,0.11107302022625985,2.6,-0.6,45.0,1.4192663695577648,25.0,3.0,2.529996571820363,2.807679122386013,2.81,70.0,0.0,6.0,7.0,5.0,3.0,6.0,0.19,5.0,0.0,1.0,0.0,0.0,0.0,0.4010970174837162,28.0,48.3,1.74,0.84,0.22,0.46,13.9,0.0,0,0,7.5,7.5,0.14,4.5,4.5,59.0,24.0,24.0,28.0,7.0,17.0,27.0,46.0,1.6969489201234145,51.0,1.326705519369215,101.0,1.0181693520740487,1.0,0.4067796610169492,39.06067877956805,37.0,200.0,587.0,504.0,124.0,1266.0,81.0,46.0,56.8,35.0,43.2,657.0,3801.0,1881.0,72.0,1.5426808364758315,22.0,101.0,76.0,803.0,159.0,3.0,0.0,0.0,46.0,9.0,25.0,1.0,0.0,0.0,169.0,26.0,25.0,93.98496240601504,,,56.77710843373494,,53.53383458646617,,,,,,48.721804511278194,3.91566265060241,8.132530120481928,6.475903614457831,56.77710843373494,79.66867469879519,5.112781954887218,45.78313253012048,43.07228915662651,,,,,,,,501.95579309720085
Mohamed Diamé,SEN,31,Newcastle United,24.1,2166,MF,23.642659279778393,749.0,76.0,9103.0,2289.0,288.0,347.0,83.0,180.0,219.0,82.2,60.0,111.0,54.1,0.0,0.004155124653739612,0.3,-0.1,2.0,1.8282548476454294,8.0,1.0,2.409972299168975,1.371191135734072,1.37,20.0,0.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.83,0.12,0.0,0.0,23.5,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0,76.0,46.0,35.0,36.0,5.0,16.0,29.6,38.0,1.745152354570637,33.0,1.2465373961218835,106.0,1.6204986149584488,1.0,0.6052631578947368,43.62880886426593,47.0,276.0,614.0,169.0,16.0,1050.0,29.0,16.0,55.2,13.0,44.8,449.0,1924.0,950.0,17.0,0.6648199445983379,3.0,31.0,38.0,562.0,15.0,3.0,0.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,144.0,34.0,42.5,14.586466165413533,,,2.2590361445783134,,11.12781954887218,,,,,,12.631578947368421,12.951807228915662,7.680722891566265,11.74698795180723,52.86144578313253,81.77710843373494,9.924812030075188,32.30421686746988,71.6867469879518,,,,,,,,321.53874898088594
Isaac Hayden,ENG,23,Newcastle United,20.7,1859,MF,28.370091447014524,749.0,78.2,8474.0,1873.0,329.0,384.0,85.7,171.0,213.0,80.3,41.0,66.0,62.1,4.0,0.11135018827326518,1.7,1.7,22.0,2.130177514792899,7.0,2.0,2.614308768154922,1.9849381387842928,1.98,36.0,0.0,1.0,0.0,1.0,3.0,4.0,0.19,3.0,0.0,0.0,0.0,0.0,1.0,0.048413125336202255,5.0,21.7,1.0,0.22,0.04,0.2,22.2,0.0,0,0,0.9,0.9,0.04,0.1,0.1,73.0,47.0,19.0,45.0,9.0,23.0,56.1,18.0,1.5492200107584722,28.0,2.372243141473911,113.0,1.4523937600860677,0.0,0.6438356164383562,48.84884346422808,46.0,203.0,598.0,212.0,25.0,1009.0,16.0,12.0,75.0,4.0,25.0,371.0,1233.0,456.0,10.0,0.5325443786982248,4.0,33.0,24.0,507.0,38.0,3.0,1.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,118.0,52.0,56.5,36.16541353383458,,,56.92771084337349,,28.721804511278194,,,,,,7.969924812030076,22.590361445783135,9.33734939759036,17.319277108433734,92.31927710843374,71.23493975903614,21.804511278195488,55.42168674698795,64.00602409638554,,,,,,,,483.81828064136243
Christian Atsu,GHA,26,Newcastle United,16.6,1493,MF,19.772270596115202,435.0,75.4,4232.0,941.0,180.0,199.0,90.5,76.0,121.0,62.8,21.0,35.0,60.0,0.0,0.09645010046885466,0.9,-1.6,18.0,1.0247823174815807,16.0,7.0,1.8687206965840588,2.5318151373074347,2.53,32.0,0.0,1.0,4.0,5.0,0.0,5.0,0.3,3.0,0.0,1.0,1.0,0.0,0.0,0.060281312793034156,15.0,50.0,1.66,0.83,0.03,0.07,19.6,0.0,0,0,2.1,2.1,0.08,-1.1,-1.1,24.0,15.0,9.0,11.0,4.0,5.0,31.3,11.0,0.7836570663094441,10.0,0.42196918955123913,31.0,0.9645010046885465,0.0,0.625,38.338914936369726,16.0,100.0,277.0,276.0,37.0,636.0,52.0,25.0,48.1,27.0,51.9,380.0,2646.0,1355.0,48.0,2.4112525117213663,14.0,48.0,30.0,426.0,72.0,2.0,0.0,0.0,15.0,4.0,46.0,0.0,0.0,0.0,86.0,10.0,14.7,39.24812030075188,,,49.096385542168676,,42.857142857142854,,,,,,75.33834586466165,6.475903614457831,3.313253012048193,2.710843373493976,4.969879518072289,15.512048192771086,4.360902255639098,48.94578313253012,39.1566265060241,,,,,,,,331.9852341697617
Kenedy,BRA,22,Newcastle United,15.0,1348,MF,24.97032640949555,533.0,70.2,5558.0,1760.0,213.0,250.0,85.2,105.0,152.0,69.1,31.0,62.0,50.0,1.0,0.04673590504451038,0.9,0.3,11.0,2.136498516320475,13.0,7.0,2.737388724035608,3.3382789317507418,3.34,34.0,2.0,4.0,2.0,5.0,3.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,0.06676557863501484,6.0,19.4,1.72,0.33,0.03,0.17,22.8,1.0,0,1,2.2,1.4,0.05,-1.2,-0.4,30.0,25.0,11.0,16.0,3.0,12.0,41.4,17.0,0.6676557863501484,10.0,2.136498516320475,62.0,1.6023738872403561,1.0,0.8333333333333334,50.80860534124629,20.0,164.0,355.0,251.0,25.0,760.0,55.0,30.0,54.5,25.0,45.5,424.0,2762.0,1152.0,30.0,1.5356083086053411,8.0,42.0,40.0,419.0,66.0,1.0,0.0,0.0,25.0,5.0,32.0,0.0,0.0,0.0,110.0,7.0,31.8,41.05263157894737,,,25.301204819277107,,67.66917293233082,,,,,,48.1203007518797,15.66265060240964,11.44578313253012,17.46987951807229,88.78012048192771,10.391566265060241,29.022556390977446,22.515060240963855,70.48192771084338,,,,,,,,447.91285442521973
Ki Sung-yueng,KOR,29,Newcastle United,14.5,1302,MF,36.1520737327189,654.0,80.0,9874.0,2694.0,223.0,251.0,88.8,182.0,208.0,87.5,92.0,150.0,61.3,1.0,0.06912442396313365,1.0,0.0,16.0,3.3179723502304146,8.0,0.0,4.56221198156682,2.6958525345622117,2.7,22.0,14.0,0.0,1.0,2.0,0.0,3.0,0.21,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.7,0.78,0.13,0.0,0.0,28.6,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,14.0,10.0,5.0,8.0,1.0,3.0,25.0,9.0,0.7603686635944701,10.0,1.3824884792626728,33.0,1.3824884792626728,0.0,0.7142857142857143,52.74193548387097,25.0,156.0,445.0,173.0,6.0,763.0,9.0,5.0,55.6,4.0,44.4,334.0,1763.0,851.0,12.0,1.4516129032258065,1.0,12.0,10.0,434.0,12.0,2.0,0.0,0.0,12.0,0.0,58.0,0.0,0.0,0.0,94.0,12.0,48.0,14.586466165413533,,,37.65060240963856,,49.774436090225564,,,,,,45.26315789473684,45.78313253012048,42.168674698795186,43.97590361445783,60.09036144578314,14.156626506024098,33.83458646616541,52.18373493975904,61.14457831325302,,,,,,,,500.61226107437267
Jonjo Shelvey,ENG,26,Newcastle United,10.5,948,MF,43.95569620253164,685.0,67.6,10154.0,4250.0,155.0,183.0,84.7,183.0,245.0,74.7,109.0,218.0,50.0,1.0,0.16139240506329114,1.5,-0.7,25.0,7.025316455696203,24.0,4.0,7.025316455696203,4.841772151898734,4.84,32.0,10.0,4.0,3.0,0.0,2.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,0.09493670886075949,10.0,40.0,2.29,0.92,0.04,0.1,28.9,4.0,0,0,0.9,0.9,0.04,0.1,0.1,22.0,12.0,10.0,9.0,3.0,8.0,47.1,9.0,0.9493670886075949,7.0,0.6645569620253164,29.0,1.4240506329113924,0.0,0.5454545454545454,73.86075949367088,17.0,151.0,459.0,175.0,8.0,778.0,12.0,10.0,83.3,2.0,16.7,348.0,1694.0,941.0,13.0,1.8037974683544304,1.0,8.0,4.0,461.0,15.0,1.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,0.0,84.0,14.0,58.3,49.92481203007519,,,75.45180722891565,,87.81954887218045,,,,,,58.796992481203006,62.80120481927711,79.51807228915662,90.51204819277109,15.512048192771086,25.0,75.93984962406014,22.515060240963855,62.65060240963856,,,,,,,,706.4420463810127
Miguel Almirón,PAR,24,Newcastle United,8.4,759,MF,22.292490118577074,263.0,71.5,2883.0,752.0,98.0,125.0,78.4,54.0,74.0,73.0,21.0,28.0,75.0,0.0,0.07114624505928854,0.8,-0.6,13.0,2.4901185770750986,12.0,7.0,2.964426877470356,4.268774703557312,4.27,27.0,0.0,1.0,3.0,3.0,2.0,3.0,0.36,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,42.1,2.25,0.95,0.0,0.0,20.1,0.0,0,0,1.5,1.5,0.08,-1.5,-1.5,20.0,12.0,7.0,10.0,3.0,4.0,40.0,6.0,1.6600790513833992,13.0,0.9486166007905139,28.0,0.5928853754940712,0.0,0.6,45.05928853754941,7.0,56.0,157.0,175.0,25.0,380.0,14.0,7.0,50.0,7.0,50.0,215.0,1714.0,1037.0,31.0,1.8972332015810278,6.0,22.0,6.0,240.0,45.0,0.0,0.0,0.0,6.0,4.0,21.0,0.0,0.0,0.0,61.0,1.0,10.0,14.586466165413533,,,38.55421686746988,,82.10526315789474,,,,,,62.10526315789474,10.692771084337348,13.855421686746988,25.0,31.626506024096386,78.01204819277109,13.082706766917292,86.8975903614458,21.234939759036145,,,,,,,,477.75319322402396
Sean Longstaff,ENG,20,Newcastle United,7.6,687,MF,31.31004366812227,297.0,80.5,4621.0,1139.0,104.0,123.0,84.6,92.0,100.0,92.0,37.0,59.0,62.7,0.0,0.06550218340611354,0.5,-0.5,5.0,4.323144104803493,6.0,2.0,3.668122270742358,1.7030567685589522,1.7,10.0,0.0,2.0,0.0,1.0,0.0,2.0,0.26,1.0,0.0,0.0,0.0,1.0,0.0,0.26200873362445415,3.0,27.3,0.93,0.25,0.18,0.67,23.6,0.0,0,0,0.7,0.7,0.09,0.3,0.3,17.0,19.0,6.0,11.0,0.0,9.0,37.5,15.0,2.4890829694323147,15.0,2.2270742358078603,27.0,0.9170305676855895,0.0,1.1176470588235294,49.12663755458516,12.0,73.0,257.0,46.0,3.0,375.0,6.0,5.0,83.3,1.0,16.7,158.0,776.0,270.0,2.0,0.26200873362445415,0.0,4.0,6.0,197.0,6.0,4.0,0.0,0.0,12.0,0.0,3.0,1.0,0.0,0.0,46.0,8.0,40.0,84.06015037593984,,,35.24096385542169,,20.601503759398497,,,,,,2.1052631578947367,31.17469879518072,22.590361445783135,64.1566265060241,90.21084337349397,96.98795180722891,22.857142857142858,56.92771084337349,35.8433734939759,,,,,,,,562.7565902708579
Jacob Murphy,ENG,23,Newcastle United,3.4,302,MF,10.728476821192054,67.0,53.7,733.0,271.0,13.0,22.0,59.1,16.0,24.0,66.7,7.0,16.0,43.8,2.0,0.17880794701986755,0.4,1.4,1.0,1.1920529801324504,2.0,2.0,2.0860927152317883,0.5960264900662252,0.59,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,1.08,0.31,0.0,0.0,30.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,6.0,2.0,4.0,2.0,0.0,2.0,50.0,2.0,1.490066225165563,3.0,1.1920529801324504,7.0,2.0860927152317883,0.0,0.3333333333333333,33.37748344370861,7.0,34.0,36.0,47.0,7.0,112.0,8.0,3.0,37.5,5.0,62.5,52.0,502.0,247.0,8.0,2.384105960264901,1.0,10.0,3.0,52.0,17.0,0.0,0.0,0.0,7.0,3.0,34.0,0.0,0.0,0.0,15.0,4.0,57.1,14.586466165413533,,,79.21686746987952,,0.6015037593984963,,,,,,74.28571428571429,0.4518072289156626,4.66867469879518,3.91566265060241,49.39759036144578,67.46987951807229,1.2030075187969926,10.918674698795181,85.99397590361446,,,,,,,,392.70982425944374
Ryan Fraser,SCO,24,Bournemouth,35.2,3166,MF,28.79658875552748,1490.0,68.0,15976.0,5476.0,567.0,694.0,81.7,331.0,473.0,70.0,88.0,221.0,39.8,15.0,0.3809222994314593,10.2,1.6,92.0,1.9898926089703097,68.0,26.0,4.0366392924826275,4.235628553379659,4.24,90.0,43.0,8.0,4.0,4.0,0.0,21.0,0.6,11.0,8.0,2.0,0.0,0.0,0.0,0.22741629816803535,27.0,46.6,1.55,0.72,0.14,0.3,19.9,4.0,0,0,4.7,4.7,0.09,2.3,2.3,19.0,11.0,9.0,8.0,2.0,10.0,31.3,22.0,0.6538218572331017,17.0,0.6253948199620972,41.0,0.938092229943146,0.0,0.5789473684210527,50.25900189513582,33.0,236.0,666.0,895.0,99.0,1768.0,53.0,24.0,45.3,29.0,54.7,1204.0,6539.0,3443.0,119.0,2.0751737207833227,28.0,52.0,27.0,1243.0,279.0,2.0,0.0,0.0,7.0,11.0,291.0,1.0,0.0,0.0,135.0,9.0,25.0,80.75187969924812,,,97.28915662650603,,81.80451127819549,,,,,,67.66917293233082,24.096385542168676,31.32530120481928,14.156626506024098,13.403614457831326,9.63855421686747,26.31578947368421,6.475903614457831,37.65060240963856,,,,,,,,490.5774979617719
Jefferson Lerma,COL,23,Bournemouth,27.8,2506,MF,46.723862729449316,1568.0,83.0,21652.0,6479.0,655.0,749.0,87.4,504.0,578.0,87.2,104.0,160.0,65.0,0.0,0.03950518754988029,1.2,-1.1,15.0,4.81245011971269,10.0,1.0,4.776536312849162,1.544293695131684,1.54,30.0,1.0,3.0,2.0,2.0,5.0,1.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,0.07182761372705507,9.0,26.5,1.14,0.3,0.06,0.22,25.8,0.0,0,0,1.3,1.3,0.04,0.7,0.7,45.0,31.0,20.0,20.0,5.0,14.0,25.9,40.0,1.2569832402234635,16.0,1.939345570630487,99.0,3.160415003990423,1.0,0.6888888888888889,68.23623304070232,137.0,552.0,1102.0,260.0,15.0,1900.0,29.0,20.0,69.0,9.0,31.0,1172.0,4977.0,2170.0,17.0,1.077414205905826,2.0,25.0,20.0,1166.0,17.0,12.0,0.0,0.0,50.0,3.0,5.0,1.0,0.0,1.0,233.0,75.0,52.8,42.40601503759399,,,20.632530120481928,,16.390977443609025,,,,,,30.37593984962406,69.27710843373494,45.63253012048193,70.63253012048193,84.33734939759037,50.903614457831324,65.71428571428571,62.34939759036144,97.59036144578313,,,,,,,,656.2426397318598
David Brooks,WAL,21,Bournemouth,25.1,2261,MF,25.47545333923043,899.0,71.2,9018.0,2783.0,407.0,499.0,81.6,166.0,240.0,69.2,38.0,68.0,55.9,5.0,0.19902697921273774,3.9,0.0,30.0,2.189296771340115,37.0,2.0,3.781512605042017,3.1446262715612563,3.14,53.0,5.0,3.0,7.0,7.0,4.0,14.0,0.56,8.0,0.0,2.0,1.0,2.0,1.0,0.2786377708978328,22.0,47.8,1.73,0.83,0.15,0.32,16.0,0.0,0,0,6.0,6.0,0.15,1.0,1.0,37.0,28.0,12.0,19.0,6.0,19.0,43.2,25.0,1.4329942503317117,29.0,0.9951348960636887,61.0,1.1145510835913313,0.0,0.7567567567567568,49.00044228217603,23.0,186.0,604.0,457.0,87.0,1231.0,64.0,24.0,37.5,40.0,62.5,847.0,4787.0,2276.0,66.0,1.831048208757187,22.0,58.0,42.0,870.0,144.0,3.0,0.0,0.0,16.0,2.0,34.0,0.0,0.0,0.0,115.0,6.0,16.2,85.41353383458646,,,83.43373493975903,,62.255639097744364,,,,,,59.849624060150376,16.716867469879517,25.150602409638555,18.373493975903614,34.63855421686747,63.403614457831324,22.706766917293233,36.52108433734939,47.66566265060241,,,,,,,,556.1291783676057
Dan Gosling,ENG,28,Bournemouth,19.3,1739,MF,40.161012075905695,980.0,79.2,13014.0,4255.0,374.0,431.0,86.8,314.0,375.0,83.7,69.0,119.0,58.0,1.0,0.07763082231167337,1.2,-0.5,11.0,4.140310523289247,13.0,1.0,6.003450258769407,1.4491086831512365,1.45,23.0,2.0,0.0,2.0,0.0,1.0,6.0,0.31,4.0,0.0,0.0,1.0,0.0,1.0,0.10350776308223117,7.0,33.3,1.03,0.34,0.1,0.29,18.5,0.0,0,0,1.9,1.9,0.09,0.1,0.1,57.0,23.0,27.0,21.0,9.0,28.0,52.8,25.0,1.7078780908568143,22.0,1.0350776308223117,77.0,2.380678550891317,1.0,0.4035087719298245,62.41518113858539,60.0,314.0,717.0,189.0,20.0,1206.0,20.0,12.0,60.0,8.0,40.0,698.0,2644.0,1228.0,7.0,0.9315698677400804,2.0,19.0,21.0,763.0,23.0,8.0,0.0,0.0,30.0,2.0,6.0,0.0,0.0,0.0,131.0,33.0,47.1,53.23308270676692,,,41.265060240963855,,13.834586466165414,,,,,,23.609022556390975,54.81927710843374,66.41566265060241,60.09036144578314,37.8012048192771,80.42168674698796,57.44360902255639,43.825301204819276,92.62048192771084,,,,,,,,625.379336896458
