Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Sebastian Langkamp,Werder Bremen,GER,DF,30.0,17.1,11.0,0.7,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yuya Osako,Werder Bremen,JPN,"FW,MF",28.0,16.7,39.0,2.6,31.0,0.0,6.0,1.0,1.0,0.0,3.0,0.2,2.0,0.0,0.0,0.0,1.0,0.0
Johannes Eggestein,Werder Bremen,GER,"FW,MF",20.0,14.4,30.0,2.43,20.0,0.0,5.0,3.0,2.0,0.0,7.0,0.57,4.0,0.0,1.0,2.0,0.0,0.0
Philipp Bargfrede,Werder Bremen,GER,"MF,DF",29.0,13.7,13.0,1.08,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Möhwald,Werder Bremen,GER,MF,25.0,11.2,29.0,2.99,24.0,0.0,0.0,2.0,2.0,1.0,4.0,0.41,3.0,0.0,0.0,0.0,1.0,0.0
Martin Harnik,Werder Bremen,AUT,"FW,MF",31.0,10.2,27.0,2.93,19.0,0.0,2.0,4.0,1.0,1.0,6.0,0.65,2.0,0.0,2.0,2.0,0.0,0.0
Claudio Pizarro,Werder Bremen,PER,FW,39.0,9.2,23.0,2.99,20.0,0.0,0.0,3.0,0.0,0.0,5.0,0.65,4.0,0.0,0.0,1.0,0.0,0.0
Marco Friedl,Werder Bremen,AUT,DF,20.0,7.3,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florian Kainz,Werder Bremen,AUT,FW,25.0,6.1,14.0,3.39,11.0,1.0,1.0,1.0,0.0,0.0,4.0,0.97,3.0,0.0,1.0,0.0,0.0,0.0
Josh Sargent,Werder Bremen,USA,FW,18.0,2.4,4.0,1.7,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.42,0.0,0.0,0.0,0.0,1.0,0.0
Stefanos Kapino,Werder Bremen,GRE,GK,24.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Plogmann,Werder Bremen,GER,GK,18.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fin Bartels,Werder Bremen,GER,"MF,FW",31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Baumann,Hoffenheim,GER,GK,28.0,39.0,8.0,0.21,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
Pavel Kadeřábek,Hoffenheim,CZE,"DF,MF",26.0,34.9,84.0,2.48,73.0,1.0,1.0,5.0,1.0,3.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0
Nico Schulz,Hoffenheim,GER,"DF,MF",25.0,34.8,134.0,4.05,107.0,3.0,12.0,5.0,5.0,2.0,14.0,0.42,11.0,1.0,0.0,1.0,1.0,0.0
Andrej Kramarić,Hoffenheim,CRO,"MF,FW",27.0,33.0,163.0,5.1,110.0,15.0,15.0,16.0,7.0,0.0,15.0,0.47,11.0,2.0,1.0,1.0,0.0,0.0
Kevin Vogt,Hoffenheim,GER,DF,26.0,32.6,30.0,0.98,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Florian Grillitsch,Hoffenheim,AUT,MF,22.0,31.2,97.0,3.11,81.0,2.0,2.0,1.0,6.0,5.0,12.0,0.38,11.0,0.0,0.0,0.0,1.0,0.0
Joelinton,Hoffenheim,BRA,FW,21.0,29.4,105.0,3.75,75.0,1.0,15.0,4.0,9.0,1.0,14.0,0.5,11.0,0.0,1.0,1.0,1.0,0.0
Kerem Demirbay,Hoffenheim,GER,MF,25.0,27.5,160.0,6.03,93.0,40.0,10.0,10.0,2.0,5.0,14.0,0.53,9.0,3.0,1.0,1.0,0.0,0.0
Ishak Belfodil,Hoffenheim,ALG,"FW,MF",26.0,25.8,91.0,3.7,59.0,1.0,16.0,10.0,5.0,0.0,10.0,0.41,4.0,0.0,2.0,3.0,1.0,0.0
Ermin Bičakčić,Hoffenheim,BIH,DF,28.0,24.4,23.0,1.01,22.0,0.0,0.0,1.0,0.0,0.0,6.0,0.26,6.0,0.0,0.0,0.0,0.0,0.0
Ádám Szalai,Hoffenheim,HUN,"FW,MF",30.0,22.5,69.0,3.28,52.0,1.0,3.0,11.0,1.0,1.0,8.0,0.38,4.0,0.0,1.0,3.0,0.0,0.0
Stefan Posch,Hoffenheim,AUT,DF,21.0,18.6,13.0,0.74,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Leonardo Bittencourt,Hoffenheim,GER,MF,24.0,14.7,59.0,4.39,42.0,7.0,0.0,4.0,5.0,1.0,7.0,0.52,6.0,0.0,0.0,1.0,0.0,0.0
Joshua Brenet,Hoffenheim,NED,"DF,FW",24.0,12.9,35.0,3.03,29.0,2.0,0.0,3.0,0.0,1.0,4.0,0.35,4.0,0.0,0.0,0.0,0.0,0.0
Kasim Nuhu,Hoffenheim,GHA,DF,23.0,12.6,7.0,0.6,5.0,0.0,0.0,1.0,1.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0
Benjamin Hübner,Hoffenheim,GER,DF,29.0,10.0,8.0,0.8,5.0,0.0,0.0,1.0,1.0,1.0,2.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0
Reiss Nelson,Hoffenheim,ENG,"FW,MF",18.0,8.8,40.0,4.74,33.0,0.0,6.0,1.0,0.0,0.0,3.0,0.36,1.0,0.0,1.0,1.0,0.0,0.0
Nadiem Amiri,Hoffenheim,GER,MF,21.0,8.7,29.0,3.34,22.0,1.0,4.0,1.0,1.0,0.0,3.0,0.35,1.0,0.0,1.0,0.0,1.0,0.0
Steven Zuber,Hoffenheim,SUI,"FW,MF",26.0,8.5,29.0,3.88,26.0,1.0,0.0,1.0,0.0,1.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,Hoffenheim,NGA,DF,23.0,7.5,8.0,1.06,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.27,1.0,0.0,0.0,0.0,1.0,0.0
Håvard Nordtveit,Hoffenheim,NOR,"DF,MF",28.0,7.3,11.0,1.51,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vincenzo Grifo,Hoffenheim,ITA,DF,25.0,5.1,20.0,5.26,13.0,3.0,1.0,2.0,1.0,0.0,3.0,0.79,2.0,1.0,0.0,0.0,0.0,0.0
Dennis Geiger,Hoffenheim,GER,MF,20.0,3.4,13.0,3.8,6.0,5.0,0.0,0.0,1.0,1.0,2.0,0.58,0.0,1.0,0.0,0.0,1.0,0.0
Gregor Kobel,Hoffenheim,SUI,GK,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Hoogma,Hoffenheim,NED,MF,20.0,2.6,1.0,0.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christoph Baumgartner,Hoffenheim,AUT,MF,18.0,0.9,6.0,6.35,1.0,0.0,3.0,0.0,2.0,0.0,3.0,3.18,1.0,0.0,1.0,0.0,1.0,0.0
David Otto,Hoffenheim,GER,"MF,FW",19.0,0.3,2.0,6.43,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukas Rupp,Hoffenheim,GER,"MF,DF",27.0,0.3,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthias Zimmermann,Dusseldorf,GER,"DF,MF",26.0,35.9,57.0,1.68,45.0,6.0,1.0,2.0,1.0,2.0,7.0,0.21,6.0,0.0,1.0,0.0,0.0,0.0
Michael Rensing,Dusseldorf,GER,GK,34.0,33.0,3.0,0.09,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Niko Gießelmann,Dusseldorf,GER,DF,26.0,30.8,66.0,2.29,41.0,10.0,3.0,6.0,6.0,0.0,9.0,0.31,5.0,1.0,0.0,1.0,2.0,0.0
Kaan Ayhan,Dusseldorf,TUR,DF,23.0,30.2,25.0,0.92,21.0,1.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Marcin Kamiński,Dusseldorf,POL,DF,26.0,27.0,24.0,0.89,19.0,1.0,0.0,3.0,0.0,1.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0
Kevin Stöger,Dusseldorf,AUT,MF,24.0,25.5,108.0,4.59,71.0,23.0,5.0,6.0,2.0,1.0,10.0,0.42,8.0,1.0,0.0,0.0,0.0,1.0
Dodi Lukebakio,Dusseldorf,BEL,"FW,MF",20.0,24.1,58.0,2.65,38.0,1.0,6.0,4.0,9.0,0.0,5.0,0.23,3.0,0.0,1.0,0.0,1.0,0.0
Rouwen Hennings,Dusseldorf,GER,FW,30.0,23.0,54.0,2.65,43.0,0.0,3.0,3.0,5.0,0.0,8.0,0.39,7.0,0.0,0.0,1.0,0.0,0.0
Benito Raman,Dusseldorf,BEL,"MF,FW",23.0,19.7,57.0,3.05,41.0,0.0,7.0,7.0,2.0,0.0,11.0,0.59,7.0,0.0,3.0,1.0,0.0,0.0
Alfredo Morales,Dusseldorf,USA,MF,28.0,19.1,19.0,1.12,16.0,0.0,1.0,1.0,0.0,1.0,2.0,0.12,1.0,0.0,0.0,0.0,0.0,1.0
Jean Zimmer,Dusseldorf,GER,"DF,FW",24.0,17.9,51.0,3.2,30.0,16.0,0.0,2.0,2.0,1.0,4.0,0.25,3.0,0.0,0.0,1.0,0.0,0.0
Adam Bodzek,Dusseldorf,GER,"MF,DF",32.0,17.7,26.0,1.47,19.0,2.0,0.0,0.0,3.0,2.0,3.0,0.17,2.0,0.0,0.0,0.0,0.0,1.0
André Hoffmann,Dusseldorf,GER,"DF,MF",25.0,13.7,7.0,0.6,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Fink,Dusseldorf,GER,MF,36.0,12.0,26.0,2.22,17.0,1.0,2.0,1.0,2.0,3.0,4.0,0.34,2.0,0.0,1.0,0.0,0.0,1.0
Marvin Ducksch,Dusseldorf,GER,FW,24.0,11.6,37.0,4.05,28.0,2.0,0.0,5.0,0.0,2.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0
Marcel Sobottka,Dusseldorf,GER,MF,24.0,11.5,9.0,0.86,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.19,1.0,0.0,0.0,0.0,0.0,1.0
Takashi Usami,Dusseldorf,JPN,"MF,FW",26.0,11.4,31.0,3.17,16.0,7.0,4.0,2.0,2.0,0.0,5.0,0.51,2.0,2.0,0.0,1.0,0.0,0.0
Kenan Karaman,Dusseldorf,TUR,"FW,MF",24.0,10.6,35.0,3.43,24.0,1.0,5.0,3.0,2.0,0.0,5.0,0.49,1.0,0.0,3.0,0.0,1.0,0.0
Robin Bormuth,Dusseldorf,GER,DF,22.0,7.8,3.0,0.44,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dawid Kownacki,Dusseldorf,POL,"MF,FW",21.0,6.8,15.0,2.35,13.0,0.0,1.0,0.0,1.0,0.0,3.0,0.47,3.0,0.0,0.0,0.0,0.0,0.0
Markus Suttner,Dusseldorf,AUT,"DF,MF",31.0,6.4,12.0,2.21,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aymen Barkok,Dusseldorf,MAR,MF,20.0,6.4,7.0,1.23,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaroslav Drobný,Dusseldorf,CZE,GK,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raphael Wolf,Dusseldorf,GER,GK,30.0,1.0,,,,,,,,,,,,,,,,
Davor Lovren,Dusseldorf,CRO,MF,19.0,0.5,1.0,1.96,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valentino Lazaro,Hertha BSC,AUT,"DF,FW",22.0,33.8,101.0,3.32,58.0,27.0,7.0,5.0,3.0,1.0,12.0,0.39,7.0,2.0,2.0,1.0,0.0,0.0
Rune Jarstein,Hertha BSC,NOR,GK,33.0,32.8,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ondrej Duda,Hertha BSC,SVK,MF,23.0,31.7,93.0,3.27,59.0,14.0,5.0,10.0,4.0,1.0,12.0,0.42,7.0,1.0,0.0,2.0,1.0,1.0
Salomon Kalou,Hertha BSC,CIV,"FW,MF",32.0,28.5,74.0,2.87,52.0,0.0,13.0,4.0,4.0,1.0,8.0,0.31,5.0,0.0,2.0,0.0,1.0,0.0
Karim Rekik,Hertha BSC,NED,DF,23.0,26.3,7.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arne Maier,Hertha BSC,GER,MF,19.0,24.9,37.0,1.61,31.0,0.0,3.0,1.0,1.0,1.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
Marvin Plattenhardt,Hertha BSC,GER,DF,26.0,24.7,58.0,2.71,32.0,20.0,0.0,2.0,3.0,1.0,6.0,0.28,4.0,1.0,0.0,0.0,1.0,0.0
Fabian Lustenberger,Hertha BSC,SUI,"DF,MF",30.0,24.3,17.0,0.7,14.0,1.0,0.0,1.0,0.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0
Niklas Stark,Hertha BSC,GER,DF,23.0,24.1,11.0,0.53,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Mittelstädt,Hertha BSC,GER,"DF,MF",21.0,22.5,39.0,1.95,34.0,0.0,0.0,3.0,0.0,2.0,4.0,0.2,2.0,0.0,0.0,1.0,0.0,1.0
Vedad Ibišević,Hertha BSC,BIH,FW,33.0,22.1,46.0,2.29,35.0,1.0,3.0,4.0,3.0,0.0,7.0,0.35,5.0,0.0,0.0,2.0,0.0,0.0
Marko Grujić,Hertha BSC,SRB,MF,22.0,21.1,47.0,2.38,35.0,0.0,4.0,5.0,3.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Davie Selke,Hertha BSC,GER,FW,23.0,20.7,48.0,2.48,27.0,0.0,6.0,9.0,6.0,0.0,10.0,0.52,5.0,0.0,3.0,1.0,1.0,0.0
Jordan Torunarigha,Hertha BSC,GER,DF,20.0,14.0,11.0,0.85,8.0,1.0,1.0,1.0,0.0,0.0,4.0,0.31,3.0,0.0,1.0,0.0,0.0,0.0
Per Ciljan Skjelbred,Hertha BSC,NOR,MF,31.0,12.2,20.0,1.81,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0
Javairô Dilrosun,Hertha BSC,NED,"FW,MF",20.0,10.9,35.0,3.51,23.0,0.0,5.0,2.0,4.0,1.0,5.0,0.5,4.0,0.0,0.0,1.0,0.0,0.0
Mathew Leckie,Hertha BSC,AUS,"FW,MF",27.0,10.5,27.0,2.58,20.0,0.0,2.0,3.0,2.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0
Lukas Klünter,Hertha BSC,GER,DF,22.0,7.0,10.0,1.52,5.0,1.0,2.0,0.0,2.0,0.0,2.0,0.3,0.0,0.0,1.0,0.0,1.0,0.0
Vladimír Darida,Hertha BSC,CZE,MF,27.0,5.2,12.0,2.87,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0
Thomas Kraft,Hertha BSC,GER,GK,30.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Luckassen,Hertha BSC,NED,DF,23.0,2.8,1.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pekarík,Hertha BSC,SVK,DF,31.0,2.4,2.0,0.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palkó Dárdai,Hertha BSC,HUN,"FW,MF",19.0,1.3,4.0,3.19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Jastrzembski,Hertha BSC,POL,"FW,DF",18.0,0.9,4.0,5.9,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.95,1.0,0.0,0.0,0.0,1.0,0.0
Aarón Martín,Mainz 05,ESP,DF,21.0,33.0,106.0,3.31,71.0,23.0,8.0,2.0,1.0,1.0,9.0,0.28,5.0,2.0,1.0,0.0,1.0,0.0
Jean-Philippe Gbamin,Mainz 05,CIV,MF,22.0,31.8,60.0,2.02,52.0,1.0,2.0,4.0,0.0,1.0,3.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0
Moussa Niakhate,Mainz 05,SEN,DF,22.0,31.0,30.0,0.97,27.0,0.0,1.0,1.0,0.0,1.0,4.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0
Jean-Philippe Mateta,Mainz 05,FRA,FW,21.0,28.4,73.0,2.64,43.0,0.0,15.0,8.0,5.0,2.0,11.0,0.4,5.0,0.0,5.0,0.0,1.0,0.0
Stefan Bell,Mainz 05,GER,DF,26.0,27.3,46.0,1.84,40.0,1.0,2.0,2.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
Daniel Brosinski,Mainz 05,GER,DF,30.0,26.8,67.0,2.74,47.0,16.0,1.0,2.0,1.0,0.0,6.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0
Robin Quaison,Mainz 05,SWE,"FW,MF",24.0,25.6,43.0,1.76,32.0,0.0,2.0,4.0,5.0,0.0,6.0,0.25,5.0,0.0,0.0,1.0,0.0,0.0
Florian Müller,Mainz 05,GER,GK,20.0,25.0,7.0,0.29,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Paul Boëtius,Mainz 05,NED,MF,24.0,24.0,83.0,3.51,63.0,0.0,6.0,4.0,8.0,2.0,11.0,0.47,10.0,0.0,1.0,0.0,0.0,0.0
Pierre Kunde,Mainz 05,CMR,MF,23.0,21.8,65.0,3.07,49.0,7.0,5.0,2.0,1.0,1.0,5.0,0.24,4.0,0.0,0.0,0.0,1.0,0.0
Danny Latza,Mainz 05,GER,MF,28.0,20.7,61.0,2.95,42.0,4.0,2.0,5.0,5.0,3.0,5.0,0.24,3.0,0.0,0.0,0.0,1.0,1.0
Karim Onisiwo,Mainz 05,AUT,"FW,MF",26.0,13.9,44.0,3.41,29.0,0.0,4.0,4.0,5.0,2.0,7.0,0.54,4.0,0.0,1.0,1.0,0.0,1.0
Alexander Hack,Mainz 05,GER,DF,24.0,12.7,19.0,1.68,13.0,1.0,1.0,3.0,1.0,0.0,2.0,0.18,0.0,0.0,0.0,2.0,0.0,0.0
Ridle Baku,Mainz 05,GER,MF,20.0,11.4,22.0,2.12,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Zentner,Mainz 05,GER,GK,23.0,11.3,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levin Öztunalı,Mainz 05,GER,"MF,FW",22.0,10.6,18.0,1.76,13.0,1.0,2.0,1.0,1.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Anthony Ujah,Mainz 05,NGA,FW,27.0,9.5,24.0,2.93,19.0,0.0,1.0,3.0,1.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0
Alexandru Maxim,Mainz 05,ROU,"MF,FW",28.0,8.2,41.0,6.37,27.0,8.0,2.0,2.0,2.0,0.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0
Giulio Donati,Mainz 05,ITA,DF,28.0,6.9,20.0,2.88,15.0,3.0,0.0,0.0,1.0,1.0,2.0,0.29,1.0,1.0,0.0,0.0,0.0,0.0
Phillipp Mwene,Mainz 05,AUT,"DF,MF",24.0,4.4,9.0,2.96,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niko Bungert,Mainz 05,GER,DF,31.0,3.2,3.0,0.95,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Burkardt,Mainz 05,GER,"FW,MF",18.0,2.9,9.0,3.13,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerrit Holtmann,Mainz 05,PHI,"FW,MF",23.0,2.6,5.0,3.1,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaëtan Bussmann,Mainz 05,FRA,DF,27.0,2.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo de Blasis,Mainz 05,ARG,FW,30.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Barreiro Martins,Mainz 05,LUX,MF,18.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominique Heintz,Freiburg,GER,DF,24.0,36.3,35.0,1.03,29.0,5.0,0.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Alexander Schwolow,Freiburg,GER,GK,26.0,35.3,16.0,0.48,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,1.0,0.0,0.0,0.0,0.0
Christian Günter,Freiburg,GER,"DF,MF",25.0,34.3,92.0,2.88,51.0,27.0,7.0,5.0,2.0,0.0,7.0,0.22,3.0,2.0,0.0,2.0,0.0,0.0
Janik Haberer,Freiburg,GER,"MF,FW",24.0,26.9,91.0,3.5,75.0,0.0,3.0,5.0,6.0,2.0,8.0,0.31,5.0,0.0,0.0,1.0,2.0,0.0
Mike Frantz,Freiburg,GER,"MF,FW",31.0,26.9,35.0,1.42,27.0,1.0,2.0,0.0,4.0,1.0,3.0,0.12,1.0,0.0,0.0,0.0,1.0,1.0
Nils Petersen,Freiburg,GER,FW,29.0,23.8,45.0,2.1,36.0,0.0,0.0,3.0,5.0,1.0,6.0,0.28,4.0,0.0,0.0,2.0,0.0,0.0
Robin Koch,Freiburg,GER,"MF,DF",22.0,22.1,17.0,0.8,14.0,0.0,1.0,0.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
Luca Waldschmidt,Freiburg,GER,"FW,MF",22.0,20.8,63.0,3.3,36.0,5.0,5.0,10.0,5.0,2.0,8.0,0.42,4.0,0.0,0.0,2.0,2.0,0.0
Nicolas Höfler,Freiburg,GER,MF,28.0,20.3,35.0,1.95,26.0,1.0,3.0,0.0,2.0,3.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0
Manuel Gulde,Freiburg,GER,DF,27.0,20.0,17.0,0.89,15.0,0.0,0.0,2.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0
Pascal Stenzel,Freiburg,GER,"DF,MF",22.0,18.2,38.0,2.36,31.0,2.0,1.0,4.0,0.0,0.0,4.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0
Vincenzo Grifo,Freiburg,ITA,"MF,FW",25.0,15.9,76.0,4.79,46.0,12.0,10.0,3.0,4.0,1.0,8.0,0.5,3.0,2.0,0.0,1.0,2.0,0.0
Jérôme Gondorf,Freiburg,GER,"MF,FW",30.0,15.7,40.0,2.78,27.0,7.0,2.0,2.0,2.0,0.0,3.0,0.21,3.0,0.0,0.0,0.0,0.0,0.0
Lukas Kübler,Freiburg,GER,"DF,MF",25.0,13.2,14.0,1.06,11.0,2.0,0.0,0.0,0.0,1.0,3.0,0.23,3.0,0.0,0.0,0.0,0.0,0.0
Lucas Höler,Freiburg,GER,FW,24.0,11.8,33.0,2.95,22.0,0.0,1.0,3.0,7.0,0.0,3.0,0.27,2.0,0.0,0.0,0.0,1.0,0.0
Florian Niederlechner,Freiburg,GER,"FW,MF",27.0,11.6,24.0,2.23,16.0,0.0,2.0,3.0,2.0,1.0,4.0,0.37,2.0,0.0,0.0,0.0,1.0,1.0
Amir Abrashi,Freiburg,ALB,MF,28.0,8.8,8.0,0.91,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keven Schlotterbeck,Freiburg,GER,DF,21.0,8.6,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philipp Lienhart,Freiburg,AUT,DF,22.0,8.0,6.0,0.88,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0
Marco Terrazzino,Freiburg,GER,"MF,FW",27.0,6.4,26.0,4.53,17.0,3.0,2.0,2.0,2.0,0.0,4.0,0.7,4.0,0.0,0.0,0.0,0.0,0.0
Roland Sallai,Freiburg,HUN,MF,21.0,5.9,13.0,2.22,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Kleindienst,Freiburg,GER,FW,22.0,2.7,5.0,2.25,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Schlotterbeck,Freiburg,GER,DF,18.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chima Okoroji,Freiburg,NGA,"DF,MF",21.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Flekken,Freiburg,NED,GK,25.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoric Ravet,Freiburg,FRA,"FW,MF",28.0,0.9,2.0,2.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.2,0.0,0.0,0.0,1.0,0.0,0.0
Salif Sané,Schalke 04,SEN,DF,27.0,39.4,32.0,0.91,26.0,1.0,1.0,2.0,2.0,0.0,4.0,0.11,3.0,0.0,0.0,0.0,1.0,0.0
Daniel Caligiuri,Schalke 04,ITA,"DF,FW",30.0,39.0,126.0,3.47,59.0,41.0,9.0,6.0,7.0,4.0,13.0,0.36,5.0,3.0,2.0,2.0,1.0,0.0
