Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Fabinho,Liverpool,BRA,"MF,DF",24.0,32.5,52.0,1.7,42.0,0.0,2.0,2.0,3.0,3.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0
James Milner,Liverpool,ENG,"MF,DF",32.0,31.5,118.0,3.95,66.0,40.0,5.0,4.0,2.0,1.0,12.0,0.4,9.0,3.0,0.0,0.0,0.0,0.0
Jordan Henderson,Liverpool,ENG,MF,28.0,31.3,74.0,2.39,67.0,2.0,2.0,2.0,0.0,1.0,10.0,0.32,9.0,0.0,0.0,1.0,0.0,0.0
Joël Matip,Liverpool,CMR,DF,26.0,26.1,24.0,0.96,20.0,0.0,1.0,1.0,1.0,1.0,4.0,0.16,3.0,0.0,0.0,0.0,0.0,1.0
Naby Keïta,Liverpool,GUI,MF,23.0,20.1,49.0,2.7,38.0,0.0,4.0,6.0,1.0,0.0,5.0,0.28,5.0,0.0,0.0,0.0,0.0,0.0
Joe Gomez,Liverpool,ENG,DF,21.0,17.7,20.0,1.13,17.0,2.0,0.0,0.0,1.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0
Xherdan Shaqiri,Liverpool,SUI,"FW,MF",26.0,15.8,45.0,3.27,32.0,7.0,1.0,3.0,2.0,0.0,13.0,0.94,8.0,2.0,1.0,2.0,0.0,0.0
Dejan Lovren,Liverpool,CRO,DF,29.0,14.0,6.0,0.46,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0
Daniel Sturridge,Liverpool,ENG,FW,28.0,9.8,21.0,2.8,18.0,0.0,2.0,0.0,1.0,0.0,3.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0
Divock Origi,Liverpool,BEL,FW,23.0,7.6,14.0,2.13,8.0,0.0,2.0,2.0,2.0,0.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,Liverpool,ENG,"MF,FW",30.0,6.4,28.0,4.41,22.0,3.0,2.0,0.0,1.0,0.0,3.0,0.47,2.0,0.0,0.0,0.0,1.0,0.0
Alberto Moreno,Liverpool,ESP,DF,26.0,3.8,7.0,3.87,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.55,1.0,0.0,0.0,0.0,0.0,0.0
Nathaniel Clyne,Liverpool,ENG,DF,27.0,2.2,2.0,1.62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simon Mignolet,Liverpool,BEL,GK,30.0,2.0,,,,,,,,,,,,,,,,
Rafael Camacho,Liverpool,POR,DF,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ki-Jana Hoever,Liverpool,NED,DF,16.0,0.9,,,,,,,,,,,,,,,,
Kepa Arrizabalaga,Chelsea,ESP,GK,23.0,55.0,2.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
César Azpilicueta,Chelsea,ESP,DF,28.0,54.4,73.0,1.62,64.0,3.0,1.0,1.0,2.0,2.0,10.0,0.22,9.0,0.0,0.0,0.0,1.0,0.0
Jorginho,Chelsea,ITA,MF,26.0,49.0,90.0,2.1,87.0,0.0,0.0,0.0,1.0,2.0,8.0,0.19,8.0,0.0,0.0,0.0,0.0,0.0
David Luiz,Chelsea,BRA,DF,31.0,48.6,49.0,1.17,44.0,0.0,0.0,4.0,1.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
N'Golo Kanté,Chelsea,FRA,MF,27.0,46.8,103.0,2.52,98.0,1.0,0.0,1.0,1.0,2.0,7.0,0.17,7.0,0.0,0.0,0.0,0.0,0.0
Antonio Rüdiger,Chelsea,GER,DF,25.0,43.6,34.0,0.95,28.0,0.0,0.0,5.0,0.0,1.0,3.0,0.08,1.0,0.0,0.0,2.0,0.0,0.0
Eden Hazard,Chelsea,BEL,FW,27.0,43.4,259.0,6.97,170.0,23.0,33.0,7.0,24.0,2.0,36.0,0.97,20.0,3.0,10.0,1.0,2.0,0.0
Willian,Chelsea,BRA,FW,29.0,39.4,208.0,6.26,119.0,56.0,13.0,5.0,12.0,3.0,20.0,0.6,12.0,4.0,2.0,0.0,2.0,0.0
Marcos Alonso,Chelsea,ESP,DF,27.0,38.4,73.0,2.12,60.0,1.0,1.0,6.0,4.0,1.0,11.0,0.32,7.0,0.0,0.0,2.0,2.0,0.0
Mateo Kovačić,Chelsea,CRO,MF,24.0,34.5,86.0,2.96,66.0,1.0,7.0,4.0,7.0,1.0,7.0,0.24,7.0,0.0,0.0,0.0,0.0,0.0
Pedro,Chelsea,ESP,FW,31.0,34.3,128.0,4.29,102.0,5.0,11.0,5.0,2.0,3.0,16.0,0.54,13.0,0.0,3.0,0.0,0.0,0.0
Ross Barkley,Chelsea,ENG,MF,24.0,30.3,89.0,3.97,71.0,0.0,5.0,6.0,3.0,4.0,10.0,0.45,8.0,0.0,0.0,1.0,0.0,1.0
Andreas Christensen,Chelsea,DEN,DF,22.0,27.1,10.0,0.46,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Emerson Palmieri,Chelsea,ITA,DF,23.0,25.4,44.0,2.4,35.0,1.0,3.0,0.0,4.0,1.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0
Olivier Giroud,Chelsea,FRA,FW,31.0,24.5,63.0,2.88,54.0,0.0,0.0,3.0,4.0,2.0,12.0,0.55,9.0,0.0,0.0,2.0,1.0,0.0
Ruben Loftus-Cheek,Chelsea,ENG,"MF,FW",22.0,21.9,94.0,4.94,66.0,0.0,12.0,7.0,6.0,3.0,12.0,0.63,10.0,0.0,0.0,1.0,1.0,0.0
Álvaro Morata,Chelsea,ESP,FW,25.0,16.6,35.0,2.69,27.0,0.0,3.0,2.0,3.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Higuaín,Chelsea,ARG,FW,30.0,14.5,33.0,2.74,29.0,0.0,1.0,3.0,0.0,0.0,4.0,0.33,4.0,0.0,0.0,0.0,0.0,0.0
Callum Hudson-Odoi,Chelsea,ENG,FW,17.0,13.0,43.0,4.75,34.0,1.0,4.0,2.0,2.0,0.0,5.0,0.55,4.0,0.0,1.0,0.0,0.0,0.0
Davide Zappacosta,Chelsea,ITA,DF,26.0,11.4,21.0,2.31,14.0,1.0,5.0,0.0,1.0,0.0,4.0,0.44,1.0,0.0,2.0,0.0,1.0,0.0
Cesc Fàbregas,Chelsea,ESP,MF,31.0,10.9,45.0,7.16,42.0,2.0,0.0,0.0,1.0,0.0,5.0,0.8,4.0,0.0,0.0,0.0,1.0,0.0
Willy Caballero,Chelsea,ARG,GK,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Cahill,Chelsea,ENG,DF,32.0,6.3,6.0,1.41,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0
Ethan Ampadu,Chelsea,WAL,"DF,MF",17.0,3.2,1.0,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Moses,Chelsea,NGA,FW,27.0,2.0,3.0,3.42,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Alderweireld,Tottenham Hotspur,BEL,DF,29.0,49.1,43.0,0.97,37.0,1.0,1.0,4.0,0.0,0.0,2.0,0.04,2.0,0.0,0.0,0.0,0.0,0.0
Christian Eriksen,Tottenham Hotspur,DEN,"MF,FW",26.0,46.2,207.0,4.93,137.0,38.0,5.0,19.0,5.0,3.0,23.0,0.55,17.0,5.0,0.0,1.0,0.0,0.0
Hugo Lloris,Tottenham Hotspur,FRA,GK,31.0,43.9,3.0,0.07,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Sissoko,Tottenham Hotspur,FRA,MF,28.0,37.7,63.0,1.85,55.0,0.0,2.0,1.0,3.0,2.0,9.0,0.26,9.0,0.0,0.0,0.0,0.0,0.0
Harry Kane,Tottenham Hotspur,ENG,FW,25.0,37.1,118.0,3.32,77.0,1.0,18.0,11.0,10.0,1.0,16.0,0.45,10.0,0.0,2.0,2.0,2.0,0.0
Son Heung-min,Tottenham Hotspur,KOR,FW,26.0,36.7,130.0,3.98,86.0,3.0,24.0,10.0,7.0,0.0,16.0,0.49,9.0,0.0,3.0,2.0,2.0,0.0
Lucas Moura,Tottenham Hotspur,BRA,FW,25.0,35.5,111.0,3.51,71.0,1.0,17.0,8.0,11.0,3.0,14.0,0.44,7.0,0.0,5.0,2.0,0.0,0.0
Kieran Trippier,Tottenham Hotspur,ENG,DF,27.0,35.2,122.0,3.78,79.0,35.0,1.0,4.0,2.0,1.0,15.0,0.47,10.0,3.0,0.0,2.0,0.0,0.0
Davinson Sánchez,Tottenham Hotspur,COL,DF,22.0,34.2,21.0,0.73,18.0,0.0,0.0,3.0,0.0,0.0,3.0,0.1,1.0,0.0,0.0,2.0,0.0,0.0
Dele Alli,Tottenham Hotspur,ENG,MF,22.0,33.2,96.0,3.41,72.0,2.0,9.0,7.0,5.0,1.0,9.0,0.32,7.0,0.0,0.0,1.0,1.0,0.0
Jan Vertonghen,Tottenham Hotspur,BEL,DF,31.0,32.5,24.0,0.78,18.0,0.0,2.0,1.0,0.0,3.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0
Harry Winks,Tottenham Hotspur,ENG,MF,22.0,30.9,43.0,1.7,41.0,1.0,0.0,1.0,0.0,0.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,0.0
Ben Davies,Tottenham Hotspur,WAL,DF,25.0,30.5,50.0,1.87,37.0,4.0,0.0,3.0,3.0,3.0,4.0,0.15,3.0,0.0,0.0,0.0,0.0,1.0
Danny Rose,Tottenham Hotspur,ENG,DF,28.0,28.8,71.0,2.75,45.0,7.0,5.0,5.0,7.0,2.0,9.0,0.35,6.0,1.0,0.0,1.0,1.0,0.0
Eric Dier,Tottenham Hotspur,ENG,MF,24.0,21.8,29.0,1.47,26.0,0.0,0.0,0.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
