Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Alberto Moreno,18,ESP,LB,26-111,9,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,11,11,100.0,1,7,1,0,0
Virgil van Dijk,4,NED,CB,27-108,90,0,0,0,0,1,0,0,0,92,0,0,0,0.1,0.1,0.0,1,0,70,86,81.4,4,46,0,1,1
Joe Gomez,12,ENG,CB,21-154,90,0,0,0,0,0,0,0,0,103,2,1,0,0.0,0.0,0.0,1,0,76,93,81.7,6,40,0,0,0
Trent Alexander-Arnold,66,ENG,RB,20-017,90,0,0,0,0,1,1,0,0,90,4,1,0,0.5,0.5,0.1,7,0,56,80,70.0,5,38,1,0,0
Alisson,13,BRA,GK,26-022,90,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,0,7,0,0,0
Daniel Sturridge,15,ENG,FW,29-066,90,0,0,0,0,3,0,0,0,16,0,0,0,0.7,0.7,0.0,2,0,6,11,54.5,1,12,2,1,1
Sadio Mané,10,SEN,"LW,RW,AM",26-210,90,0,0,0,0,1,0,0,0,53,0,1,0,0.3,0.3,0.3,8,0,37,47,78.7,12,44,6,2,2
Mohamed Salah,11,EGY,"FW,RW",26-144,90,0,0,0,0,8,3,0,0,38,0,1,0,0.5,0.5,0.2,5,0,14,25,56.0,2,26,2,0,0
Adam Lallana,20,ENG,"LM,AM",30-180,78,0,0,0,0,2,0,1,0,45,0,2,0,0.1,0.1,0.1,4,0,24,38,63.2,3,30,1,2,2
Divock Origi,27,BEL,FW,23-202,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
Georginio Wijnaldum,5,NED,"DM,CM",27-360,90,0,0,0,0,2,0,0,0,70,0,1,2,0.1,0.1,0.0,0,0,60,65,92.3,9,46,1,0,0
James Milner,7,ENG,"DM,RM",32-306,90,0,0,0,0,1,0,0,0,104,0,2,4,0.1,0.1,0.2,5,0,77,97,79.4,14,72,6,1,1
Andrew Robertson,26,SCO,LB,24-240,90,0,0,0,0,1,0,0,0,96,2,0,0,0.1,0.1,0.5,4,0,72,92,78.3,6,67,7,1,1
Virgil van Dijk,4,NED,CB,27-121,90,0,0,0,0,2,1,0,0,100,0,0,2,0.1,0.1,0.0,1,0,77,89,86.5,7,61,1,0,0
Joël Matip,32,CMR,CB,27-090,90,0,0,0,0,2,0,0,0,101,1,0,2,0.2,0.2,0.1,4,0,73,92,79.3,3,56,2,0,0
Trent Alexander-Arnold,66,ENG,RB,20-030,45,0,0,0,0,1,0,0,0,40,1,0,0,0.0,0.0,0.1,1,0,25,37,67.6,5,23,0,0,0
Joe Gomez,12,ENG,RB,21-167,45,0,0,0,0,0,0,0,0,75,1,0,0,0.0,0.0,0.1,5,0,59,72,81.9,5,49,0,0,0
Alisson,13,BRA,GK,26-035,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,21,23,91.3,0,12,0,0,0
Roberto Firmino,9,BRA,FW,27-057,70,0,0,0,0,2,0,0,0,36,0,0,2,0.2,0.2,0.0,0,0,20,27,74.1,3,25,0,1,0
Daniel Sturridge,15,ENG,FW,29-088,20,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,5,0,0,0
Sadio Mané,10,SEN,LW,26-232,90,0,0,0,0,0,0,0,0,40,3,0,5,0.0,0.0,0.0,4,2,17,24,70.8,5,28,6,4,2
Mohamed Salah,11,EGY,RW,26-166,90,0,0,0,0,4,0,0,0,32,2,0,0,0.3,0.3,0.0,3,0,12,17,70.6,2,27,2,3,1
James Milner,7,ENG,"LM,RM",32-328,76,1,0,1,1,0,0,0,0,56,6,1,2,0.8,0.0,0.2,3,0,30,45,66.7,6,34,3,0,0
Xherdan Shaqiri,23,SUI,RM,27-049,14,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,0,0,8,14,57.1,1,11,1,0,0
Jordan Henderson,14,ENG,CM,28-164,90,0,0,0,0,0,0,0,0,74,1,3,0,0.0,0.0,0.1,4,0,60,68,88.2,5,46,1,0,0
Georginio Wijnaldum,5,NED,RM,28-017,65,0,0,0,0,1,0,1,0,37,0,0,1,0.1,0.1,0.0,0,0,32,34,94.1,1,26,0,0,0
Naby Keïta,8,GUI,LM,23-291,25,0,0,0,0,0,0,1,0,15,1,1,0,0.0,0.0,0.0,0,0,10,13,76.9,2,14,1,1,1
Andrew Robertson,26,SCO,LB,24-262,90,0,0,0,0,0,0,1,0,91,0,0,2,0.0,0.0,0.0,0,0,72,88,81.8,9,57,1,0,0
Virgil van Dijk,4,NED,CB,27-143,90,0,0,0,0,0,0,1,0,79,1,0,0,0.0,0.0,0.0,1,0,71,76,93.4,6,55,0,0,0
Dejan Lovren,6,CRO,CB,29-146,90,0,0,0,0,0,0,0,0,71,3,0,2,0.0,0.0,0.0,0,0,55,62,88.7,2,47,1,0,0
Joe Gomez,12,ENG,RB,21-189,90,0,0,0,0,0,0,1,0,66,2,1,0,0.0,0.0,0.0,0,0,45,59,76.3,8,35,1,0,0
Alisson,13,BRA,GK,26-057,90,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.0,0,0,31,38,81.6,0,26,0,0,0
