Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Joël Matip,32,CMR,CB,27-272,90,0,0,0,0,0,0,1,0,55,2,2,1,0.0,0.0,0.0,1,1,40,43,93.0,2,22,0,0,0
Trent Alexander-Arnold,66,ENG,RB,20-212,90,0,1,0,0,2,0,0,0,80,0,4,1,0.1,0.1,0.9,3,2,42,70,60.0,2,32,3,0,0
Alisson,13,BRA,GK,26-217,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,27,77.8,0,16,0,0,0
Roberto Firmino,9,BRA,FW,27-242,57,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,3,0,9,12,75.0,0,10,0,0,0
Divock Origi,27,BEL,FW,24-044,33,1,0,0,0,1,1,0,0,13,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,2,9,1,0,0
Sadio Mané,10,SEN,LW,27-052,89,0,0,0,0,0,0,0,0,34,1,1,0,0.0,0.0,0.0,1,0,15,22,68.2,4,25,2,4,2
Joe Gomez,12,ENG,CB,22-009,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0
Mohamed Salah,11,EGY,"RW,FW",26-351,90,1,0,1,1,5,0,0,0,28,0,0,0,1.0,0.2,0.1,3,0,8,18,44.4,0,18,3,0,0
Georginio Wijnaldum,5,NED,LM,28-202,61,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,1,0,12,12,100.0,2,8,1,0,0
James Milner,7,ENG,"LM,CM",33-148,29,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,4,7,57.1,1,6,1,0,0
Fabinho,3,BRA,CM,25-221,90,0,0,0,0,1,0,0,0,27,2,0,0,0.0,0.0,0.0,1,0,14,23,60.9,1,11,0,0,0
Jordan Henderson,14,ENG,"RM,CM",28-349,90,0,0,0,0,2,0,0,0,40,2,2,0,0.1,0.1,0.0,3,1,17,25,68.0,4,13,2,0,0
Andrew Robertson,26,SCO,"LB,WB",25-082,90,0,0,0,0,1,1,0,0,63,2,1,1,0.0,0.0,0.0,2,0,34,53,64.2,1,29,3,0,0
Virgil van Dijk,4,NED,CB,27-328,90,0,0,0,0,1,0,0,0,40,1,0,1,0.0,0.0,0.0,1,1,23,32,71.9,0,18,0,0,0
Joël Matip,32,CMR,CB,27-297,90,0,1,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.1,3,1,19,27,70.4,0,14,0,0,0
Trent Alexander-Arnold,66,ENG,"RB,WB",20-237,90,0,0,0,0,1,0,0,0,54,2,0,1,0.0,0.0,0.0,1,0,17,48,35.4,0,14,2,0,0
Alisson,13,BRA,GK,26-242,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,2,0,24,34,70.6,0,21,0,0,0
